Opponent,W/L,Method,Competition,Weight,Stage,Year
Michael Langhi;L;Pts: 9x2;World Champ.;76KG;F;2009
Marcus Almeida;L;RNC;No Gi Worlds;ABS;1/4F;2010
Michael Langhi;L;Referee Decision;World Champ.;76KG;SF;2010
Lucas Leite;L;Adv;Pan American;82KG;SF;2011
JT Torres;L;Pts: 2x0;World P. NoGi;74KG;1/4F;2011
Gregor Gracie;L;Pts: 4x2;Copa Podio;77KG;SF;2014
Victor Silverio;L;Pts: 2x2, Pen;Copa Podio;77KG;3PLC;2014
Leandro Lo;L;Cross choke;Copa Podio;82KG;SPF;2014
Matheus Diniz;L;Pts: 8x2;NY No Gi Open;ABS;F;2015
Davi Ramos;L;RNC;ADCC;77KG;SF;2015
Garry Tonon;L;Inside heel hook;Polaris 4;77KG;SPF;2016
Jared Dopp;L;Pts: 4x0;NoGi Worlds;ABS;1/4F;2016
Lucas Lepri;W;Points;World Champ.;76KG;R1;2009
Rodrigo Simoes;W;Choke from back;World Champ.;76KG;1/4F;2009
Eder Souza;W;Pts: 10x2;World Champ.;76KG;SF;2009
Rafael Barbosa;W;Pts: 8x0;WPC Gr Trials;74KG;SF;2010
Celso Vinicius;W;Pts: 7x2;WPC Gr Trials;74KG;F;2010
Wallace Castro;W;RNC;No Gi Worlds;79KG;R1;2010
Thiago Abreu;W;Pts: 2x0;No Gi Worlds;79KG;1/4F;2010
Lucas Leite;W;N/A;No Gi Worlds;79KG;SF;2010
Tiago Alves;W;Guillotine;No Gi Worlds;79KG;F;2010
Eduardo Milioli;W;Pts: 8x0;No Gi Worlds;ABS;R1;2010
Celso Vinicius;W;Points;World Pro.;74KG;SF;2010
Claudio Mattos;W;Pts: 2x0;World Pro.;74KG;F;2010
JT Torres;W;Pts: 4x4, Adv;Brasileiro;76KG;F;2010
Unknown;W;Choke from back;Pan American;82KG;R1;2011
Unknown;W;Submission;World Champ.;76KG;RDS;2011
Rodrigo Simoes;W;Pts: 11x0;World Champ.;76KG;RDS;2011
Lucas Lepri;W;Pts: 2x2, Adv;World Champ.;76KG;1/4F;2011
JT Torres;W;Pts: 4x0;World Champ.;76KG;SF;2011
Kron Gracie;W;Pts: 9x2;World Champ.;76KG;F;2011
Leandro Lo;W;Pts: 3x0;NoGi Worlds;82KG;SF;2013
Vitor Oliveira;W;Pts: 2x0;NoGi Worlds;82KG;F;2013
Gianni Grippo;W;Armbar;Copa Podio;77KG;GP;2014
Fernando Vieira;W;Pts: 2x0;Copa Podio;77KG;GP;2014
Victor Silverio;W;Pts: 2x0;Copa Podio;77KG;GP;2014
M. Andre;W;Kneebar;Copa Podio;77KG;GP;2014
AJ Agazarm;W;Points;ADCC Florida;77KG;SPF;2014
Jonathan Satava;W;Pts: 4x0;NY No Gi Open;ABS;SF;2015
Lachlan Giles;W;Armbar;ADCC;77KG;R1;2015
Abdulkadirov Magomed;W;Points;ADCC;77KG;1/4F;2015
Otavio Sousa;W;Pts: 6x0;ADCC;77KG;3RD;2015
Vinicius Vieira;W;RNC;NoGi Worlds;ABS;1/8F;2016
