Opponent,W/L,Method,Competition,Weight,Stage,Year
Ian Murray;W;Inside heel hook;Sapateiro Inv.;ABS;R1;2016
Elliott Hill;W;Rev. triang. armlock;Sapateiro Inv.;ABS;1/4F;2016
PJ Barch;W;Kneebar;Sapateiro Inv.;ABS;SF;2016
Enrico Coco;W;Inside heel hook;Sapateiro Inv.;ABS;F;2016
Pat Sabatini;W;Inside heel hook;Goodfight Pro;77KG;SF;2016
Kevin Berbrich;W;Choke;Goodfight Pro;77KG;F;2016
Joshua Bacallao;W;Inside heel hook;PTL Sunday Open;ABS;SF;2016
Nathan Orchard;W;Reverse triangle;PTL Sunday Open;ABS;F;2016
James Partridge;W;Inside heel hook;Onnit Inv. 2;ABS;SPF;2016
Jacen Flynn;W;RNC;EBI 6;ABS;R1;2016
Marcello Salazar;W;Kneebar;EBI 6;ABS;1/4F;2016
Yuri Simoes;W;Points;EBI 6;ABS;SF;2016
Rustam Chsiev;W;Points;EBI 6;ABS;F;2016
Keenan Cornelius;W;Inside heel hook;Grappling Ind.;ABS;SPF;2016
Matt Arroyo;W;Inside heel hook;EBI 8;84KG;R1;2016
Mike Hillebrand;W;RNC;EBI 8;84KG;1/4F;2016
Josh Hayden;W;Points;EBI 8;84KG;SF;2016
Kyle Griffin;W;Inside heel hook;EBI 8;84KG;F;2016
Todd Mueckemheim;W;Kimura;Sapateiro Inv.;ABS;SPF;2016
