Opponent,W/L,Method,Competition,Weight,Stage,Year
Leo Nogueira;L;Points;Pan American;94KG;SF;2016
Leandro Lo;L;Pts: 3x0;Pan American;ABS;1/8F;2016
Felipe Pena;L;Pts: 2x0;Marianas Open;ABS;1/4F;2016
Rodrigo Cavaca;L;Adv;Brasileiro;ABS;1/4F;2016
Jackson Sousa;L;Pts: 9x0;World Champ.;94KG;SF;2016
Erberth Santos;L;Referee Decision;Sao Paulo Open;100KG;F;2016
Augusto Maciel;W;Pts: 11x0;GP Minas;ABS;SF;2015
Leonardo Moura;W;Pts: 4x0;GP Minas;ABS;F;2015
Augusto Maciel;W;Americana;GP Minas;88KG;SF;2015
Romes;W;DQ;GP Minas;88KG;F;2015
Vitor Toledo;W;Choke from back;South American;94KG;1/4F;2015
Herico Hesley;W;Pts: 7x0;South American;94KG;SF;2015
FlÃ¡vio Godoy;W;Choke;BJJ Stars;ABS;SPF;2015
Arnaldo Maidana;W;Pts: 12x0;Pan American;94KG;1/4F;2016
Eliot Kelly;W;Pts: 2x0;Pan American;ABS;R2;2016
Jose Camilo;W;Americana;Brasileiro;94KG;R1;2016
Gabriel Alves;W;Choke from back;Brasileiro;94KG;1/4F;2016
Cassio Francis;W;Toe hold;Brasileiro;94KG;SF;2016
Miguel Angel;W;Adv;Brasileiro;94KG;F;2016
Romario Gomes;W;Arm in ezekiel;Brasileiro;ABS;RD;2016
Gustavo Almeida;W;Triangle;Brasileiro;ABS;1/8F;2016
Erberth Santos;W;Pts: 2x0;World Champ.;94KG;1/4F;2016
Gerson PÃ©rez;W;Choke from back;Sao Paulo Open;100KG;1/4F;2016
Max Gimenis;W;Armbar;Sao Paulo Open;100KG;SF;2016
