Opponent,W/L,Method,Competition,Weight,Stage,Year
Rubens Charles,L,Choke from back,World Pro.,65KG,1/4F,2009
Mario Reis,L,Pts: 10x10, Adv,Pan American,70KG,SF,2009
Rafael Mendes,L,Pts: 4x2,World Pro.,65KG,F,2010
Paulo Mello,L,Referee Decision,World Champ.,64KG,R1,2010
Augusto Mendes,L,Pts: 9x0,Team Nationals,68KG,F,2010
Augusto Mendes,L,Adv,World Pro.,65KG,1/4F,2011
Bruno Malfacine,L,Pts: 2x0,Pan American,64KG,F,2012
Daniel Beleza,L,Referee Decision,World Champ.,64KG,1/4F,2013
Pablo Silva,W,Pts: 4x2,World Champ.,64KG,1/4F,2009
Carlos Esquisito,W,Adv,World Champ.,64KG,SF,2009
Samuel Braga,W,Adv,World Champ.,64KG,F,2009
Edivaldo Ferreira,W,Choke from back,European,64KG,SF,2010
Pablo Silva,W,Adv,European,64KG,F,2010
Marcos Alexandre,W,Choke from back,WPC SD trials,65KG,SF,2010
Gabriel Moraes,W,Pts: 4x0,Brasileiro,64KG,F,2010
Diego Fernandes,W,Pts: 2x0,World P. NoGi,64KG,R1,2011
Milton Carlos,W,Choke,World Champ.,64KG,RDS,2011
Laercio Fernandes,W,Cross choke,World Champ.,64KG,1/4F,2011
Samuel Braga,W,Pts: 4x2,World Champ.,64KG,SF,2011
Francielo Costa,W,Points,Pan American,64KG,1/4F,2012
Henrique Rezende,W,Lapel Choke,Pan American,64KG,SF,2012
Laercio Fernandes,W,Pts: 2x0,SD World Trials,65KG,F,2012
Mark Ramos,W,Brabo Choke,World Champ.,64KG,R2,2012
Henrique Rezende,W,Pts: 19x0,World Champ.,64KG,1/4F,2012
Pablo Silva,W,Standing Brabo Ck,World Champ.,64KG,SF,2012
Laercio Fernandes,W,Referee Decision,World Champ.,64KG,F,2012
Pablo Silva,W,Baseball choke,Houston Open,64KG,F,2012
Geoffrey Villareal,W,Baseball choke,World Champ.,64KG,R1,2013
Osvaldo Moizinho,W,Points,SF Open,70KG,SF,2013
Gabriel Martins,W,Points,Houston Open,70KG,SF,2013
Unknown,W,Toe hold,Rickson Cup,64KG,R1,2013
Unknown,W,Armbar,Rickson Cup,64KG,1/4F,2013
Unknown,W,Choke,Rickson Cup,64KG,SF,2013
Unknown,W,Brabo choke,Rickson Cup,64KG,F,2013
Samir Chantre,W,Baseball choke,Metamoris 3,ABS,SPF,2014
Paulo Santana,W,Submission,World Champ.,64KG,RDS,2014
Kaneko,W,Choke,World Champ.,64KG,1/4F,2014
Carlos Esquisito,W,Pts: 7x2,World Champ.,64KG,SF,2014
Paulo Miyao,W,Adv,World Champ.,64KG,F,2014
Tsukada Ichitaro,W,Baseball choke,Rickson Cup,64KG,1/4F,2014
Lee Hee Tae,W,Baseball choke,Rickson Cup,64KG,F,2014
Nakamura Yuuta,W,Choke from back,Rickson Cup,ABS,SF,2014
Abi Muradov,W,Brabo choke,Berkut Open,ABS,SPF,2015
Abi Muradov,W,Toe hold,Berkut Open NoGi,ABS,SPF,2015
