Opponent,W/L,Method,Competition,Weight,Stage,Year
Murilo Santana;L;Triangle;World Champ.;82KG;R1;2006
Andre Galvao;L;Pts: 11x4;World Cup;82KG;F;2006
Marcelo Garcia;L;Armbar;Brasileiro;82KG;SF;2006
Andre Galvao;L;RNC;World Champ.;82KG;SF;2007
Otavio Sousa;L;Kneebar;World Champ.;82KG;1/4F;2008
Delson Heleno;L;Adv;WPC Gr Trials;83KG;SF;2010
Romulo Barral;L;Cross choke;World Champ.;88KG;SF;2010
Marcelo Garcia;L;Armbar;World Champ.;82KG;SF;2011
Marcus Almeida;L;Pts: 19x2;Pan American;ABS;1/4F;2013
Rodolfo Vieira;L;Choke from back;World Pro;ABS;R1;2013
Romulo Barral;L;Pts: 3x0;World Champ.;88KG;SF;2013
Romulo Barral;L;DQ;World Champ.;88KG;SF;2014
Tarsis Humphreys;L;Pts: 6x4;World Champ.;88KG;SF;2015
Claudio Calasans;L;Pts: 0x0, Adv;World Pro;85KG;1/4F;2016
Dillon Danis;L;Toe hold;World Champ.;82KG;1/8F;2016
Leonardo Pecanha;W;Pts: 14x0;World Cup;82KG;1/4F;2005
Andre Galvao;W;Adv;World Cup;82KG;F;2005
Lucas Leite;W;Pts: 5x4;Pan American;82KG;SF;2008
Otavio Sousa;W;Kneebar;Pan American;82KG;F;2008
Tokito Akuma;W;Points;World Champ.;82KG;R1;2008
Mike Fowler;W;Points;European;82KG;1/4F;2010
Tarsis Humphreys;W;Adv;European;ABS;SF;2010
Rodrigo Cavaca;W;Triangle;European;ABS;F;2010
Eduardo Milioli;W;N/A;Miami Open;82KG;F;2010
Unknown;W;Submission;World Champ.;82KG;RDS;2011
Alan Finfou;W;Submission;World Champ.;82KG;RDS;2011
Daniel Garcia;W;Pts: 2x2, Adv;World Champ.;82KG;1/4F;2011
Augusto Carsalade;W;Pts: 10x0;Copa Podio;76KG;GP;2011
Raphael Abi-Rihan;W;Pts: 2x0;Copa Podio;ABS;SPF;2012
Unknown;W;Pts: 12x2;Pan American;ABS;R1;2013
Alexander Trans;W;Points;Pan American;ABS;R2;2013
Alberto Araujo;W;N/A;Pan American;88KG;R1;2013
Diogo Sampaio;W;Points;Pan American;88KG;R2;2013
Romulo Barral;W;Pts: 10x4;Pan American;88KG;R1;2013
Tarsis Humphreys;W;Points;World Champ.;88KG;1/4F;2013
Bruno Togni;W;Points;Pan American;88KG;R1;2014
Diego Hertzog;W;Pts: 2x2, Adv;Pan American;88KG;1/4F;2014
Renato Cardoso;W;Pts: 8x8, Adv;Pan American;88KG;SF;2014
William Martins;W;Points;World Champ.;88KG;RDS;2014
Renato Cardoso;W;Pts: 11x2;World Champ.;88KG;1/4F;2014
Pedro Souza;W;Armbar;Pan American;88KG;R2;2015
Victor Bonfim;W;Armbar;Pan American;88KG;1/4F;2015
Patrick Gaudio;W;Armbar;World Champ.;88KG;1/4F;2015
Romulo Azevedo;W;Pts: 4x2;World Pro;85KG;R1;2016
Viking Wong;W;Pts: 8x0;World Pro;85KG;1/8F;2016
