Opponent,W/L,Method,Competition,Weight,Stage,Year
Masahiko Kimura,L,Kimura,NA,ABS,SPF,1951
Waldemar Santana,L,TKO,NA,ABS,SPF,1955
Antonio Portugal,W,Armbar,NA,ABS,SPF,1932
Takashi Namiki,D,---,NA,ABS,SPF,1932
Fred Ebert,D,---,NA,ABS,SPF,1932
Wladek Zbyszko,D,---,NA,ABS,SPF,1934
Miyake,W,Cross choke,NA,ABS,SPF,1934
Olando Silva,W,TKO,NA,ABS,SPF,1935
Yassuiti Ono,D,---,NA,ABS,SPF,1935
Takeo Yano,D,---,NA,ABS,SPF,1936
Massagoichi,W,Armbar,NA,ABS,SPF,1936
Yassuiti Ono,D,---,NA,ABS,SPF,1936
Erwin Klausner,W,Armbar,NA,ABS,SPF,1937
Landulfo Caribe,W,Cross choke,NA,ABS,SPF,1950
Azevedo Maia,W,Cross choke,NA,ABS,SPF,1950
Yukio Kato,D,---,NA,ABS,SPF,1951
Yukio Kato,W,Cross choke,NA,ABS,SPF,1951
Artur EmÃ­dio,D,---,NA,ABS,SPF,1954
