Opponent,W/L,Method,Competition,Weight,Stage,Year
Douglas Rufino;L;Pts: 2x0;SP Open;64KG;SF;2015
Philipe Freitas;L;Points;Brasileiro NoGi;64KG;F;2015
Gabriel Moraes;L;Referee Decision;Pan American;64KG;SF;2016
Ary Farias;L;Referee Decision;World Champ.;64KG;SF;2016
Pedro Henrique;W;Pts: 2x2, Adv;Brazil Nat. Pro RJ;62KG;F;2015
Thomas Lisboa;W;Wristlock;SP Open;64KG;1/4F;2015
Narciso Vila;W;Verbal tap;Camp. Paulista;64KG;RR;2014
Narciso Vila;W;Verbal tap;Camp. Paulista;64KG;RR;2014
Levy Oliveira;W;Triangle;Floripa Open;64KG;1/4F;2015
Thales Nakassu;W;Triangle;Floripa Open;64KG;SF;2015
Magno Mota;W;Pts: 2x0;Floripa Open;64KG;F;2015
Tiago Teixeira;W;Choke from back;Brasileiro NoGi;64KG;1/4F;2015
Luiz Andrade;W;Katagatame;Brasileiro NoGi;64KG;SF;2015
David Lemes;W;Choke from back;IBJJF Rio Pro;70KG;1/4F;2015
Isaque Paiva;W;Pts: 8x6;IBJJF Rio Pro;70KG;F;2015
Leandro Silva;W;Choke from back;South American;64KG;SF;2015
Jorge Nakamura;W;Choke from back;South American;64KG;SF;2015
Celso Souza;W;Pts: 14x0;Grand Slam - Rio;62KG;1/8F;2015
Magno Motta;W;Pts: 2x0;Grand Slam - Rio;62KG;1/4F;2015
Luis Lopes;W;Pts: 4x2;European Open;64KG;1/4F;2016
Luis Pinto;W;Armbar;European Open;64KG;SF;2016
Gabriel Willcox;W;Pts: 2x2, Adv;Pan American;64KG;R1;2016
Pedro Henrique;W;Inverted triangle;Pan American;64KG;1/4F;2016
Jose Oliveira;W;Pts: 3x0;World Pro;62KG;1/4F;2016
Daniel Santana;W;Pts: 2x0;World Pro;62KG;SF;2016
Caio Santos;W;Choke from back;Brasileiro;64KG;R1;2016
Bruno Celio;W;Choke from back;Brasileiro;64KG;1/4F;2016
Marcos Suel;W;Pts: 9x0;Brasileiro;64KG;SF;2016
Kazuhiro Miyachi;W;Katagatame;World Champ.;64KG;R2;2016
Gianni Grippo;W;Pts: 4x0;World Champ.;64KG;1/4F;2016
Willian Oliveira;W;Choke from back;Sao Paulo Open;64KG;SF;2016
Rodolfo Marques;W;Toe hold;Sao Paulo Open;64KG;F;2016
Jose Lima;W;RNC;Brasileiro NoGi;61KG;SF;2016
Kelvyn Pontes;W;Triangle;Brasileiro NoGi;61KG;F;2016
