Opponent,W/L,Method,Competition,Weight,Stage,Year
Gabriel Lucas;L;Pts: 6x0;Brazil Nat. Pro;O77KG;F;2015
Rodrigo Ribeiro;L;Pts: 0x0, Adv;SP National Pro;O94KG;R1;2015
Erberth Santos;L;Choke from back;SP National Pro;O77KG;SF;2015
Gabriel Lucas;L;Pts: 0x0, Adv;Grand Slam - Rio;O94KG;1/4F;2015
Andre Campos;L;Referee Decision;Grand Slam - Rio;ABS;R1;2015
Joseph Moku;L;Pts: 6x2;Pan American;O100KG;SF;2016
Joao Rocha;L;Palm to palm;Pan American;ABS;R2;2016
Keenan Cornelius;L;Omoplata choke;Marianas Open;ABS;SF;2016
Big Mac;L;Pts: 3x0;Brasileiro;O100KG;F;2016
Diego Ramalho;L;Adv;Brasileiro;ABS;1/8F;2016
Rodrigo Ribeiro;L;Omoplata;SP BJJ Pro;O94KG;F;2016
Igor Ribeiro;W;Referee Decision;Brazil Nat. Pro;O77KG;R1;2015
Gilmar Oliveira;W;Adv;Brazil Nat. Pro;O77KG;1/4F;2015
Renato Cardoso;W;Pts: 5x2;Brazil Nat. Pro;O77KG;SF;2015
Otavio Coutinho;W;Pts: 8x0;Grand Slam - Rio;O94KG;1/8F;2015
Otavio Nalati;W;Adv;Pan American;O100KG;1/8F;2016
James Puopolo;W;Pts: 6x4;Pan American;O100KG;1/4F;2016
Rodrigo Freitas;W;Pts: 0x0, Adv;Pan American;ABS;R1;2016
Bryant Pangelinan;W;Pts: 8x0;Marianas Open;ABS;1/4F;2016
Terrence Aflague;W;Choke;Marianas Open;ABS;3RD;2016
Max Freitas;W;Pts: 6x0;Brasileiro;O100KG;R1;2016
Otavio Nalati;W;Pts: 6x0;Brasileiro;O100KG;1/4F;2016
Bruno Novaes;W;Pts: 8x0;Brasileiro;O100KG;SF;2016
Rodrigo Ribeiro;W;Pts: 5x4;Brasileiro;ABS;RD;2016
Unknown;W;Pts: 11x0;SP BJJ Pro;O94KG;1/4F;2016
Otavio Nalati;W;Referee Decision;SP BJJ Pro;O94KG;SF;2016
Felipe Moura;W;Pts: 6x0;Sao Paulo Open;O100KG;SF;2016
Kitner Moura;W;Pts: 4x2;Sao Paulo Open;O100KG;F;2016
