Opponent,W/L,Method,Competition,Weight,Stage,Year
Marcio Andre,L,Pts: 4x2,European Open,70KG,1/4F,2016
Vitor Paschoal,L,Pts: 2x2, Adv,Pan American,64KG,1/4F,2016
Paulo Miyao,L,Pts: 3x0,NY Spring Open,70KG,F,2016
Rafael Mendes,L,Pts: 0x0, Adv,San Antonio Open,70KG,SF,2016
Paulo Miyao,L,Pts: 4x0,World Champ.,64KG,SF,2016
Paulo Miyao,L,Pts: 2x0,Grand Slam - LA,69KG,F,2016
Osvaldo Moizinho,D,N/A,Guatemala Open,ABS,SPF,2016
Kevin Mahecha,L,Adv,Guatemala Open,76KG,SF,2016
Sergio Gonzalez,W,Choke from back,European Open,70KG,R1,2016
Mayko Borges,W,Armbar,Pan American,64KG,R1,2016
Kristopher Kriebel,W,Bow and arrow,NY Spring Open,70KG,SF,2016
Gabriel Marangoni,W,Points,NY Spring Open,70KG,SF,2016
Daniel Beleza,W,Pts: 0x0, Adv,World Champ.,64KG,R1,2016
Mikey Musumeci,W,Pts: 2x2, Adv,World Champ.,64KG,1/4F,2016
Brian Mahecha,W,Pts: 6x4,Grand Slam - LA,69KG,SF,2016
Unknown,W,Kneebar,Guatemala Open,76KG,1/4F,2016
