Opponent,W/L,Method,Competition,Weight,Stage,Year
MÃ¡rcio TubarÃ£o;L;Adv;Estadual FCJJE;70KG;F;2009
Ricardo Abreu;L;armbar;Brasileiro CBJJE;ABS;F;2009
Bruno Frazatto;L;Points;Brasileiro CBJJE;70KG;F;2009
Mario Reis;L;Points;Mundial CBJJE;70KG;F;2010
Marcos Alexandre;L;Pts: 2x2, Adv;Panam. CBJJE;70KG;F;2010
Tiago Barros;L;Points;Gramado Trials;65KG;1/4F;2011
Mario reis;L;Points;Mundial CBJJE;70KG;F;2012
Samuel Hertzog;L;Adv;World Pro.;70KG;SF;2012
Gilson Nunes;L;Points;World Pro Trials;65kg;F;2013
Leonardo Saggioro;L;Referee Decision;Rio Open;70KG;F;2013
Gianni Grippo;L;Pts: 5x0;Pan American;70KG;1/4F;2014
Rubens Charles;L;Pts: 24x2;World Champ.;70KG;SF;2014
Paulo Miyao;L;Points;SP Open;70kg;F;2014
A. Cabanes;L;Pts: 2x2, Adv;The Team;76KG;RR;2014
Mario Reis;L;Pts: 10x0;Brazil Nat. Pro;75KG;SF;2015
Gianni Grippo;L;Pts: 0x0, Adv;World Pro;65KG;F;2015
Paulo Miyao;L;Pts: 8x6;Brasileiro;70KG;F;2015
Jonathan Thomas;L;Points;World Champ.;70KG;1/8F;2015
Rafael Marangoni;L;Points;Curitiba Open;70Kg;F;2015
Fabio Caloi;L;Adv;Floripa Open;70KG;SF;2015
Fabio Caloi;L;Points;Floripa NoGi Open;70KG;SF;2015
Fabio Caloi;L;Points;Floripa NoGi Open;70KG;F;2015
Felipe Cesar;L;Pts: 12x2;Floripa NoGi Open;ABS;F;2015
Gianni Grippo;L;Pts: 15x10;NoGi Worlds;70KG;1/4F;2015
Hiago George;L;Pts: 8x6;IBJJF Rio Pro;70KG;F;2015
Fernando Vieira;L;Pts: 11x4;Grand Slam - Rio;69KG;SF;2015
Osvaldo Moizinho;L;Pts: 8x8, Adv;Pan American;70KG;1/4F;2016
Tiago Bravo;L;Pts: 4x0;World Pro;69KG;1/4F;2016
Paulo Miyao;L;Pts: 10x4;Brasileiro;70KG;F;2016
Gabriel Marangoni;L;Botinha;World Champ.;70KG;R2;2016
Carlos Keiler;W;Cross choke;Mundial CBJJE;70KG;F;2008
F. Purgemeister;W;Mounted triangle;Estadual FCJJE;70KG;SF;2009
Rosenberg Kiffer;W;Cross choke;Sul Am. CBJJE;70KG;F;2009
Mario Netto;W;Mounted triangle;Brasileiro CBJJE;ABS;SF;2009
Eduardo Badaui;W;Triangle;Brasileiro CBJJE;70KG;SF;2010
Thiago Barreto;W;Ezekiel;Brasileiro CBJJE;70KG;F;2010
Gustavo Gussem;W;Points;Brasileiro CBJJE;ABS;F;2010
Marcelo Ferreira;W;Bow and arrow;Panam. CBJJE;70KG;SF;2010
Thiago Barreto;W;N/A;Mundial CBJJE;70KG;SF;2012
Rodrigo Lopes;W;Armbar;Gramado Trials;65KG;1/4F;2012
Ary Farias;W;Referee Decision;Gramado Trials;65KG;SF;2012
Bruno Frazatto;W;Triangle;Gramado Trials;65KG;F;2012
Their Tavares;W;Adv;World Pro.;70KG;R1;2012
Daniel Wrzesniewski;W;Pts: 3x0;World Pro.;70KG;1/4F;2012
Fabio AssunÃ§Ã£o;W;Triangle;Copa GaÃºcha;ABS;SF;2013
Marcelo Tarso;W;Inverted Triangle;Copa GaÃºcha;ABS;F;2013
David Lemes;W;Choke from back;Mundial CBJJE;70KG;F;2013
Vinicius Saraiva;W;Mounted triangle;Rio Open;70KG;SF;2013
Edson Oliveira;W;Adv;Pan American;70KG;R1;2014
Leo Saggioro;W;Referee Decision;World Champ.;70KG;1/4F;2014
Nicollas Amorim;W;Points;SP Open;70kg;SF;2014
Iwasaki Masahiro;W;Triangle;Asian Open;70KG;R1;2014
Wanki Chae;W;Triangle;Asian Open;70KG;1/4F;2014
Ichitaro Tsukada;W;Triangle;Asian Open;70KG;SF;2014
Eduardo Ramos;W;Arm in ezekiel;Asian Open;70KG;F;2014
Unknown;W;Choke from back;The Team Trials;76KG;SF;2014
Marcos Paulo;W;Choke from back;The Team Trials;76KG;F;2014
B. Bittencour;W;Points;The Team;76KG;RR;2014
Gabriel Marangoni;W;Triangle;Gramado Trials;65KG;R1;2015
Thomas Lisboa;W;Pts: 2x2, Adv;Gramado Trials;65KG;SF;2015
Vitor Otoniel;W;Pts: 4x2;Gramado Trials;65KG;F;2015
Sergio Calderon;W;Katagatame;World Pro;65KG;R1;2015
Brian Mahecha;W;Points;World Pro;65KG;1/4F;2015
Gilson Nunes;W;Points;World Pro;65KG;SF;2015
Andre Motta;W;N/A;Brasileiro;70KG;SF;2015
Ataide Rafael;W;Injury;Brazil Nat. Pro RJ;66KG;1/8F;2015
Ricardo Caetano;W;Triangle;Brazil Nat. Pro RJ;66KG;1/4F;2015
Bruno Celio;W;Points;Brazil Nat. Pro RJ;66KG;SF;2015
Leonardo Saggioro;W;Referee Decision;Brazil Nat. Pro RJ;66KG;F;2015
Richard Motta;W;DQ;Rio Winter Open;70KG;1/8F;2015
Vinicius Gimenes;W;Points;Rio Winter Open;70KG;1/4F;2015
JoÃ£o Humberto;W;Cross choke;Rio Winter Open;70KG;SF;2015
Gilson Nunes;W;Adv;Rio Winter Open;70KG;F;2015
Marcelo Castro;W;Cross choke;Mundial CBJJE;70KG;SF;2015
Rodrigo Cardoso;W;Ezekiel;Mundial CBJJE;70KG;F;2015
Edson Oliveira;W;Armbar;SP Open;70KG;SF;2015
Fabio Caloi;W;Triangle armbar;SP Open;70KG;F;2015
Wanki Chae;W;Mounted triangle;Asian Open;70KG;SF;2015
Masahiro Iwasaki;W;Triangle;Asian Open;70KG;F;2015
Herbert Maeda;W;Points;Floripa NoGi Open;70KG;SF;2015
Victor Matos;W;Points;IBJJF Rio Pro;70KG;SF;2015
Leon Amancio;W;Pts: 4x2;Grand Slam - Rio;69KG;1/8F;2015
Geovan Carmo;W;Triangle;Grand Slam - Rio;69KG;1/4F;2015
Pedro Valenca;W;Pts: 10x8;Grand Slam - Rio;69KG;3RD;2015
Leo Saggioro;W;Adv;World Pro;69KG;R1;2016
Carlos Eduardo;W;Triangle;Brasileiro;70KG;1/8F;2016
Victor Genovesi;W;Choke;Brasileiro;70KG;1/4F;2016
Luciano Azevedo;W;Choke;Brasileiro;70KG;SF;2016
Thiago Macedo;W;Pts: 12x12, Adv;World Champ.;70KG;R1;2016
Gabriel Marangoni;W;Choke from back;SP BJJ Pro;70KG;SF;2016
Gilson Nunes;W;Choke from back;SP BJJ Pro;70KG;F;2016
Carlos Eduardo;W;Armbar;Rio Winter Open;70KG;R1;2016
