Opponent,W/L,Method,Competition,Weight,Stage,Year
Ricardo Rezende,L,Pts: 0x0, Adv,World Expo,ABS,SF,2013
Keenan Cornelius,L,Pts: 2x0,IBJJF Pro League,94KG,F,2013
Keenan Cornelius,L,Referee Decision,FIVE Rd Robin,ABS,RR,2013
Yuri Simoes,L,Pts: 2x0,European,ABS,SF,2014
Felipe Pena,L,Submission,Pan American,ABS,R3,2014
Yuri Simoes,L,Adv,Pan American,94KG,1/4F,2014
Keenan Cornelius,L,Choke from back,World Pro.,94KG,1/4F,2014
Rafael Lovato,L,Pts: 2x0,World Champ.,94KG,1/4F,2014
Mauro Santiago,L,Pts: 3x0,No Gi Pan Am.,94KG,SF,2014
Bernardo Faria,L,Pts: 9x2,No Gi Worlds,ABS,RDS,2014
Keenan Cornelius,L,Referee Decision,IBJJF Pro League,94KG,F,2014
Vinny Magalhaes,L,Referee Decision,Berkut Open,ABS,SPF,2015
Vinny Magalhaes,L,Toe hold,Berkut Open NoGi,ABS,SPF,2015
Felipe Pena,L,Pts: 8x2,World Pro,95KG,F,2015
Alexander Trans,L,Toe hold,World Pro,ABS,1/4F,2015
Erberth Santos,L,Pts: 4x2,World Champ.,ABS,1/8F,2015
Alexandre Ribeiro,L,Pts: 6x0,World Champ.,94KG,SF,2015
Erberth Santos,L,Referee Decision,Grand Slam LA,94KG,SF,2015
Andre Campos,L,Referee Decision,Grand Slam LA,ABS,SF,2015
Felipe Pena,L,Pts: 2x0,NoGi Worlds,94KG,F,2015
Mahamed Aly,L,Pts: 2x2, Adv,NoGi Worlds,ABS,1/4F,2015
Abdurakhman Bilarov,L,Heel hook,Berkut 2,ABS,SPF,2015
Romulo Barral,L,Choke from back,European Open,ABS,SF,2016
Erberth Santos,L,Pts: 2x2, Adv,London Grand Slam,94KG,SF,2016
Max Wisniewski,L,Straight ankle lock,London Grand Slam,94KG,3RD,2016
Jose Junior,L,Pts: 2x2, Adv,World Pro,ABS,R2,2016
Andre Galvao,L,Wristlock,World Pro,94KG,1/4F,2016
Andre Galvao,L,Referee Decision,World Champ.,94KG,F,2016
Victor Estima,L,Pts: 2x0,British National,ABS,F,2016
Felipe Pena,L,Choke from back,Berkut 3,ABS,SPF,2016
Shiloh Roberts,W,Choke,World Expo,ABS,GP,2013
Nathan Mendelsohn,W,Pts: 3x3, Adv,World Expo,ABS,GP,2013
Marcel Goncalves,W,Pts: 2x2, Adv,World Expo,ABS,GP,2013
Omar Sabha,W,North south choke,World Expo,ABS,GP,2013
Luiz Panza,W,Triangle,NoGi Worlds,94KG,SF,2013
Roberto Alencar,W,Pts: 0x0, Adv,IBJJF Pro League,94KG,SF,2013
Garry Tonon,W,Pts: 2x0,FIVE Rd Robin,ABS,RR,2013
James Puopolo,W,Pts: 8x0,FIVE Rd Robin,ABS,RR,2013
Yuri Simoes,W,Pts: 2x0,European,94KG,F,2014
Pedro Bessa,W,Points,Grab and Pull,ABS,SPF,2014
Unknown,W,Pts: 4x0,Pan American,ABS,R2,2014
Josh Jordan,W,Pts: 11x0,Pan American,94KG,1/8F,2014
Ben Baxter,W,Referee Decision,FIVE Oregon,ABS,SF,2014
James Puopolo,W,Pts: 7x0,FIVE Oregon,ABS,F,2014
Felipe Bueno,W,Points,World Champ.,94KG,RDS,2014
Julian Vega,W,Cross choke,Dallas Open,ABS,1/4F,2014
James Puopolo,W,Choke from back,Dallas Open,ABS,F,2014
Carlos Vidal,W,Choke from back,Dallas Open,94KG,F,2014
Romulo Souza,W,Pts: 4x0,No Gi Pan Am.,ABS,1/4F,2014
Gianni Grippo,W,Pts: 2x0,No Gi Pan Am.,ABS,SF,2014
AJ Agazarm,W,Armbar,No Gi Pan Am.,ABS,F,2014
Bruno Togni,W,Adv,No Gi Worlds,ABS,RDS,2014
Lucas Rocha,W,Pts: 0x0, Adv,No Gi Worlds,94KG,1/4F,2014
Mauro Santiago,W,Pts: 0x0, Adv,No Gi Worlds,94KG,SF,2014
Eduardo Telles,W,Pts: 2x2, Adv,IBJJF Pro League,94KG,SF,2014
Karim Khalifa,W,Pts: 4x0,London Winter Op.,94KG,F,2015
Luis Finnochio,W,Choke,London Winter Op.,ABS,1/4F,2015
Max Campos,W,Toe hold,London Winter Op.,ABS,SF,2015
C. Negromonte,W,Points,London Winter Op.,ABS,F,2015
Frederico Amiuna,W,Points,Rome Open,94KG,SF,2015
Felipe Dias,W,Pts: 2x0,Rome Open,94KG,F,2015
Pedro Peres,W,Pts: 5x0,World Pro,95KG,1/4F,2015
Faisal AlKitbe,W,Pts: 2x0,World Pro,95KG,SF,2015
AJ Agazarm,W,Pts: 2x0,World Pro,ABS,R1,2015
Joao Rocha,W,Pts: 2x0,World Pro,ABS,R2,2015
Eliot Kelly,W,RNC,World Champ.,ABS,R1,2015
Antonio Antonioli,W,Pts: 2x0,World Champ.,94KG,1/8F,2015
Cassio Francis,W,Pts: 2x2, Adv,World Champ.,94KG,1/4F,2015
Sebastien Lecoq,W,North south choke,Portugal Nat. Pro,ABS,SF,2015
Alan Ferreira,W,Pts: 5x0,Portugal Nat. Pro,ABS,F,2015
Faisal AlKitbe,W,Pts: 0x0, Adv,Grand Slam LA,94KG,3RD,2015
Vinicius Agudo,W,Toe hold,Grand Slam LA,ABS,1/8F,2015
Carlos Farias,W,Pts: 9x0,Grand Slam LA,ABS,1/4F,2015
Renato Tavares,W,Toe hold,Macaco Branco,ABS,SPF,2015
Rodrigo Reis,W,Kneebar,NoGi Worlds,94KG,1/4F,2015
Felipe Bueno,W,Pts: 2x0,NoGi Worlds,94KG,SF,2015
Gabriel ProcÃ³pio,W,Straight armlock,NoGi Worlds,ABS,R1,2015
Adam Wheeler,W,Pts: 10x0,NoGi Worlds,ABS,1/8F,2015
Jaroslav Moltas,W,Choke from back,Berlin Open,94KG,F,2015
Luca Anacoreta,W,Pts: 8x0,Berlin Open,ABS,F,2015
Rodrigo Reis,W,Toe hold,Berlin NoGi Open,94KG,F,2015
Juha LeppÃ¤nen,W,Armbar,European Open,94KG,1/4F,2016
Maks Wisniewski,W,Points,European Open,94KG,SF,2016
Felipe Bueno,W,Pts: 10x0,European Open,94KG,F,2016
Gabriel Arges,W,Toe hold,European Open,ABS,R2,2016
Kaue Damasceno,W,Pts: 4x0,European Open,ABS,1/4F,2016
Piotr Wojtkowski,W,Toe hold,London W. Open,94KG,SF,2016
C. Negromonte,W,Points,London W. Open,94KG,F,2016
Unknown,W,Toe hold,London W. Open,ABS,1/4F,2016
C. Negromonte,W,Pts: 5x0,London W. Open,ABS,SF,2016
Lucio Rodrigues,W,Pts: 3x2,London W. Open,ABS,F,2016
Lucio Rodrigues,W,Pts: 2x2, Adv,London Grand Slam,ABS,1/4F,2016
Nelton Pontes,W,Pts: 5x2,London Grand Slam,94KG,1/4F,2016
Nalmir Guimaraes,W,Choke from back,World Pro,94KG,R1,2016
Diego Gamonal,W,Choke from back,World Champ.,94KG,R1,2016
Felipe Pena,W,Referee Decision,World Champ.,94KG,1/4F,2016
Guilherme Augusto,W,Pts: 9x0,World Champ.,94KG,SF,2016
Nicolas Penzer,W,N/A,British National,94KG,SF,2016
Nelton Pontes,W,Points,British National,ABS,SF,2016
