Opponent,W/L,Method,Competition,Weight,Stage,Year
Paulo Miyao;D;Pts: 0x0;Copa Podio;88KG;GP;2013
Travis Stevens;L;Omoplata;Copa Podio;88KG;GP;2013
Manny Diaz;L;Armbar;Copa Podio;88KG;GP;2013
Alan Finfou;L;Pts: 6x4;World Champ.;82KG;1/4F;2014
Bruno Ramos;L;Adv;TBF VIII;82KG;NA;2014
Gabriel Rollo;L;Points;Rio BJJ Pro;82KG;SF;2014
JT Torres;L;Pts: 4x0;European;82KG;SF;2015
Augusto Carsalade;L;Points;Brasileiro;82KG;SF;2015
Otavio Sousa;L;Pts: 0x0, Adv;World Champ.;82KG;1/4F;2015
Gabriel ProcÃ³pio;L;Pts: 2x0;Brazil Nat. Pro RJ;82KG;F;2015
Erberth Santos;L;Points;Rio Winter Open;ABS;F;2015
Felipe Cesar;L;Toe hold;SP Open;82KG;1/4F;2015
Erberth Santos;L;Armbar;South American;ABS;F;2015
Kaue Damasceno;L;Pts: 0x0, Adv;Grand Slam - Rio;ABS;R1;2015
Cassio Francis;L;Pts: 2x0;Rio Summer Open;ABS;SF;2016
Otavio Sousa;L;Pts: 2x0;Pan American;82KG;1/4F;2016
Otavio Sousa;L;Armbar;Atlanta BJJ Pro;82KG;F;2016
Lucas Valle;L;N/A;Miami Spring Open;82KG;SF;2016
Renato Cardoso;W;Pts: 0x0, Adv;Copa Podio;88KG;GP;2013
Adriano Silva;W;Pts: 2x0;World Pro Trial;82KG;SF;2014
Murilo Santana;W;Pts: 2x0;World Pro Trial;82KG;F;2014
Pablo Aguiar;W;Pts: 4x2;Black Bull;82KG;NA;2014
Herico Hesley;W;N/A;Black Bull;82KG;NA;2014
Breno Novaes;W;Choke from back;Black Bull;82KG;NA;2014
Carlos Eduardo;W;Pts: 6x2;World Champ.;82KG;RDS;2014
Eduardo Santoro;W;Pts: 7x2;World Champ.;82KG;RDS;2014
Clark Gracie;W;Pts: 3x2;World Champ.;82KG;RDS;2014
Caio Almeida;W;Adv;Rio Open;82KG;SF;2014
William Martins;W;Pts: 0x0, Adv;TBF VIII;82KG;NA;2014
Helio MourÃ£o;W;Points;TBF VIII;ABS;NA;2014
Vinicius de Jesus;W;Armbar;CTBJJF Winter Op.;ABS;F;2014
Juan Kamezawa;W;Pts: 14x0;Rio BJJ Pro;82KG;1/4F;2014
Kaue Damasceno;W;Points;Pan Am CBLP;ABS;F;2014
Jackson Patrick;W;Points;Pan Am CBLP;82KG;F;2014
Gabriel Lucas;W;Adv;Copa Cachoeira;ABS;NA;2014
Leonardo Saggioro;W;Referee Decision;Copa Okinawa;ABS;F;2014
Sandro Vieira;W;Pts: 2x0;South American;82KG;SF;2014
Jack MaGee;W;Flying triangle;GFT Interclub;82KG;SPF;2015
Jordi Lloveras;W;Armbar;European;82KG;R1;2015
Marcos Tinoco;W;Referee Decision;European;82KG;1/4F;2015
Nic Ruben;W;Armbar;London Winter Op.;82KG;1/4F;2015
Pedro Bessa;D;---;London Winter Op.;82KG;SF;2015
Vinicius Corrales;W;Points;Rio Fall Open;82KG;SF;2015
Sandro Vieira;W;Armbar;Rio Fall Open;82KG;F;2015
Leonardo Ramos;W;Ezekiel;Brasileiro;82KG;R1;2015
Paulo Toledo;W;Armbar;Brasileiro;82KG;R2;2015
Anderson Carvalho;W;Triangle;Brasileiro;82KG;1/4F;2015
Vinicius Agudo;W;Choke from back;World Champ.;82KG;R1;2015
Francisco Iturralde;W;Armbar;World Champ.;82KG;1/8F;2015
Manuel Ribamar;W;Pts: 4x2;Matshark Open;82KG;F;2015
Romulo Caju;W;Adv;Brazil Nat. Pro RJ;82KG;1/4F;2015
Eltrankin Araruna;W;Armbar;Brazil Nat. Pro RJ;82KG;SF;2015
Ruan Oliveira;W;Armbar;Rio Winter Open;ABS;1/4F;2015
Pedro Moura;W;Referee Decision;Rio Winter Open;ABS;SF;2015
Flavio Macedo;W;Armbar;Rio Winter Open;82KG;R1;2015
Bruno Rafael;W;Points;Rio Winter Open;82KG;R2;2015
FlÃ¡vio Oliveira;W;Armbar;Rio Winter Open;82KG;1/8F;2015
Marcelo Vitorino;W;Triangle;Rio Winter Open;82KG;1/4F;2015
Caio Almeida;W;Triangle;Rio Winter Open;82KG;SF;2015
H. Lisboa;W;Armbar;Confere 7;ABS;SPF;2015
Ayres Modesto;W;Armbar;South American;ABS;1/8F;2015
Mauricio Togni;W;Pts: 5x0;South American;ABS;1/4F;2015
Ricardo Rocha;W;Pts: 13x0;South American;ABS;SF;2015
Bruno Franca;W;Toe Hold;South American;82KG;R1;2015
Unknown;W;Pts: 2x0;South American;82KG;1/4F;2015
Juan Kamezawa;W;Pts: 2x0;South American;82KG;SF;2015
Ives Sacramento;W;Armbar;Grand Slam - Rio;85KG;1/8F;2015
Marlon Oliveira;W;Pts: 2x0;Grand Slam - Rio;85KG;1/4F;2015
Vinicius Marinho;W;Pts: 5x4;Grand Slam - Rio;85KG;SF;2015
FlÃ¡vio Godoy;W;Armbar;Rio Summer Open;82KG;1/4F;2016
Matheus Costa;W;Armbar;Rio Summer Open;82KG;SF;2016
Unknown;W;Armbar;Rio Summer Open;ABS;1/4F;2016
Alec Baulding;W;Armbar;Pan American;82KG;1/8F;2016
Brian Beaury;W;N/A;Atlanta BJJ Pro;82KG;SF;2016
Gabriel Goulart;W;N/A;Las Vegas Open;82KG;SF;2016
Tiago Rocha;W;Armbar;Las Vegas Open;82KG;F;2016
Ricardo Rezende;W;Adv;World Champ.;82KG;R2;2016
Jan Buatim;W;Armbar;Sao Paulo Open;82KG;1/8F;2016
Alexandre Cavalieri;W;Adv;Sao Paulo Open;82KG;1/4F;2016
Adriano Silva;W;Pts: 9x4;Sao Paulo Open;82KG;SF;2016
Vinicius Garcia;W;Armbar;Sao Paulo Open;82KG;F;2016
Juliano Rocha;W;Armbar;London F. Open;82KG;SF;2016
Oliver Geddes;W;Armbar;London F. Open;82KG;F;2016
Antonio Junior;W;Armbar;London F. Open;ABS;SF;2016
Luca Anacoreta;W;Pts: 6x2;London F. Open;ABS;F;2016
