Opponent,W/L,Method,Competition,Weight,Stage,Year
Bernardo Faria;L;Armbar;Pan American;ABS;1/4F;2012
Joao Assis;L;Toe Hold;Pan American;O100KG;1/4F;2012
Marcel Fortuna;L;Points;SF Open;100KG;F;2012
Andre Galvao;L;Clock choke;SD World Trials;ABS;SF;2012
Rodolfo Vieira;L;Choke from back;World Champ.;ABS;R2;2012
Antonio Carlos;L;Points;World Champ.;100KG;R2;2012
Bernardo Faria;L;Points;NoGi Worlds;100KG;1/4F;2012
DJ Jackson;L;Pts: 0x0, Adv;NoGi Worlds;ABS;R1;2012
Marcus Almeida;L;Toe hold;SD Pro Trials;O92KG;F;2013
Orlando Sanchez;L;Adv;Pan American;ABS;R1;2013
R. Evangelista;L;N/A;World Champ.;ABS;RDS;2013
Vitor Oliveira;L;Points;American Nationals;ABS;SF;2013
AJ Agazarm;L;Pts: 9x4;NoGi American Nat.;ABS;1/4F;2013
Kamil Uminski;L;Footlock;ADCC;99KG;R1;2013
Ricardo Rezende;L;Toe hold;World Expo;ABS;F;2013
Leandro Lo;L;Adv;NoGi Worlds;ABS;SF;2013
Keenan Cornelius;L;RNC;FIVE Rd Robin;ABS;RR;2013
Jackson Sousa;L;Pts: 8x0;FIVE Rd Robin;ABS;RR;2013
Garry Tonon;L;Inside heel hook;FIVE Rd Robin;ABS;RR;2013
Murilo Santana;L;Points;Pan American;ABS;R3;2014
Thiago Declavo;L;Verbal tap;Pan American;100KG;R1;2014
Jackson Sousa;L;Pts: 7x0;FIVE Oregon;ABS;F;2014
Rodolfo Vieira;L;Choke from back;World Champ.;100KG;1/4F;2014
Jackson Sousa;L;Choke from back;Dallas Open;ABS;F;2014
Keenan Cornelius;L;Pts: 8x2;No Gi Worlds;ABS;1/4F;2014
Luiz Panza;L;Footlock;No Gi Worlds;100KG;SF;2014
Jordan Hayman;L;Points;Five NAIC;ABS;NA;2014
Yuri Simoes;L;Ezekiel;Long Beach Pro;O94KG;F;2014
Leandro Lo;L;Pts: 13x0;Pan American;ABS;R3;2015
Alexander Trans;L;Kneebar;Pan American;O100KG;F;2015
Yuri Simoes;L;Pts: 7x4;World Champ.;100KG;1/4F;2015
