Opponent,W/L,Method,Competition,Weight,Stage,Year
Joao Rocha,L,Points,ADCC,O99KG,SF,2013
Roberto Abreu,L,Points,ADCC,O99KG,3PLC,2013
Orlando Sanchez,L,Referee Decision,ADCC,O99KG,F,2015
Gustavo Elias,L,Pts: 2x2, Adv,NoGi Worlds,O100KG,1/4F,2015
Rodrigo Freitas,L,Pts: 6x6, Adv,NoGi Worlds,ABS,R1,2015
Mahamed Aly,L,Pts: 11x0,Houston Open,O100KG,F,2016
Mahamed Aly,L,Footlock,Houston Open,ABS,SF,2016
Daniel Priebe,L,N/A,Pan American,100KG,R1,2016
Ezra Lenon,L,Pts: 6x0,Respect Pro,ABS,SPF,2016
Luiz Panza,L,Calf slicer,NoGi Worlds,97KG,F,2016
Murilo Santana,L,Armbar,NoGi Worlds,ABS,SF,2016
Amir Allam,W,Points,ADCC,O99KG,R1,2013
Vinny Magalhaes,W,Pen,ADCC,O99KG,1/4F,2013
Leo Nogueira,W,Pts: 2x0,ADCC,ABS,R1,2013
Gabriel Lucas,W,Pts: 2x0,ADCC,O99KG,R1,2015
Rodrigo Cavaca,W,Pts: 2x0,ADCC,O99KG,1/4F,2015
Joao Rocha,W,Pen,ADCC,O99KG,SF,2015
Pedro Araujo,W,Choke from back,Houston Open,ABS,1/4F,2016
Renato Moraes,W,Pts: 4x0,NoGi Worlds,97KG,1/4F,2016
Muslim Patsarigov,W,Pts: 0x0, Adv,NoGi Worlds,97KG,SF,2016
Gilbert Burns,W,Pts: 4x0,NoGi Worlds,ABS,1/4F,2016
