Opponent,W/L,Method,Competition,Weight,Stage,Year
Eduardo Jamelao;L;Referee Decision;Pan American;82KG;SF;1996
H. Cabelinho;L;N/A;World Champ.;82KG;1/4F;1999
Renzo Gracie;L;Adv;ADCC;77KG;F;2000
Matt Serra;L;Pen;ADCC;77KG;1/4F;2001
Ricardo Arona;L;Pts: 3x0;ADCC;ABS;F;2001
Dean Lister;L;Points;ADCC;ABS;SPF;2005
K. Hironaka;L;Pts: 3x0;LA Sub-X;ABS;SPF;2006
Unknown;W;Points;Copa Cantao;NA;NA;1987
Marcelo Alonso;W;Points;Atlantico Sul;82KG;SF;1991
Wallid Ismail;W;Referee Decision;Atlantico Sul;82KG;F;1991
James Boran;W;Choke;Joe Moreira Cup;77KG;SPF;1997
Roy Harris;W;Pts: 10x6;BB Challenge;ABS;SPF;1998
Rogerinho;W;Straight armlock;World Champ.;82KG;R1;1999
Ryan Harvey;W;RNC;ADCC;77KG;R1;1999
Micah Pittman;W;RNC;ADCC;77KG;1/4F;1999
Hayato Sakurai;W;RNC;ADCC;77KG;SF;1999
Caol Uno;W;RNC;ADCC;77KG;F;1999
Marcio Cromado;W;RNC;ADCC;77KG;R1;2000
Mikey Burnet;W;Ezekiel;ADCC;77KG;1/4F;2000
Leonardo Vieira;W;Pts: 9x0;ADCC;77KG;SF;2000
Serguei Onishuk;W;RNC;ADCC;77KG;R1;2001
Y. Kohsaka;W;Armbar;ADCC;ABS;R1;2001
Marcio Cruz;W;Footlock;ADCC;ABS;1/4F;2001
Ricardo Almeida;W;Pts: 3x0;ADCC;ABS;SF;2001
