Opponent,W/L,Method,Competition,Weight,Stage,Year
Robson Moura,L,Pts: 6x3,LA Sub-X,ABS,SPF,2006
Ricky Lundell,L,Pts: 6x2,AGGRO,ABS,F,2006
Rob Di Censo,L,Pts: 2x0,GQ All Star Pro,72KG,SF,2006
Bibiano Fernandes,L,Pts: 5x0,Pan American,70KG,1/4F,2007
Leonardo Vieira,L,Points,ADCC,66KG,1/4F,2007
Sandro Batata,L,Adv,Pan American,70KG,RDS,2008
Rubens Charles,L,Pts: 0x0, Adv,NoGi Worlds,76KG,F,2008
Rany Yahya,L,Points,ADCC,66KG,1/4F,2009
Ryan Hall,L,Points,ADCC,66KG,3RD,2009
Rubens Charles,L,Pts: 6x0,ADCC,66KG,SF,2011
Caio Terra,L,Armbar,Metamoris,ABS,SPF,2012
Bruno Malfacine,L,Pts: 5x2,World Expo,ABS,SPF,2013
Geo Martinez,L,Points,EBI,65KG,F,2014
Ezra Lenon,L,Pts: 2x0,FIVE SL,ABS,SPF,2015
Geo Martinez,L,Pts: 5x0,ADCC,66KG,1/4F,2015
Bruno Malfacine,D,N/A,Metamoris 7,ABS,SPF,2016
Blas Avena,W,Triangle,AGGRO,ABS,1/4F,2006
Johnny Ramirez,W,Bow and arrow,IGJJF,NA,NA,2006
Brian McLaughlin,W,Pts: 4x2,GQ All Star Pro,72KG,1/4F,2006
Shane Rice,W,Pts: 10x2,Pan American,70KG,R1,2007
Jamie Ballard,W,Flying triangle,ADCC,66KG,R1,2007
Unknown,W,Choke,NoGi Worlds,76KG,1/4F,2008
Philipe Monica,W,Armbar,NoGi Worlds,76KG,SF,2008
Tito Martinez,W,Darce choke,San Diego Pro,76KG,1/4F,2008
Joel Tudor,W,RNC,San Diego Pro,76KG,SF,2008
Diego Moraes,W,RNC,Atama Open,NA,NA,2008
Timo-Juhani,W,Points,ADCC,66KG,R1,2009
Wilson Reis,W,Pts: 2x2, Adv,UFC Expo,ABS,SPF,2009
Sergio Farnes,W,Points,GQ Expo,ABS,NA,2009
Unknown,W,Guillotine,GQ Expo,ABS,NA,2009
Mike Tomacelli,W,Triangle,GQ Expo,ABS,NA,2009
Wilson Reis,W,Pts: 2x2, Adv,UFC Expo,ABS,SPF,2009
Bao Quach,W,Guillotine,ADCC US Trials,66KG,1/4F,2011
John B.,W,Guillotine,ADCC US Trials,66KG,SF,2011
Philip Yoon,W,Triangle,ADCC US Trials,66KG,F,2011
Tom Barlow,W,Points,ADCC,66KG,R1,2011
Mark Ramos,W,Darce Choke,ADCC,66KG,1/4F,2011
Robson Moura,W,Guillotine,ADCC,66KG,3PLC,2011
Javier Vazquez,W,Pts: 4x2,UFC Expo,ABS,SPF,2010
Chris Haueter,W,Arm in guillotine,WGG BOTW,ABS,SPF,2012
Caio Terra,W,Pts: 10x6,World Expo,ABS,SPF,2012
Fredson Paixao,W,Points,UFC Expo,70KG,SPF,2013
Baret Yoshida,D,---,Metamoris 4,ABS,SPF,2014
Sergio Hernandez,W,Triangle,EBI,65KG,R1,2014
Eric Medina,W,kneebar,EBI,65KG,1/4F,2014
Ben Eddy,W,kneebar,EBI,65KG,SF,2014
Vito Paolillo,W,Triangle,UFC Expo,70KG,NA,2014
Daniel Hortegas,W,Heel hook,ADCC,66KG,R1,2015
Budo Jake,W,Bow and arrow,GT Open,76KG,SPF,2015
K. Woodmansee,W,Triangle,SubCon,ABS,SPF,2016
Justin Rader,W,Referee Decision,F2W Pro 11,70KG,SPF,2016
