Opponent,W/L,Method,Competition,Weight,Stage,Year
Fabio Leopoldo;L;Points;World Champ.;94KG;F;2002
Fernando Terere;L;Pts: 0x0, Adv;Team Nationals;O88KG;F;2002
Alexandre Ribeiro;L;Pts: 3x0;Brasileiro;94KG;F;2004
Alexandre Ribeiro;L;Pts: 2x0;World Champ.;94KG;F;2004
Unknown;W;Triangle;World Champ.;94KG;R1;2002
Alexandre Ribeiro;W;Injury;World Champ.;94KG;1/4F;2002
Roberto Godoi;W;Triangle;World Champ.;94KG;SF;2002
Roberto Traven;W;Triangle;World Champ.;94KG;1/4F;2003
Hugo Carioni;W;Choke;World Champ.;94KG;SF;2003
Roger Coelho;W;Triangle;World Champ.;94KG;F;2003
Bruno Bastos;W;Armbar;BB Challenge 2;94KG;SPF;2003
Fernando Paradeda;W;Pts: 0x0, Adv;BB Challenge 3;94KG;SPF;2004
T. Gaia;W;Triangle;Brasileiro;94KG;SF;2006
Eduardo Telles;W;Pts: 5x2;Brasileiro;94KG;F;2006
Artur Gogo;W;Armbar;Brasileiro;94KG;F;2012
