Opponent,W/L,Method,Competition,Weight,Stage,Year
Lucio Rodrigues,L,Pts: 7x0,Copa Podio,100KG,GP,2013
Braga Neto,L,Pts: 2x0,Copa Podio,100KG,GP,2013
Braga Neto,L,Points,World Pro,100KG,SF,2013
Rodolfo Vieira,L,Armbar,World Champ.,ABS,1/4F,2013
Bernardo Faria,L,Pts: 6x0,World Champ.,100KG,F,2013
Leandro Lo,L,Pts: 0x0, Adv,Rio Open,ABS,F,2013
Marcus Almeida,L,Heel Hook,ADCC,O99KG,F,2013
Dean Lister,L,Heel Hook,ADCC,ABS,1/4F,2013
Luiz Panza,L,Points,Pan American,O100KG,1/4F,2015
T. Gaia,L,Pts: 0x0, Adv,World Pro,O95KG,R1,2015
Jackson Sousa,L,Pts: 2x0,World Pro,ABS,R2,2015
Bernardo Faria,L,Pts: 8x2,World Champ.,100KG,F,2015
Jared Dopp,L,Pen,ADCC,O99KG,SF,2015
Vinny Magalhaes,L,Heel hook,ADCC,O99KG,3RD,2015
Claudio Calasans,L,Pts: 0x0, Pen,ADCC,ABS,F,2015
Tim Spriggs,L,Pts: 5x2,Pan American,ABS,1/4F,2016
Marcus Almeida,L,Armbar,World Champ.,O100KG,SF,2016
Marcus Almeida,L,Pts: 7x0,IBJJF Pro GP,ABS,SF,2016
Manny Diaz,L,Pts: 4x4, Adv,BJJ Pro LA,O94KG,SF,2016
Alexandre Souza,W,Pts: 2x0,Copa Podio,100KG,GP,2013
Bruno Bastos,W,Pts: 3x0,Copa Podio,100KG,GP,2013
Paulo Henrique,W,RNC,ADCC Trials,99KG,F,2013
Leo Nogueira,W,Pts: 11x2,Brasileiro,100KG,F,2013
Ricardo Rezende,W,Submission,World Champ.,ABS,RDS,2013
Joao Assis,W,Points,World Champ.,ABS,RDS,2013
Leonardo Leite,W,Choke from back,World Champ.,100KG,1/4F,2013
Rafael Lovato,W,Pts: 10x0,World Champ.,100KG,SF,2013
Grimaldo Filho,W,Choke from back,Rio Open,100KG,F,2013
R. Evangelista,W,Choke from back,Rio Open,ABS,SF,2013
Michael Wilson,W,RNC,ADCC,O99KG,R1,2013
Janne Pietilainen,W,Pts: 3x0,ADCC,O99KG,1/4F,2013
Jared Dopp,W,Points,ADCC,O99KG,SF,2013
David Avellan,W,Points,ADCC,ABS,R1,2013
Roger Ambrosi,W,Adv,World Pro Trial,100KG,F,2014
Romes Pereira,W,Armbar,World Pro Trial,100KG,SF,2014
Gustavo Elias Dias,W,Pts: 4x2,Pan American,O100KG,R1,2015
Agnaldo Silveira,W,Choke from back,Rio Fall Open,O100KG,1/4F,2015
Faisal ElKitbe,W,Footlock,Rio Fall Open,O100KG,SF,2015
R. Evangelista,W,Points,Rio Fall Open,O100KG,F,2015
Unknown,W,Submission,Brasileiro,O100KG,1/4F,2015
Kitner Moura,W,Choke from back,Brasileiro,O100KG,SF,2015
Kaue Damasceno,W,Choke,Brasileiro,O100KG,F,2015
Erberth Santos,W,RNC,World Champ.,100KG,1/4F,2015
Yuri Simoes,W,Choke from back,World Champ.,100KG,SF,2015
Jason Lees,W,Pts: 17x0,ADCC,O99KG,R1,2015
Abraham Marte,W,Pts: 3x0,ADCC,O99KG,1/4F,2015
AJ Agazarm,W,Referee Decision,ADCC,ABS,R1,2015
Vagner Rocha,W,Pts: 3x0,ADCC,ABS,1/4F,2015
Rodolfo Vieira,W,Pts: 2x0,ADCC,ABS,SF,2015
Igor Schneider,W,Palm to palm,Pan American,ABS,R2,2016
Murilo Santana,W,Pts: 4x0,Pan American,ABS,1/8F,2016
Pedro Moura,W,N/A,World Champ.,O100KG,1/4F,2016
Alexander Trans,W,Referee Decision,World Champ.,O100KG,1/4F,2016
Daniel Mehrkar,W,Kimura,BJJ Tour - CT,ABS,1/4F,2016
Aaron Jhonson,W,Choke from back,BJJ Tour - CT,ABS,SF,2016
Tarsis Humphreys,W,Footlock,All Star Tour,ABS,F,2016
Felipe Pena,W,Pts: 4x4, Adv,IBJJF Pro GP,ABS,1/4F,2016
Gustavo Elias,W,Pts: 17x0,BJJ Pro LA,O94KG,1/4F,2016
Ahmed White,W,Submission,US Open,O95KG,F,2016
Francisco Iturralde,W,RNC,US Open,ABS,F,2016
James Puopolo,W,Referee Decision,F2W Pro 17,100KG,SPF,2016
