Opponent,W/L,Method,Competition,Weight,Stage,Year
Ivaniel Oliveira,L,Pts: 10x6,Brasileiro,57KG,F,2014
Jorge Elias,L,Adv,World Champ.,57KG,RDS,2014
Thomas Lisboa,L,Adv,No Gi Worlds,64KG,SF,2014
Paulo Miyao,L,Armbar,Pan American,64KG,SF,2015
Samir Chantre,L,Pts: 0x0, Adv,Dallas NoGi Open,70KG,F,2015
Joao Miyao,L,Choke from back,Grand Slam LA,62KG,F,2015
Mikey Musumeci,L,Choke from back,Pan American,57KG,SF,2016
Lucas Pinheiro,L,Katagatame,F2W Pro 17,64KG,SPF,2016
Takahito Yoshioka,W,Pts: 2x0,Pan American,57KG,R1,2014
Fabbio Passos,W,Pts: 2x2, Adv,Pan American,57KG,1/4F,2014
Koji Shibamoto,W,Choke from back,Pan American,57KG,SF,2014
Milton Bastos,W,Pts: 0x0, Pen,Pan American,57KG,F,2014
Unknown,W,Points,Brasileiro,57KG,1/4F,2014
Leandro Escobar,W,Pts: 7x4,Brasileiro,57KG,SF,2014
Unknown,W,Points,No Gi Worlds,64KG,1/4F,2014
Yuto Hirao,W,Referee Decision,Pan American,64KG,1/4F,2015
Washington Lima,W,Points,SA Open NoGi,64KG,F,2016
