Opponent,W/L,Method,Competition,Weight,Stage,Year
Roberto Alencar,L,Kimura,NoGi Worlds,94KG,SF,2009
Rafael Lovato,L,Pts: 2x0,Pan American,94KG,SF,2010
Rafael Lovato,L,Points,World Champ.,94KG,1/4F,2010
Leo Nogueira,L,Referee Decision,World Champ.,100KG,SF,2011
Davi Ramos,L,Toe hold,Grapplers Quest LV,ABS,F,2011
Dean Lister,L,Heel hook,ADCC,99KG,F,2011
Victor Estima,L,Pts: 2x0,ADCC,ABS,R1,2011
Bernardo Faria,L,Pts: 3x2,Pan American,O100KG,SF,2012
Felipe Bueno,L,Pts: 7x2,World Champ.,100KG,R2,2012
Alexandre Ribeiro,L,Referee Decision,NoGi Worlds,100KG,F,2012
Antonio Peinado,L,North south choke,NoGi Worlds,ABS,1/4F,2012
Joao Rocha,L,Points,World Champ.,ABS,RDS,2013
Luiz Panza,L,Botinha,World Champ.,100KG,1/4F,2013
Yuri Simoes,L,Referee Decision,FIVE SL,ABS,SF,2015
Felipe Pena,L,Pts: 9x0,ADCC,99KG,SF,2015
Daniel Simmler,W,Points,Pan American,94KG,1/4F,2010
Bruce Hoyer,W,RNC,GQ UFC Expo,ABS,R1,2010
Mario Barbosa,W,RNC,GQ UFC Expo,ABS,1/4F,2010
Bill Cooper,W,Pts: 6x0,GQ UFC Expo,ABS,SF,2010
Jeff Monson,W,RNC,GQ UFC Expo,ABS,F,2010
Wilson Reis,W,Pts: 8x0,GQ WBG,ABS,R1,2010
Nader Magrihiy,W,Kneebar,GQ WBG,ABS,1/4F,2010
Nolan Dutcher,W,Toe hold,GQ WBG,ABS,SF,2010
Alexandre Ribeiro,W,Points,GQ WBG,ABS,F,2010
Bill Cooper,W,Pts: 2x2, Adv,GQ Las Vegas,ABS,NA,2010
Ronilson Nunes,W,Choke,World Champ.,100KG,RDS,2011
Ricardo Henrique,W,DQ,World Champ.,100KG,1/4F,2011
Michael Perez,W,RNC,G. Quest WC,ABS,1/4F,2011
Pat Begin,W,Pts: 23x0,G. Quest WC,ABS,SF,2011
Rustam Chsiev,W,Adv,G. Quest WC,ABS,F,2011
James Poupolo,W,Heel hook,ADCC,99KG,R1,2011
Braga Neto,W,Footlock,ADCC,99KG,1/4F,2011
Alexandre Ribeiro,W,RNC,ADCC,99KG,SF,2011
Luis Pedro,W,RNC,No Gi Worlds,ABS,R2,2011
Clark Gracie,W,Pts: 10x0,No Gi Worlds,ABS,1/4F,2011
Antonio Peinado,W,Pts: 2x0,No Gi Worlds,ABS,SF,2011
James Puopolo,W,Toe Hold,Pan American,O100KG,1/4F,2012
Bernardo Faria,W,Pts: 3x0,NoGi Worlds,100KG,SF,2012
Gustavo Elias,W,Pts: 12x0,NoGi Worlds,ABS,1/8F,2012
Pedro Bessa,W,Pts: 2x0,World Champ.,ABS,RDS,2013
Tio Chico,W,Choke from back,World Champ.,ABS,RDS,2013
Liu Wen Bo,W,Pts: 9x0,ADCC,99KG,R1,2013
Tomasz Narkun,W,Pts: 3x0,ADCC,99KG,1/4F,2013
Leo Nogueira,W,Heel Hook,ADCC,99KG,SF,2013
Dean Lister,W,Pts: 5x0,ADCC,99KG,F,2013
Elliot Kelly,W,Pts: 2x0,No Gi Worlds,100KG,1/4F,2014
Roger Ambrosi,W,Pts: 8x0,No Gi Worlds,100KG,SF,2014
Andrew Miller,W,Kneebar,Five NAIC,ABS,NA,2014
Marcel Goncalves,W,Points,Five NAIC,ABS,NA,2014
Tom DeBlass,D,---,Sub Series Pro,ABS,SPF,2015
Tom DeBlass,D,---,Sub Series Pro,ABS,SPF,2015
Abraham Marte,W,Heel hook,FIVE SL,ABS,1/4F,2015
Lucas Rocha,W,Pts: 4x2,FIVE SL,ABS,3RD,2015
Tomasz Narkun,W,Pts: 3x0,ADCC,99KG,R1,2015
Kamil Uminski,W,Injury,ADCC,99KG,1/4F,2015
Evandro Nunes,W,Pts: 6x2,NoGi Worlds,100KG,1/4F,2015
James Puopolo,W,Ankle lock,NoGi Worlds,100KG,SF,2015
Roberto Alencar,W,Pts: 4x0,NoGi Worlds,100KG,F,2015
JJ Pugsley,W,RNC,F2W Pro 1,100KG,SPF,2015
Ray Kong,W,Triangle armbar,FTW Pro 5,ABS,SPF,2016
