Opponent,W/L,Method,Competition,Weight,Stage,Year
Rafael Mendes;L;Pts: 2x0;ADCC;66KG;SF;2013
Justin Rader;L;Points;ADCC;66KG;3PLC;2013
Bruno Malfacine;L;Referee Decision;World Champ.;57KG;F;2014
Bruno Malfacine;L;Adv;World Champ.;57KG;F;2015
Mikey Musumeci;L;Pts: 4x4, Adv;American Nat.;64KG;F;2015
Garry Tonon;L;Referee Decision;FIVE SL;72KG;SPF;2015
Joe Soto;L;Points;EBI 4;65KG;SF;2015
Osvaldo Moizinho;L;Points;GT Open;ABS;SPF;2015
Osvaldo Moizinho;L;Pts: 6x4;GT Open;76KG;F;2015
Osvaldo Moizinho;D;Pts: 0x0;Berkut 2;ABS;SPF;2015
Caio Terra;L;Pts: 8x6;World Champ.;57KG;SF;2016
Mikey Musumeci;L;Pts: 2x2, Adv;American Nats;64KG;F;2016
Mikey Musumeci;L;Pts: 2x0;Grand Slam - LA;62KG;F;2016
Mikey Musumeci;L;Pts: 10x8;NoGi Worlds;62KG;F;2016
Eduardo Telles;W;Adv;World Expo;ABS;SPF;2013
Naudimar Amaral;W;Choke from back;Brasileiro CBJJE;NA;NA;2013
Mark Ramos;W;Calf slicer;ADCC;66KG;R1;2013
Ricardo Vieira;W;Heel hook;ADCC;66KG;1/4F;2013
Hideyuki Yamada;W;Choke from back;European;64KG;SF;2014
F. Spessoto;W;Choke from back;Pan American;64KG;1/4F;2014
Rafael Barata;W;Choke from back;Pan American;64KG;SF;2014
Giusley Santos;W;Pts: 4x0;Brasileiro;64KG;SF;2014
John Cho;W;Pts: 9x0;World Pro.;64KG;1/4F;2014
Tiago Bravo;W;Referee Decision;World Pro.;64KG;F;2014
Koji Shibamoto;W;Pts: 25x4;World Champ.;57KG;1/4F;2014
Ivaniel Oliveira;W;Pts: 2x0;World Champ.;57KG;SF;2014
Ivanildo Lima;W;Choke from back;Rio Open;64KG;F;2014
Alexandre Oliveira;W;Choke from back;Mundial CBJJE;64KG;SF;2014
Johnatha Guido;W;Choke from back;Mundial CBJJE;64KG;F;2014
Jorge Elias;W;Triangle armbar;No Gi Pan Am.;64KG;SF;2014
Mark Ramos;W;Armbar;No Gi Pan Am.;64KG;F;2014
Jorge Elias;W;Points;No Gi Worlds;64KG;1/4F;2014
Fabbio Passos;W;Armbar;No Gi Worlds;64KG;SF;2014
Thomas Lisboa;W;Pts: 10x4;No Gi Worlds;64KG;F;2014
Mark Ramos;W;Choke from back;NYC Pro;70KG;1/4F;2014
Paulo Santana;W;Bow and arrow;NYC Pro;70KG;SF;2014
Gianni Grippo;W;Pts: 6x4;NYC Pro;70KG;F;2014
Gianni Grippo;W;Pen;Copa Podio;70KG;SPF;2014
Walter Telles;W;Arm in Ezekiel;South American;64KG;NA;2014
Unknown;W;RNC;ADCC Trials;77KG;1/4F;2014
Bruno Aparecido;W;Points;ADCC Trials;77KG;F;2014
Lucas Dantas;W;Pts: 8x4;European;64KG;1/4F;2015
S. Franceschini;W;Bow and arrow;European;64KG;SF;2015
Paulo Filho;W;Choke from back;Pan American;64KG;1/4F;2015
Rafael Freitas;W;Choke;Pan American;64KG;SF;2015
David Domzalski;W;Submission;Chicago Spring;64KG;SF;2015
Wellington Dias;W;Choke from back;Chicago Spring;64KG;F;2015
Paulo Silva;W;Points;NY Spring Open;64KG;F;2015
Pedro Azevedo;W;N/A;Brasileiro;64KG;SF;2015
Thomas Lisboa;W;Choke from back;Brasileiro;64KG;F;2015
Andre Pontes;W;Triangle;Las Vegas Open;64KG;F;2015
Koji Shibamoto;W;Pts: 6x2;World Champ.;57KG;1/4F;2015
Ivaniel Oliveira;W;Choke from back;World Champ.;57KG;SF;2015
Ramon Flores;W;N/A;BJJ Tour;64KG;F;2015
Ruben Alvarez;W;Omoplata;Grapplers Quest;65KG;1/4F;2015
Mike Main;W;Heel hook;Grapplers Quest;65KG;SF;2015
Luis Pinto;W;Choke f. omoplata;US No Gi Nat.;64KG;F;2015
Luis Pinto;W;Points;American Nat.;64KG;SF;2015
David Herndon;W;Choke from back;NY Summer Open;64KG;F;2015
Luis Pantoja;W;Triangle;NY No Gi Open;64KG;F;2015
Jose Alvarez;W;Points;Austin Open;70KG;SF;2015
Gabriel Martins;W;Choke from back;Austin Open;70KG;F;2015
Luis Ninja Pinto;W;Choke from back;LV Summer Open;64KG;F;2015
Julian Marquez;W;Points;LV Summer Open;ABS;1/4F;2015
Kim Terra;W;Referee Decision;LV Summer Open;ABS;SF;2015
Carlos Farias;W;Pts: 0x0, Adv;LV Summer Open;ABS;F;2015
Mike Main;W;RNC;EBI 4;65KG;R1;2015
Geoff Real;W;RNC;EBI 4;65KG;1/4F;2015
Gabriel Moraes;W;Points;Santa Cruz Pro;70KG;F;2015
Geo Martinez;W;Pts: 4x2;GT Open;ABS;SPF;2015
Julio Cordova;W;Points;GT Open;76KG;SF;2015
Joseph Best;W;RNC;NoGi Pan Ams;64KG;SF;2015
Mark Ramos;W;RNC;NoGi Pan Ams;64KG;F;2015
Rafael Freitas;W;Pts: 2x0;Grand Slam LA;62KG;SF;2015
Joao Somalia;W;Choke from back;Grand Slam LA;62KG;F;2015
Mark Ramos;W;Toe hold;NoGi Worlds;64KG;1/4F;2015
Thomas Lisboa;W;Pts: 6x4;NoGi Worlds;64KG;SF;2015
Samir Chantre;W;Pts: 6x4;NoGi Worlds;64KG;F;2015
Rodnei Barbosa;W;Pts: 0x0, Adv;Grand Slam - Rio;62KG;R1;2015
Pedro Azevedo;W;Pts: 14x0;Grand Slam - Rio;62KG;1/8F;2015
Rodnei Junior;W;Choke from back;Grand Slam - Rio;62KG;1/4F;2015
Jorge Nakamura;W;Pts: 4x0;Grand Slam - Rio;62KG;SF;2015
Tsuyoshi Tamaki;W;Choke from back;European Open;64KG;1/4F;2016
Gabriel Wilcox;W;Choke from back;European Open;64KG;SF;2016
Tsuyoshi Tamaki;W;Choke from back;Pan American;64KG;1/4F;2016
Vitor Paschoal;W;Choke from back;Pan American;64KG;SF;2016
Gabriel Moraes;W;Pts: 2x0;Pan American;64KG;F;2016
Yukinori Sasa;D;---;Polaris 3;70KG;SPF;2016
Thomas Costa;W;Choke from back;NY Spring Open;64KG;SF;2016
Tadashi Takashima;W;Choke from back;NY Spring Open;64KG;F;2016
Rodnei Barbosa;W;Pts: 4x2;World Pro;62KG;1/4F;2016
Wellington Lima;W;Choke;World Pro;62KG;SF;2016
Jeffrey Cummings;W;N/A;Atlanta BJJ Pro;70KG;1/4F;2016
Nicollas Welker;W;N/A;Atlanta BJJ Pro;70KG;SF;2016
Bruno Frazatto;W;Points;Atlanta BJJ Pro;70KG;F;2016
Tomoyuki Hashimoto;W;Points;World Champ.;57KG;R1;2016
Lucas Pinheiro;W;Pts: 2x2, Adv;World Champ.;57KG;1/4F;2016
Bruno Braz;W;Armbar;NY Summer Open;64KG;F;2016
Mayko Borges;W;Pts: 8x2;Ch. Summer Open;64KG;SF;2016
Anthony Ferro;W;Brabo choke;Ch. Summer Open;64KG;F;2016
Ben Pitchford;W;Pts: 21x0;Chicago NoGi SO;67KG;SF;2016
Bruce Guevara;W;Pts: 9x0;Chicago NoGi SO;67KG;F;2016
Joseph Conery;W;Kneebar;Boston SIO;64KG;F;2016
A. Aldiuncin;W;Pts: 5x0;Grand Slam - LA;62KG;SF;2016
Arthur Molina;W;Pts: 12x4;G. Slam NG - LA;67KG;SF;2016
Alexis Barragan;W;Pts: 36x0;NoGi Worlds;62KG;1/4F;2016
Rene Lopez;W;DQ;NoGi Worlds;62KG;SF;2016
