Opponent,W/L,Method,Competition,Weight,Stage,Year
Diego Borges,L,Pts: 4x0,Copa Podio,86KG,GP,2016
Claudio Calasans,L,Guillotine,Copa Podio,86KG,GP,2016
Erberth Santos,L,Mounted triangle,Copa Podio,86KG,GP,2016
Josh Hinger,L,Armbar,Ch. Summer Open,82KG,SF,2016
Josh Hinger,L,Armbar,Ch. Summer Open,ABS,1/4F,2016
Brian Morizi,L,Choke from back,Grand Slam - LA,77KG,R1,2016
G. Batista,L,Pts: 11x2,Guatemala Open,O76KG,F,2016
Dan Borovic,W,Pts: 12x4,Copa Podio,86KG,GP,2016
Hayward Charles,W,Guillotine,F2W Pro 7,82KG,SPF,2016
Jonathan Correa,W,Armbar,Ch. Summer Open,82KG,1/4F,2016
Sergio Silva,W,Guillotine,G. Slam NG - LA,83KG,F,2016
Richie Martinez,W,Armbar,Guatemala Open,82KG,SPF,2016
Unknown,W,Guillotine,Guatemala Open,O76KG,1/4F,2016
Unknown,W,RNC,Guatemala Open,O76KG,SF,2016
