Opponent,W/L,Method,Competition,Weight,Stage,Year
Tanner Rice;L;Adv;NY Spring Open;ABS;1/4F;2015
Vagner Rocha;L;Points;ADCC Trials;77KG;SF;2015
Sergio Ardila;L;Ankle lock;ADCC Trials;77KG;3RD;2015
Javier Yamuni;L;Armbar;Boston Spring Open;82KG;1/4F;2015
Victor Oliveira;L;Pts: 3x0;World Champ.;82KG;1/8F;2015
Gilbert Burns;L;Pts: 4x0;NY No Gi Open;ABS;SF;2015
Dan Schon;L;Darce choke;GT Open;82KG;SPF;2015
Marcelo Mafra;L;Pts: 4x0;NoGi Pan Ams;82KG;SF;2015
DJ Jackson;L;Pts: 3x0;NoGi Worlds;82KG;F;2015
Felipe Cesar;L;Pts: 0x0, Adv;Pan American;82KG;1/8F;2016
Luan Carvalho;L;Referee Decision;World Pro;77KG;1/8F;2016
Otavio Sousa;L;Pts: 10x0;World Champ.;82KG;1/8F;2016
Felipe Cesar;L;Points;NY Summer Open;82KG;SF;2016
Murilo Santana;L;N/A;NY NoGi Open;ABS;SF;2016
Marcelo Mafra;L;Guillotine;NoGi Worlds;79KG;F;2016
Tyler Warren;W;RNC;NY Spring Open;82KG;1/4F;2015
Kayron Gracie;W;North South Choke;NY Spring Open;82KG;SF;2015
Unknown;W;Guillotine;ADCC Trials;77KG;1/8F;2015
Unknown;W;Guillotine;ADCC Trials;77KG;1/4F;2015
Pedro Henrique;W;Pts: 9x0;Boca Raton Open;82KG;SF;2015
Marcos Souza;W;Pts: 11x4;World Champ.;82KG;R1;2015
Kyle Sandford;W;Kneebar;Sub Series Pro;82KG;SPF;2015
Sean Fischer;W;Pts: 10x0;NY Summer Open;82KG;1/4F;2015
Francisco Iturralde;W;Pts: 5x2;NY Summer Open;82KG;F;2015
Jordan Lutsky;W;Armbar;NY Summer Open;88KG;SF;2015
Todd Brandon;W;RNC;NY Summer Open;ABS;1/4F;2015
Jordan Lutsky;W;Armbar;NY Summer Open;ABS;SF;2015
Youngam Noh;W;RNC;NY No Gi Open;82KF;F;2015
Youngam Noh;W;RNC;NY No Gi Open;ABS;1/4F;2015
Fernando Moya;W;Pts: 6x0;GT Open;O76KG;SF;2015
Sean Roberts;W;Referee Decision;GT Open;O76KG;F;2015
Brian Beaury;W;Pts: 15x0;NoGi Pan Ams;82KG;1/4F;2015
Gabriel ProcÃ³pio;W;Pts: 10x2;NoGi Worlds;82KG;1/8F;2015
Felipe Cesar;W;Pts: 6x4;NoGi Worlds;82KG;1/4F;2015
Marcelo Mafra;W;Pts: 0x0, Adv;NoGi Worlds;82KG;SF;2015
Q. Rosenzweig;W;Pts: 8x0;US National Pro;ABS;SF;2016
Abraham Marte;W;Pts: 3x0;US National Pro;ABS;F;2016
Robson SÃ¡;W;Choke from back;Pan American;82KG;R1;2016
Darragh OConaill;D;---;Polaris 3;82KG;SPF;2016
William Dias;W;Pts: 2x0;World Pro;77KG;R2;2016
Brian Beaury;W;N/A;World Champ.;82KG;R2;2016
Marcel Goncalves;W;Points;NY NoGi Open;ABS;1/4F;2016
Daniel Davis;W;RNC;NoGi Pan Ams;79KG;1/4F;2016
Sean Fisher;W;RNC;NoGi Pan Ams;79KG;SF;2016
Felipe Cesar;W;Referee Decision;NoGi Pan Ams;79KG;F;2016
Cassio Francis;W;Referee Decision;NoGi Pan Ams;ABS;SF;2016
Christian Dellevag;W;Armbar;NoGi Worlds;79KG;R1;2016
Felipe Cesar;W;Pts: 2x2, Adv;NoGi Worlds;79KG;1/4F;2016
Francisco Iturralde;W;Pts: 2x0;NoGi Worlds;79KG;SF;2016
