Opponent,W/L,Method,Competition,Weight,Stage,Year
Lucas Lepri,L,Pts: 2x0,NoGi Worlds,76KG,F,2009
Michael Langhi,L,Adv,European,76KG,SF,2010
Lucas Lepri,L,Pts: 3x0,Pan American,76KG,1/4F,2010
Augusto Mendes,L,Points,No Gi Worlds,76KG,SF,2010
Roberto Abreu,L,Points,No Gi Worlds,ABS,R2,2010
Gilbert Burns,L,Pts: 4x4, Adv,Brasileiro,76KG,F,2010
Michael Langhi,L,Choke from back,Pan American,76KG,SF,2011
Davi Ramos,L,Points,World P. NoGi,74KG,SF,2011
Leandro Lo,L,Points,Brasileiro,76KG,1/4F,2011
Gilbert Burns,L,Pts: 4x0,World Champ.,76KG,SF,2011
Leonardo Vieira,L,Pts: 2x0,ADCC,77KG,1/4F,2011
Leandro Lo,D,Pts: 2x2,Copa Podio,76KG,GP,2011
Ed Ramos,L,Pts: 4x2,Copa Podio,76KG,GP,2011
Roberto Satoshi,L,Pts: 5x0,European Open,76KG,F,2012
Felipe Bueno,L,Adv,Pan American,O100KG,1/4F,2012
Roberto Satoshi,L,Pts: 2x0,World Pro.,76KG,SF,2012
Roberto Satoshi,L,Pts: 2x2, Adv,World Champ.,76KG,1/4F,2012
Augusto Mendes,L,Pts: 0x0, Adv,NoGi Worlds,76KG,F,2012
Michael Langhi,L,Choke,Pan American,76KG,SF,2013
Kron Gracie,L,Armbar,ADCC,77KG,SF,2013
Claudio Calasans,L,Pts: 2x2, Adv,European,82KG,F,2014
Lucas Lepri,L,Adv,Pan American,76KG,SF,2014
Yuri Simoes,L,Points,FIVE Cali. 1,ABS,SF,2014
Lucas Lepri,L,Pts: 12x0,World Champ.,76KG,F,2014
Michael Langhi,L,Pts: 2x2, Adv,World Champ.,76KG,SF,2015
Vitor Oliveira,L,Pts: 6x0,Pan American,82KG,SF,2016
Lucas Lepri,L,Pts: 2x2, Adv,World Champ.,76KG,SF,2016
Dan Cherubin,W,Points,Tokyo International,ABS,N/A,2009
Renan Borges,W,Bow and arrow,PGC Superfight,76KG,SPF,2009
Patrick Head,W,Triangle/kimura,NoGi Worlds,76KG,1/4F,2009
Phillipe Monica,W,Pts: 9x0,NoGi Worlds,76KG,SF,2009
Marcos Torregrosa,W,Choke from back,American Nat.,76KG,SF,2009
Rodrigo Freitas,W,N/A,American Nat.,76KG,F,2009
