Opponent,W/L,Method,Competition,Weight,Stage,Year
Nino Schembri;L;Triangle;Brasileiro;82KG;F;1995
Roberto Roleta;L;Pts: 6x0;World Champ.;88KG;1/4F;2000
Ricardo Liborio;L;Injury;ADCC;88KG;SF;2000
Nino Schembri;L;kneebar;Rickson Cup;ABS;GP;2000
Saulo Ribeiro;L;Pts: 10x0;ADCC;88KG;1/4F;2005
Roberto Godoi;L;Pts: 4x0;Paulista FPJJ;100KG;F;2007
Karl Webber;W;Pts: 15x0;ADCC;88KG;R1;2000
Egan Inoe;W;Pts: 6x0;ADCC;88KG;1/4F;2000
Eduardo Jamelao;W;Pts: 9x2;Rickson Cup;ABS;GP;2000
Roberto Godoi;W;Referee Decision;BB Challenge 3;88KG;SPF;2004
Craig Kohl;W;Armbar;Copa Pacifica;ABS;SPF;2004
Take Hanai;W;Pts: 14x0;ADCC;88KG;R1;2005
Edwin Lipsey;W;Triangle;UFC Expo;ABS;SPF;2011
