Opponent,W/L,Method,Competition,Weight,Stage,Year
Roberto Roleta,L,Points,World Champ.,100KG,1/4F,1998
Leonardo Leite,L,Pts: 4x0,World Champ.,100KG,F,1999
Rodrigo Comprido,L,Adv,World Champ.,ABS,SF,1999
Mark Kerr,L,Pen,ADCC,ABS,SPF,2001
Roger Gracie,L,Pts: 5x0,ADCC,99KG,R1,2003
Francisco Bueno,W,Wristlock,Atlantico Sul,100KG,F,1994
Unknown,W,Choke,World Champ.,100KG,1/4F,1997
Paulo Teodoro,W,N/A,World Champ.,100KG,SF,1997
Saulo Ribeiro,W,Points,World Champ.,ABS,R2,1997
Roberto Correa,W,Wristlock,World Champ.,ABS,1/4F,1997
Muhammad Saleh,W,Points,ADCC,99KG,R1,1998
Larry Parker,W,Armbar,ADCC,99KG,1/4F,1998
Renato Verissimo,W,Choke,ADCC,99KG,SF,1998
Ricardo Alves,W,Pts: 5x0,ADCC,99KG,F,1998
Oleg Taktarov,W,Pts: 4x0,ADCC,ABS,1/4F,1998
Simon Siasi,W,Footlock,ADCC,ABS,SF,1998
Unknown,W,Cross choke,World Champ.,ABS,1/4F,1998
Royler Gracie,W,Clock choke,World Champ.,ABS,SF,1998
Roberto Roleta,W,Adv,World Champ.,ABS,F,1998
Enson Inoe,W,Points,ADCC,ABS,SPF,1999
Renzo Gracie,W,Pts: 2x0,ADCC,ABS,SPF,2011
Fabio Gurgel,W,Referee Decision,ADCC,ABS,SPF,2013
