Opponent,W/L,Method,Competition,Weight,Stage,Year
Eduardo Telles;L;Pts: 2x0;FIVE NoGi C. 2;ABS;1/4F;2014
Francisco Iturralde;L;Adv;American Nat.;82KG;SF;2014
Bernardo Faria;L;Armbar;No Gi Worlds;ABS;1/4F;2014
Thiago Abreu;L;Footlock;No Gi Worlds;79KG;1/4F;2014
Magid Hage;L;Baseball choke;SF Open;82KG;F;2015
Felipe Cesar;L;Pts: 7x2;Pan American;82KG;R3;2015
Mike Fowler;L;Pts: 15x0;Marianas Open;ABS;1/4F;2015
Garry Tonon;L;Points;EBI 3;77KG;F;2015
Stephen Martinez;L;Adv;RevGear;ABS;F;2015
Stephen Martinez;L;Guillotine;Metamoris UG;ABS;SPF;2015
Fernando Moya;L;Armbar;Seattle Open;ABS;SF;2015
Thiago Sa;L;Toe hold;NoGi Worlds;88KG;1/4F;2015
Adam Wheeler;L;Pts: 5x0;NoGi Worlds;ABS;R1;2015
Procopio Fonseca;L;Pts: 9x6;Irvine Open;82KG;SF;2015
Romulo Barral;L;Cross ck. f/ mount;European Open;88KG;1/4F;2016
Felipe Pena;L;Choke from back;European Open;ABS;R1;2016
Dillon Danis;L;Triangle;Pan American;82KG;R1;2016
Carlos Farias;L;Collar choke;Ch. Summer Open;ABS;SF;2016
Murilo Santana;L;Arm in guillotine;NoGi Worlds;ABS;1/4F;2016
Unknown;W;Referee Decision;FIVE Cali. 2;82KG;1/4F;2014
Kyle Swanson;W;Triangle;FIVE Cali. 2;82KG;SF;2014
Stephen Martinez;W;Points;FIVE Cali. 2;82KG;F;2014
Nathan Mendelson;W;Guillotine;American Nat.;82KG;1/4F;2014
Stephen Martinez;W;Arm Triangle;Am. Nat. NoGi;82KG;1/4F;2014
Francisco Iturralde;W;DQ;Am. Nat. NoGi;82KG;SF;2014
Francisco Iturralde;W;Pts: 11x0;Am. Nat. NoGi;ABS;1/4F;2014
AJ Agazarm;W;Points;Am. Nat. NoGi;ABS;SF;2014
Darragh OConaill;W;Triangle;SF Open;82KG;1/4F;2015
Vitor Oliveira;W;Guillotine;SF Open;82KG;SF;2015
Mike Padilla;W;Triangle;EBI 3;77KG;R1;2015
Nathan Orchard;W;Points;EBI 3;77KG;1/4F;2015
Darragh OConaill;W;Points;EBI 3;77KG;SF;2015
Joseph Gonzalez;W;Points;RevGear;ABS;1/4F;2015
Lance Glynn;W;Guillotine;RevGear;ABS;SF;2015
Jaret Macintosh;W;Monoplata;Sub Series Pro;82KG;SPF;2015
Vinicius Agudo;W;Monoplata;Seattle Open;82KG;1/4F;2015
Pedro Henrique;W;Monoplata;Seattle Open;82KG;SF;2015
Alessandro Ferreira;W;Guillotine;Seattle Open;ABS;1/4F;2015
Gotterell King;W;Pts: 0x0, Adv;NoGi Worlds;88KG;1/8F;2015
Albert Aguirre;W;Triangle;Gracie Worlds;ABS;N/A;2015
Issa Able;W;Triangle armbar;Gracie Worlds;ABS;N/A;2015
Travis Newaza;W;Armbar;Gracie NoGi Worlds;ABS;F;2015
Brent Alvarez;W;Reverse triangle;Gracie NoGi Worlds;ABS;SF;2015
Baret Yoshida;D;---;Gracie NoGi Worlds;ABS;F;2015
Shannon Gugerty;W;Arm in Guillotine;SRO;ABS;SPF;2015
Bruno Cuppari;W;Pts: 2x0;European Open;88KG;R1;2016
Javier Yamuni;W;Bow and Arrow;Chicago S. Open;82KG;SF;2016
Sean Fisher;W;Points;Chicago S. Open;82KG;F;2016
Aiazbek Mustakov;W;Arm Triangle;Chicago S. Open;ABS;1/4F;2016
Josh Bowling;W;Guillotine;Chicago S. Open;ABS;SF;2016
Inacio Neto;W;Monoplata;Chicago S. Open;ABS;F;2016
Steven Patterson;W;RNC;Ch. NoGi S. Open;83KG;SF;2016
Javier Valenciano;W;Pts: 14x0;Ch. NoGi S. Open;83KG;F;2016
Steven Patterson;W;Kneebar;Ch. NoGi S. Open;ABS;SF;2016
Inacio Neto;W;Kneebar;Ch. NoGi S. Open;ABS;F;2016
John Combs;W;Armbar;Ch. Summer Open;82KG;SF;2016
Lucas Valle;W;RNC;Ch. Summer Open;82KG;F;2016
John Combs;W;Armbar;Ch. Summer Open;ABS;1/4F;2016
Ben Shaeffer;W;Reverse Triangle;Chicago NoGi SO;83KG;SF;2016
Mayko Borges;W;Guillotine;Chicago NoGi SO;ABS;SF;2016
Matt Jubera;W;Reverse triangle;NoGi Worlds;85KG;1/4F;2016
Matheus Diniz;W;Pts: 4x0;NoGi Worlds;85KG;SF;2016
Charles Negromonte;W;Pts: 11x0;NoGi Worlds;85KG;F;2016
Diogo Sampaio;W;Referee Decision;NoGi Worlds;ABS;R1;2016
Mahamed Aly;W;Pts: 16x8;NoGi Worlds;ABS;1/8F;2016
