Opponent,W/L,Method,Competition,Weight,Stage,Year
Zak Maxwell,L,Referee Decision,Pan American,76KG,R2,2013
Diego Borges,L,Pts: 6x0,Copa Podio,76KG,GP,2013
Leandro Lo,L,Pts: 10x0,Copa Podio,76KG,GP,2013
JT Torres,L,Referee Decision,World Champ.,76KG,1/4F,2014
Jaime Canuto,L,Pts: 14x0,Rio BJJ Pro,82KG,1/4F,2014
Andris Brunovskis,L,Pts: 4x4, Adv,Pan American,76KG,R2,2015
Luan Carvalho,L,Pts: 0x0, Adv,Brasileiro,76KG,F,2015
JT Torres,L,Pts: 2x0,World Champ.,76KG,1/4F,2015
Jaime Canuto,L,Pts: 2x0,South American,82KG,SF,2015
Michael Liera,L,Adv,World Champ.,76KG,R2,2016
Carlos Portugues,W,Choke from back,Pan American,76KG,R1,2013
Clark Gracie,D,---,Copa Podio,76KG,GP,2013
Brandon Magana,W,Footlock,Copa Podio,76KG,GP,2013
Sandro Vieira,W,Pts: 0x0, Adv,Brasileiro,76KG,SF,2014
Juan Vega,W,Pts: 5x0,World Champ.,76KG,R1,2014
Sergio de Oliveira,W,Choke from back,World Champ.,76KG,1/8F,2014
Rafael Suzuki,W,Armbar,Circuito Paulista,76KG,F,2015
Juliano Rocha,W,Points,Brasileiro,76KG,R1,2015
Unknown,W,Points,Brasileiro,76KG,R2,2015
Jose Thiago,W,Pts: 10x0,Brasileiro,76KG,1/4F,2015
Sandro Vieira,W,Points,Brasileiro,76KG,SF,2015
Nathan Mendelsohn,W,Choke from back,World Champ.,76KG,1/8F,2015
Caio Almeida,W,Pts: 6x0,South American,82KG,R1,2015
Jake Mackenzie,W,Wristlock,South American,82KG,1/4F,2015
Rodrigo Santos,W,N/A,Brasileiro,76KG,1/8F,2016
AJ Agazarm,W,Pts: 11x2,Brasileiro,76KG,1/4F,2016
Sandro Vieira,W,N/A,Brasileiro,76KG,SF,2016
Pedro Farias,W,Pts: 7x2,World Champ.,76KG,R1,2016
