Opponent,W/L,Method,Competition,Weight,Stage,Year
Rafael Mendes,L,Anaconda,ADCC,66KG,1/4F,2009
Rafael Mendes,L,Choke,World Champ.,70KG,RDS,2011
Rafael Mendes,L,RNC,ADCC,66KG,1/4F,2011
Rubens Charles,L,Adv,No Gi Worlds,70KG,F,2011
Celso Vinicius,L,Points,Ultimate Abs.,76KG,F,2012
Rafael Mendes,L,Triangle,Pan American,70KG,1/4F,2012
Leo Saggioro,L,Choke,World Champ.,70KG,R3,2012
Rubens Charles,L,Adv,NoGi Worlds,70KG,F,2012
Rubens Charles,L,Points,ADCC,66KG,SF,2013
Osvaldo Moizinho,L,Pts: 4x0,Pan American,70KG,1/4F,2014
Jeff Glover,L,Referee Decision,F2W Pro 11,70KG,SPF,2016
Baret Yoshida,W,Adv,ADCC,66KG,R1,2009
Carlos Esquisito,W,Referee Decision,No Gi Worlds,70KG,F,2010
Darrin Lillian,W,Choke,World Champ.,70KG,RDS,2011
Timo-Juhani,W,Pts: 3x0,ADCC,66KG,R1,2011
Rob Di Censo,W,Pts: 2x0,No Gi Worlds,70KG,1/4F,2011
Samir Chantre,W,Pts: 2x0,No Gi Worlds,70KG,SF,2011
Wesley Gann,W,Guillotine,UFC Expo,ABS,SPF,2011
Magno Gama,W,Points,Ultimate Abs.,76KG,R1,2012
Ryan Hall,W,Points,Ultimate Abs.,76KG,1/4F,2012
Samuel Braga,W,Points,Ultimate Abs.,76KG,SF,2012
Mayko Girotto,W,Points,Pan American,70KG,R1,2012
David Lemes,W,Adv,World Champ.,70KG,R2,2012
Ed Ramos,W,Points,NoGi Worlds,70KG,1/4F,2012
Samir Chantre,W,Pts: 2x0,NoGi Worlds,70KG,SF,2012
Augusto Mendes,W,Referee Decision,ADCC,66KG,R1,2013
Nicolas Renier,W,Points,ADCC,66KG,1/4F,2013
Joao Miyao,W,Points,ADCC,66KG,3PLC,2013
Samir Chantre,W,Calf Slicer,NoGi Worlds,70KG,SF,2013
Osvaldo Moizinho,W,Referee Decision,NoGi Worlds,70KG,F,2013
Denny Prokopos,W,Darce choke,Midwest Challenge,ABS,F,2013
Niccolas Araujo,W,Points,Pan American,70KG,R1,2014
