Opponent,W/L,Method,Competition,Weight,Stage,Year
Marcelo Garcia,L,Pts: 5x0,World Champ.,82KG,SF,2010
Davi Ramos,L,Calf slicer,NoGi Pan Ams,ABS,F,2011
Rafael Lovato,L,Kimura,Metamoris,ABS,SPF,2012
Marcelo Lapela,L,Guillotine,Pan American,82KG,1/4F,2013
Jonathan Satava,L,North South Choke,NY Spring Open,82KG,SF,2015
Diego Gamonal,W,Cross choke,Pan American,82KG,R1,2010
Marcelo Mafra,W,N/A,Pan American,82KG,1/4F,2010
Sergio Moraes,W,Pts: 2x2, Adv,Pan American,82KG,SF,2010
Abmar Barbosa,W,Pts: 6x4,Pan American,82KG,F,2010
Diogo Silva,W,Ezekiel,Pan American,88KG,1/4F,2012
Diogo Almeida,W,Pts: 6x2,Pan American,88KG,SF,2012
Vitor Toledo,W,Choke from back,Pan American,88KG,F,2012
Romulo Melo,W,N/A,Pan American,82KG,R2,2013
Phil Miller,W,N/A,NY Spring Open,82KG,1/4F,2015
Sean Fisher,W,Points,Boston Spring Open,82KG,SF,2015
Brian Beaury,W,Botinha,Boston Spring Open,82KG,F,2015
