Opponent,W/L,Method,Competition,Weight,Stage,Year
Romulo Barral;L;Points;ADCC;88KG;SF;2013
Roberto Abreu;L;Points;ADCC;ABS;SF;2013
Alexander Trans;L;Pts: 3x2;Pan American;ABS;1/4F;2014
Marcus Almeida;L;Pts: 2x2, Adv;World Pro.;ABS;SF;2014
Andre Galvao;L;Referee Decision;World Pro.;ABS;3PLC;2014
Braulio Estima;L;Points;World Pro.;94KG;SF;2014
Marcus Almeida;L;Pts: 10x4;World Champ.;ABS;SF;2014
Diogo Gamonal;L;DQ;World Champ.;88KG;RDS;2014
Yuri Simoes;L;Pts: 4x0;No Gi Worlds;ABS;F;2014
Leandro Lo;L;Pts: 6x2;NYC Pro;94KG;F;2014
Leo Nogueira;L;Pts: 0x0, Adv;Pan American;ABS;1/4F;2015
Victor Estima;L;Referee Decision;World Pro;85KG;SF;2015
Alexander Trans;L;Pts: 2x0;World Pro;ABS;SF;2015
Leandro Lo;L;Pts: 4x2;World Pro;ABS;3RD;2015
Alexandre Ribeiro;D;N/A;Metamoris 6;ABS;SPF;2015
Leandro Lo;L;Pts: 8x6;World Champ.;ABS;1/4F;2015
Tim Spriggs;L;Pts: 2x0;World Champ.;94KG;1/4F;2015
Yuri Simoes;L;Pts: 3x0;ADCC;88KG;F;2015
Felipe Pena;L;Pts: 4x2;Marianas Open;ABS;F;2016
Alexander Trans;L;Pts: 0x0, Adv;World Pro;ABS;1/4F;2016
Leandro Lo;L;Pts: 4x2;World Champ.;88KG;SF;2016
Leandro Lo;L;Pts: 2x0;World Champ.;ABS;1/4F;2016
Gordon Ryan;L;Inside heel hook;Grappling Ind.;ABS;SPF;2016
Tarsis Humphreys;L;DQ;BJJ Pro LA;94KG;F;2016
Lucas Leite;W;Armbar;World Expo;ABS;SPF;2013
Magid Hage;W;Armbar;WC Pro Trials;85KG;RR;2013
Morris Ayala;W;Choke from back;WC Pro Trials;85KG;RR;2013
Elliot Kelly;W;Choke from back;WC Pro Trials;ABS;SF;2013
Gustavo Pires;W;Choke from back;WC Pro Trials;ABS;F;2013
Clark Gracie;W;Pts: 4x2;ADCC;88KG;R1;2013
Oskar Piechota;W;Darce choke;ADCC;88KG;1/4F;2013
Pablo Popovitch;W;Verbal tap;ADCC;88KG;3PLC;2013
Erza Lennon;W;Heel Hook;ADCC;ABS;R1;2013
Oskar Piechota;W;Pts: 8x0;ADCC;ABS;1/4F;2013
Dean Lister;W;Points;ADCC;ABS;3PLC;2013
Diego Gamonal;W;Triangle armbar;IBJJF Pro League;94KG;SF;2013
Jackson Sousa;W;Pts: 2x0;IBJJF Pro League;94KG;F;2013
