Opponent,W/L,Method,Competition,Weight,Stage,Year
AJ Agazarm,L,Pts: 7x5,NYC Pro,82KG,1/4F,2014
Ricardo Rezende,L,Pts: 2x0,Five NAIC,ABS,F,2014
Luan Carvalho,L,Pts: 2x2,Miami Open,76KG,1/4F,2014
AJ Agazarm,L,Points,World Pro Trials,86KG,SF,2015
AJ Agazarm,L,Points,Pan American,76KG,1/4F,2015
Ed Ramos,L,Kneebar,NY Spring Open,76KG,SF,2015
Francisco Iturralde,L,Choke,NY Spring Open,ABS,1/4F,2015
Lucas Lepri,L,Choke,World Pro,75KG,R2,2015
Renan Borges,L,Points,Boston Spring Open,76KG,SF,2015
Mario Reis,L,Armbar,World Champ.,70KG,1/8F,2015
Osvaldo Moizinho,L,Armbar,American Nat.,76KG,SF,2015
Vitor Oliveira,L,Pts: 2x2, Adv,Santa Cruz Open,82KG,1/4F,2015
Otavio Sousa,L,Pts: 2x0,IBJJF NY Pro,82KG,SF,2015
Brian Mahecha,L,Points,Houston Nat. Pro,77KG,F,2015
Brian Mahecha,L,Points,Houston Nat. Pro,O77KG,F,2015
Edwin Najmi,L,Toe hold,European Open,76KG,1/4F,2016
Diego Bispo,L,N/A,Atlanta Open,76KG,SF,2016
Masahiro Iwasaki,L,Pts: 4x2,Pan American,76KG,R1,2016
Dany Gerard,L,Pts: 2x0,World Pro,ABS,1/8F,2016
AJ Agazarm,L,Pts: 2x0,World Pro,77KG,R1,2016
Michael Langhi,L,Pts: 4x2,World Champ.,76KG,R2,2016
Bruno Alves,L,Pts: 4x2,Grand Slam - LA,77KG,1/4F,2016
Edwin Najmi,L,Straight ankle lock,Guatemala Open,76KG,SPF,2016
G. Batista,L,Armbar,Guatemala Open,ABS,SPF,2016
Michael Liera,W,Pts: 6x0,Five NAIC,82KG,F,2014
Marcelo Salazar,W,Toe Hold,Miami Open,ABS,1/4F,2014
Diogo Almeida,W,Pts: 12x0,Miami Open,ABS,SF,2014
AJ Sousa,W,Pts: 0x0, Adv,World Pro Trials,ABS,1/4F,2015
Brian Miller,W,Armbar,Pan American,76KG,R1,2015
Nicollas Welker,W,Toe Hold,NY Spring Open,76KG,1/4F,2015
Higor Almo,W,Armbar,World Pro,75KG,R1,2015
Garrett Beck,W,Pts: 10x0,Boston Spring Open,76KG,1/4F,2015
Diego Bispo,W,Toe Hold,Boston Spring Open,76KG,SF,2015
Renan Borges,W,Points,Boston Spring Open,76KG,F,2015
John Lawrence,W,Armbar,American Nat.,76KG,R1,2015
Rodrigo Freitas,W,Pts: 6x2,American Nat.,76KG,1/4F,2015
Vitor Paschoal,W,Points,American Nat.,76KG,SF,2015
Vitor Riciotti,W,Armbar,Miami Open,76KG,SF,2015
Marcel Goncalves,W,Toe hold,Miami Open,76KG,F,2015
Brian Beaury,W,Points,IBJJF NY Pro,82KG,1/4F,2015
Jose Portillo,W,Pts: 6x2,Houston Nat. Pro,77KG,SF,2015
Spencer Guilliam,W,Armbar,Houston Nat. Pro,O77KG,SF,2015
Rafael Fernandes,W,Armbar,European Open,76KG,R1,2016
Sandro Vieira,W,Pts: 2x0,European Open,76KG,R2,2016
Jef. Cummings,W,Adv,Atlanta Open,76KG,1/4F,2016
Andre Arruda,W,Toe hold,World Pro,ABS,R1,2016
Gabriel Goulart,W,Pts: 2x2, Adv,Miami Spring Open,76KG,SF,2016
Matias Simonelli,W,Armbar,Miami Spring Open,76KG,F,2016
Choi Choi,W,Pts: 0x0, Adv,World Champ.,76KG,R1,2016
Rodrigo Barros,W,Armbar,Guatemala Open,76KG,1/4F,2016
Isaac Doederlein,W,Adv,Guatemala Open,76KG,SF,2016
Osvaldo Moizinho,W,Adv,Guatemala Open,76KG,F,2016
