Opponent,W/L,Method,Competition,Weight,Stage,Year
Bruno Malfacine;L;Choke from back;World Champ.;57KG;RDS;2011
Rafael Freitas;L;Adv;Pan American;57KG;SF;2012
Felipe Costa;L;Referee Decision;World Champ.;57KG;1/4F;2012
Daniel Beleza;L;Pts: 6x0;IBJJF Pro League;70KG;1/4F;2012
Brandon Mullins;L;Triangle;European Open;57KG;F;2013
Fabbio Passos;L;Points;Pan American;64KG;1/4F;2013
Ivaniel Oliveira;L;Pts: 6x2;World Champ.;57KG;1/4F;2013
Caio Terra;L;Pts: 2x2, Adv;European;57KG;F;2014
Joao Somalia;L;Choke from back;Pan American;57KG;SF;2014
Joao Miyao;L;Pts: 25x4;World Champ.;57KG;1/4F;2014
Paulo Miyao;L;Pts: 14x2;IBJJF Pro League;70KG;SF;2014
Nicolas Gaillard;L;Triangle;European;57KG;SF;2015
Bruno Malfacine;L;Pts: 3x2;Pan American;57KG;SF;2015
Joao Miyao;L;Pts: 6x2;World Champ.;57KG;1/4F;2015
Caio Terra;L;Pts: 2x2, Adv;European Open;57KG;SF;2016
Lucas Pinheiro;L;Pts: 4x4, Adv;Pan American;57KG;SF;2016
Caio Terra;L;Points;World Champ.;57KG;1/4F;2016
Tomoyuki Hashimoto;L;Pts: 2x2, Adv;Asian Open;57KG;F;2016
Todd Kalani;W;Points;World Champ.;57KG;RDS;2011
M.Todokoro;W;Points;European Open;57KG;F;2012
Felipe Costa;W;N/A;Pan American;57KG;1/4F;2012
Luiz Theodoro;W;N/A;World Champ.;57KG;R2;2012
William Haggerty;W;Armbar;Pan American;57KG;1/4F;2014
Washington Lima;W;Footlock;World Champ.;57KG;RDS;2014
Tayo Shioto;W;Pts: 2x0;World Champ.;57KG;RDS;2014
Masaaki Todokoro;W;Choke from back;Asian Open;57KG;F;2014
Takahito Yoshioka;W;Pts: 2x0;European;57KG;1/4F;2015
Jorge Nakamura;W;Bow and arrow;Pan American;57KG;1/4F;2015
Tomoyuki Hashimoto;W;Pts: 2x2, Adv;Asian Open;57KG;F;2015
Rodnei Barbosa;W;Referee Decision;European Open;57KG;SF;2016
Gabriel Rosenberg;W;Choke from back;World Champ.;57KG;R1;2016
Unknown;W;Choke from back;All Japan;57KG;SF;2016
Masaaki Todokoro;W;Pts: 8x0;All Japan;57KG;F;2016
