Opponent,W/L,Method,Competition,Weight,Stage,Year
Sergio Moraes;L;Arm in ezekiel;World Champ.;82KG;R1;2008
Lucas Leite;L;Pts: 7x0;Pan American;82KG;F;2009
Marcelo Garcia;L;Guillotine;ADCC;77KG;1/4F;2009
Lucas Leite;L;Pts: 2x0;World Champ.;82KG;1/4F;2009
Abmar Barbosa;L;Pts: 11x0;Pan American;82KG;1/4F;2010
Sergio Moraes;L;Pts: 4x4, Adv;World Champ.;82KG;RD;2010
Gilbert Burns;L;Pts: 9x2;World Champ.;76KG;F;2011
Marcelo Garcia;L;Pts: 2x0;ADCC;77KG;SF;2011
Marcus Almeida;L;Kneebar;Pan American;ABS;SF;2012
Victor Estima;L;Pts: 6x2;Pan American;82KG;SF;2012
Zak Maxwell;L;Pts: 4x0;SD World Trials;74KG;F;2012
Pedro Bessa;W;Guillotine;European;82KG;SF;2009
Yan Cabral;W;Choke from back;European;82KG;F;2009
N. Phungephorn;W;Armbar;Pan American;82KG;1/8F;2009
Abmar Barbosa;W;Kneebar;Pan American;82KG;1/4F;2009
Carlos Ferreira;W;Botinha;Pan American;82KG;SF;2009
Erico Cocco;W;RNC;ADCC;77KG;R1;2009
Rodrigo Costa;W;Armbar;Pan American;82KG;R1;2010
Sergio Rodrigo;W;Guillotine;World Champ.;76KG;RDS;2011
Rafael Barbosa;W;Choke;World Champ.;76KG;RDS;2011
Leandro Lo;W;Choke from back;World Champ.;76KG;1/4F;2011
Michael Langhi;W;Referee Decision;World Champ.;76KG;SF;2011
Jason Manly;W;Guillotine;ADCC;77KG;R1;2011
Murilo Santana;W;Pts: 0x0, Pen;ADCC;77KG;1/4F;2011
Claudio Calasans;W;Guillotine;ADCC;77KG;3PLC;2011
David Gill;W;Choke;Pan American;ABS;R1;2012
R. Evangelista;W;Botinha;Pan American;ABS;R2;2012
Victor Estima;W;DQ;Pan American;ABS;1/4F;2012
Carlos Ribeiro;W;Choke;Pan American;82KG;R2;2012
Jake Mackenzie;W;Choke;Pan American;82KG;1/4F;2012
Beneil Dariush;W;Referee Decision;SD World Trials;74KG;SF;2012
Elan Santiago;W;Choke;World Champ.;82KG;R2;2012
Gabriel Rollo;W;Pts: 4x4, Adv;World Champ.;82KG;1/8F;2012
Otavio Sousa;W;Armbar;Metamoris;ABS;SPF;2012
Victor Estima;W;Points;World Expo;ABS;SPF;2012
Shinya Aoki;W;Guillotine;Metamoris 2;ABS;SPF;2013
Andy Wang;W;RNC;ADCC;77KG;R1;2013
Garry Tonon;W;RNC;ADCC;77KG;1/4F;2013
JT Torres;W;Armbar;ADCC;77KG;SF;2013
Otavio Sousa;W;Guillotine;ADCC;77KG;F;2013
