Opponent,W/L,Method,Competition,Weight,Stage,Year
Augusto Mendes;L;Pts: 4x0;Pan American;76KG;R1;2011
Kron Gracie;L;Choke from back;World Champ.;76KG;1/4F;2011
Marcus Almeida;L;Pts: 6x6, Adv;Pan Am CBJJE;ABS;SF;2011
Antonio Carlos;L;Flying triangle;Pan American;ABS;R2;2012
Otavio Sousa;D;Pts: 2x2;Copa Podio;85KG;GP;2012
Lucas Lepri;L;Points;World Pro.;76KG;SF;2012
Antonio Peinado;L;Referee Decision;Brasileiro;ABS;R1;2012
Antonio Carlos;L;Pts: 2x2, Adv;World Champ.;ABS;R2;2012
Augusto Mendes;L;Pts: 9x0;NoGi Worlds;76KG;SF;2012
Alexandre Ribeiro;L;Pts: 0x0, Adv;NoGi Worlds;ABS;F;2012
Orlando Sanchez;L;Referee Decision;Pan American;ABS;R2;2013
Vitor Oliveira;L;Points;Pan American;82KG;1/4F;2013
Bernardo Faria;L;Points;World Champ.;ABS;1/4F;2013
Gilbert Burns;L;Pts: 3x0;NoGi Worlds;82KG;SF;2013
Andre Galvao;L;Adv;Pan American;ABS;F;2014
Rodolfo Vieira;L;Choke from back;Copa Podio;94KG;F;2014
Rodolfo Vieira;L;Choke from back;World Pro.;ABS;1/4F;2014
Keenan Cornelius;L;Pts: 6x4;World Champ.;ABS;RD 4;2014
Bernardo Faria;L;Lapel choke;Pan American;ABS;F;2015
Marcus Almeida;L;Pts: 2x2, Adv;World Pro;ABS;SF;2015
Bernardo Faria;L;Armbar;World Champ.;ABS;SF;2015
Bernardo Faria;L;Arm in ezekiel;Pan American;ABS;F;2016
Victor Honorio;L;Pts: 0x0, Adv;World Pro;ABS;1/8F;2016
Zak Maxwell;W;Pts: 6x0;World Pro.;74KG;1/4F;2011
Michael Langhi;W;Pts: 4x0;World Pro.;74KG;SF;2011
Celso Vinicius;W;Adv;World Pro.;74KG;F;2011
JT Torres;W;Points;Brasileiro;76KG;1/4F;2011
Augusto Mendes;W;Points;Brasileiro;76KG;SF;2011
Michael Langhi;W;Adv;Brasileiro;76KG;F;2011
Tatsuya Kaneko;W;Armbar;World Champ.;76KG;RDS;2011
Unknown;W;Points;World Champ.;76KG;RDS;2011
Claudio Daniel;W;Referee Decision;Pan Am CBJJE;ABS;NA;2011
R. Evangelista;W;Bow and arrow;Pan Am CBJJE;ABS;NA;2011
Fabiano Boi;W;Points;Pan Am CBJJE;ABS;NA;2011
Moacir Mendes;W;Pts: 2x2, Adv;Copa Podio;76KG;GP;2011
JT Torres;D;---;Copa Podio;76KG;GP;2011
Ed Ramos;W;Pts: 7x0;Copa Podio;76KG;GP;2011
Denilson Pimenta;W;Pts: 12x0;Copa Podio;76KG;GP;2011
Vinicius Marinho;W;Pts: 5x2;Copa Podio;76KG;SF;2011
Claudio Mattos;W;Choke from back;Copa Podio;76KG;F;2011
Claudevam Martins;W;Pts: 45x0;Amazon Meeting;76KG;SF;2011
AntÃ´nio Carlos;W;Bow and arrow;Amazon Meeting;76KG;F;2011
Antonio Crivelari;W;Pts: 2x0;Brasileiro NoGi;73KG;1/4F;2011
Tiago Bravo;W;Pts: 8x2;Brasileiro NoGi;73KG;SF;2011
Theodoro Canal;W;Pts: 10x0;Brasileiro NoGi;73KG;F;2011
Rodrigo Martins;W;Choke from back;Int. de Jiu-Jitsu;76KG;1/4F;2011
Ivan;W;Pts: 13x0;Int. de Jiu-Jitsu;76KG;SF;2011
Eduardo Silva;W;Lapel choke;Int. de Jiu-Jitsu;76KG;F;2011
Luiz Supp;W;Cross choke;Brasil Sul Cup;ABS;1/4F;2012
Alexandre Souza;W;Pts: 2x0;Brasil Sul Cup;ABS;SF;2012
Ricardo Bastos;W;Pts: 2x0;Brasil Sul Cup;ABS;F;2012
Victor Schlosser;W;Pts: 6x6, Adv;Pan American;ABS;R1;2012
Italo Lins;W;Points;Pan American;76KG;R2;2012
Zak Maxwell;W;Pts: 13x2;Pan American;76KG;1/4F;2012
Philipe Della Monica;W;Pts: 16x0;Pan American;76KG;SF;2012
Lucas Lepri;W;Pts: 2x0;Pan American;82KG;R1;2012
Dimitrius Souza;W;Pts: 2x0;Copa Podio;85KG;GP;2012
Felipe PreguiÃ§a;D;---;Copa Podio;85KG;GP;2012
Rafael Barbosa;W;Pts: 3x0;Copa Podio;85KG;GP;2012
Ricardo Bastos;W;Pts: 8x2;Copa Podio;85KG;SF;2012
Dimitrius Souza;W;Pts: 7x0;Copa Podio;85KG;F;2012
Antonio Farias;W;Points;World Pro.;76KG;R2;2012
Alexandre Ceconi;W;Pts: 0x0, Adv;World Champ.;ABS;R2;2012
Alessandro Ferreia;W;Pts: 23x0;World Champ.;76KG;R2;2012
Theodoro Canal;W;Points;World Champ.;76KG;R3;2012
Rodrigo Caporal;W;Pts: 21x0;World Champ.;76KG;1/4F;2012
Roberto Satoshi;W;Pts: 7x2;World Champ.;76KG;SF;2012
Lucas Lepri;W;Pts: 2x0;World Champ.;76KG;F;2012
Lucas Lepri;W;Pts: 0x0, Adv;IBJJF Pro League;82KG;F;2012
Raymond Ayalla;W;Pts: 45x0;NoGi Worlds;76KG;1/4F;2012
Diego Herzog;W;Pts: 4x0;NoGi Worlds;ABS;R1;2012
DJ Jackson;W;Pts: 0x0, Adv;NoGi Worlds;ABS;1/4F;2012
Antonio Peinado;W;Pts: 0x0, Adv;NoGi Worlds;ABS;SF;2012
Lucas Rocha;W;Choke from back;Arizona Open;82KG;F;2013
Augusto Mendes;W;Points;Arizona Open;ABS;F;2013
Jake Shields;D;---;World Expo;ABS;SPF;2013
Renato Cardoso;W;Pts: 15x4;Pan Am. CBJJE;ABS;NA;2013
Rodrigo Ribeiro;W;Points;Pan Am. CBJJE;ABS;NA;2013
Jake Mackenzie;W;Points;Pan Am. CBJJE;ABS;NA;2013
Augusto Mendes;W;Pts: 5x2;Copa Podio;ABS;SPF;2013
Felipe PreguiÃ§a;W;Pts: 3x2;Copa Podio;ABS;SPF;2013
Bernardo Filho;W;Cross ck. f/ mount;Pan American;ABS;R1;2013
Sean Roberts;W;Cross ck. f/ mount;Pan American;82KG;R2;2013
Roberto Satoshi;W;Points;World Pro;76KG;SF;2013
Lucas Lepri;W;Pts: 0x0, Adv;World Pro;76KG;F;2013
Claudio Calasans;W;Points;Copa Podio;82KG;SPF;2013
Luis Rosa;W;N/A;World Champ.;ABS;RDS;2013
Orlando Sanchez;W;Pts: 6x0;World Champ.;ABS;RDS;2013
Vinicius Marinho;W;Pts: 6x2;World Champ.;76KG;1/4F;2013
Lucas Lepri;W;Adv;World Champ.;76KG;SF;2013
Michael Langhi;W;Pts: 2x0;World Champ.;76KG;F;2013
Diego Borges;W;Adv;Copa Podio;76KG;GP;2013
Brandon Magana;W;Pts: 18x0;Copa Podio;76KG;GP;2013
Clark Gracie;W;Pts: 13x0;Copa Podio;76KG;GP;2013
Juan Kamezawa;W;Pts: 10x0;Copa Podio;76KG;GP;2013
DJ Jackson;W;Pts: 6x2;Copa Podio;76KG;SF;2013
Diego Borges;W;Adv;Copa Podio;76KG;F;2013
Leandro Brassoloto;W;Bow and arrow;Brasileiro CBJJE;ABS;NA;2013
Rodrigo Ribeiro;W;Armbar;Brasileiro CBJJE;ABS;NA;2013
Cassio Francis;W;Points;Brasileiro CBJJE;ABS;NA;2013
Juarez Harles;W;Kimura;Mundial CBJJE;82KG;1/4F;2013
Alan Finfou;W;Pts: 2x0;Mundial CBJJE;82KG;SF;2013
Diogo Almeida;W;Pts: 12x0;Mundial CBJJE;82KG;F;2013
Diogo Almeida;W;Points;Mundial CBJJE;ABS;1/4F;2013
Leandro Brassoloto;W;Cross choke;Mundial CBJJE;ABS;SF;2013
Augusto Vieira;W;N/A;Rio Open;82KG;SF;2013
Alan Finfou;W;Armbar;Rio Open;82KG;F;2013
Unknown;W;Points;Rio Open;ABS;1/4F;2013
Felipe Pena;W;Pts: 0x0, Adv;Rio Open;ABS;SF;2013
Joao Rocha;W;Pts: 0x0, Adv;Rio Open;ABS;F;2013
James Puopolo;W;Adv;NoGi Worlds;ABS;SF;2013
John Roberts;W;Cross choke;Pan American;ABS;R2;2014
Fabiano Leite;W;Points;Pan American;ABS;R3;2014
Victor Estima;W;Points;Pan American;ABS;1/4F;2014
Alexander Trans;W;Points;Pan American;ABS;SF;2014
Julian Marquez;W;DQ;Pan American;82KG;R1;2014
Charles Santos;W;Pts: 4x2;Pan American;82KG;1/4F;2014
Victor Estima;W;Pts: 5x0;Pan American;82KG;SF;2014
Otavio Sousa;W;Adv;Pan American;82KG;F;2014
Alexandre Souza;W;Pts: 4x0;Copa Podio;94KG;GP;2014
Faisal Kitbe;W;Pts: 0x0, Adv;Copa Podio;94KG;GP;2014
Alan Belcher;W;Choke from back;Copa Podio;94KG;GP;2014
Rodolfo Vieira;D;---;Copa Podio;94KG;GP;2014
Luiz Panza;W;Pts: 6x4;Copa Podio;94KG;SF;2014
Hamzeh Rasheed;W;Armbar;Copa Podio;77KG;GP;2014
S. Franceschini;W;Cross choke;Copa Podio;77KG;GP;2014
Gregor Gracie;W;Pts: 8x2;Copa Podio;77KG;GP;2014
Victor Silverio;W;Pts: 8x0;Copa Podio;77KG;SF;2014
Gregor Gracie;W;Armbar;Copa Podio;77KG;F;2014
Luke Costello;W;Points;World Pro.;ABS;R1;2014
Rodrigo Fajardo;W;Pts: 14x0;World Pro.;ABS;R2;2014
Nivaldo Oliveira;W;Pts: 9x0;World Pro.;ABS;R3;2014
Luca Anacoreta;W;Pts: 4x0;World Pro.;82KG;1/4F;2014
Otavio Sousa;W;Points;World Pro.;82KG;SF;2014
Victor Estima;W;Referee Decision;World Pro.;82KG;F;2014
Omar Saba;W;Cross choke;World Champ.;ABS;R2;2014
Kawazoe;W;Pts: 28x0;World Champ.;82KG;RDS;2014
Tulio Rosario;W;Cross ck. f/ mount;World Champ.;82KG;RDS;2014
Sean Roberts;W;Pts: 6x0;World Champ.;82KG;RDS;2014
Victor Silverio;W;Adv;World Champ.;82KG;1/4F;2014
Victor Estima;W;Pts: 7x2;World Champ.;82KG;SF;2014
Otavio Sousa;W;Pts: 9x6;World Champ.;82KG;F;2014
Caio Almeida;W;Cross choke;Mundial CBJJE;ABS;SF;2014
Claudio Calasans;W;Pts: 4x2;Mundial CBJJE;ABS;F;2014
Keenan Cornelius;W;Pts: 6x2;NYC Pro;94KG;F;2014
Gilbert Burns;W;Cross choke;Copa Podio;82KG;SPF;2014
L. Valle;W;Pts: 10x0;The Team;76KG;RR;2014
Takahiro Kanda;W;Pts: 21x0;All Japan NoGi;88KG;F;2014
Ryo Chonan;W;Pts: 4x0;All Japan NoGi;ABS;F;2014
Ichitaro Tsukada;W;Cross choke;All Japan;ABS;F;2014
Yuto Hirao;W;Brabo choke;Pan American;ABS;R2;2015
James Puopolo;W;Pts: 13x0;Pan American;ABS;R3;2015
Yuri Simoes;W;Pts: 4x2;Pan American;ABS;1/4F;2015
Leo Nogueira;W;Pts: 2x0;Pan American;ABS;SF;2015
Cris Atkins;W;Brabo choke;Pan American;82KG;R2;2015
Bruno Antunes;W;Pts: 13x0;Pan American;82KG;R3;2015
Felipe Cesar;W;Cross choke;Pan American;82KG;1/4F;2015
Victor Estima;W;Pts: 4x2;Pan American;82KG;SF;2015
Otavio Sousa;W;Pts: 5x2;Pan American;82KG;F;2015
Max Carvalho;W;Pts: 6x0;World Pro;85KG;R1;2015
Igor Basilio;W;Cross choke;World Pro;85KG;R2;2015
Felipe Sagat;W;Toe hold;World Pro;85KG;1/4F;2015
AJ Sousa;W;Points;World Pro;85KG;SF;2015
Victor Estima;W;Pts: 0x0, Adv;World Pro;85KG;F;2015
Victor Silverio;W;Pts: 4x2;World Pro;ABS;R2;2015
Felipe Bueno;W;Pts: 0x0, Adv;World Pro;ABS;R2;2015
Max Carvalho;W;Pts: 3x0;World Pro;ABS;1/4F;2015
Keenan Cornelius;W;Pts: 4x2;World Pro;ABS;3RD;2015
Sergio Moraes;W;Pts: 6x0;Copa Podio;ABS;SPF;2015
TarcÃ­sio Jardim;W;Pts: 9x4;World Champ.;ABS;1/8F;2015
Keenan Cornelius;W;Pts: 8x6;World Champ.;ABS;1/4F;2015
Matheus Diniz;W;Pts: 4x0;World Champ.;88KG;1/4F;2015
Renato Cardoso;W;Pts: 15x2;World Champ.;88KG;SF;2015
Tarsis Humphreys;W;Pts: 7x0;World Champ.;88KG;F;2015
Rodrigo Freitas;W;Pts: 0x0, Adv;Santa Cruz Pro;82KG;SF;2015
Julian Marquez;W;Cross choke;Santa Cruz Pro;82KG;F;2015
Davi Ramos;W;Pts: 6x2;Copa Podio;77KG;GP;2016
AJ Sousa;W;Pts: 13x0;Copa Podio;77KG;GP;2016
Lucas Lepri;W;Pts: 2x2, Adv;Copa Podio;77KG;GP;2016
Felipe Cesar;W;Pts: 7x0;Copa Podio;77KG;GP;2016
Dillon Danis;W;Pts: 2x0;Copa Podio;77KG;SF;2016
Lucas Lepri;W;Pts: 2x0;Copa Podio;77KG;F;2016
Alessandro Silva;W;Bow and arrow;Pan American;88KG;1/8F;2016
Gabriel Arges;W;Pts: 12x6;Pan American;88KG;1/4F;2016
Renato Cardoso;W;Toe hold;Pan American;88KG;SF;2016
Romulo Barral;W;Pts: 2x0;Pan American;88KG;F;2016
Dany Gerard;W;Cross choke;Pan American;ABS;R2;2016
Guilherme Augusto;W;Pts: 3x0;Pan American;ABS;1/8F;2016
Andre Galvao;W;Pts: 2x0;Pan American;ABS;SF;2016
K. Dzieniszewski;W;Armbar;World Pro;ABS;1/8F;2016
Lucas Rego;W;Choke;World Pro;85KG;1/8F;2016
Patrick Gaudio;W;Pts: 4x2;World Pro;85KG;1/4F;2016
Renato Cardoso;W;Pts: 2x0;World Pro;85KG;SF;2016
Claudio Calasans;W;Referee Decision;World Pro;85KG;F;2016
Charles Negromonte;W;Pts: 8x0;World Champ.;88KG;1/8F;2016
Matheus Diniz;W;Pts: 7x0;World Champ.;88KG;1/4F;2016
Keenan Cornelius;W;Pts: 4x2;World Champ.;88KG;SF;2016
Romulo Barral;W;Pts: 5x0;World Champ.;88KG;F;2016
Ricardo Rezende;W;Pts: 11x0;World Champ.;ABS;R2;2016
Gustavo Elias;W;Pts: 7x0;World Champ.;ABS;1/8F;2016
Keenan Cornelius;W;Pts: 2x0;World Champ.;ABS;1/4F;2016
Nicholas Meregali;W;Pts: 4x2;Copa Podio;86KG;GP;2016
Dillon Danis;W;Pts: 0x0, Adv;Copa Podio;86KG;GP;2016
Max Gimenis;W;Pts: 2x0;Copa Podio;86KG;GP;2016
Diego Borges;W;Pts: 2x0;Copa Podio;86KG;SF;2016
Erberth Santos;W;Pts: 6x0;Copa Podio;86KG;F;2016
I. Bahiense;W;Pts: 2x0;Copa Podio;105KG;RR;2016
Cassio Francis;W;Toe hold;Copa Podio;105KG;RR;2016
F. Trovo;W;Pts: 8x0;Copa Podio;105KG;RR;2016
Nelton Pontes;W;Pts: 0x0, Adv;Copa Podio;105KG;SF;2016
Alexander Trans;W;Pts: 2x0;Copa Podio;105KG;F;2016
