Opponent,W/L,Method,Competition,Weight,Stage,Year
Rafael Lovato,L,Points,Pan American,94KG,1/4F,2010
Alexandre Ceconi,L,Pts: 5x2,Brasileiro,94KG,F,2010
Alexandre Ribeiro,L,Adv,World Champ.,ABS,1/4F,2010
Igor Araujo,W,N/A,European,94KG,SF,2011
Rodolfo Vieira,L,Adv,Pan American,94KG,1/4F,2011
Alberto Silva,W,Wristlock,World Champ.,100KG,1/4F,2011
Joao Assis,W,Referee Decision,World Champ.,100KG,SF,2011
Marcus Almeida,W,Referee Decision,World Champ.,100KG,F,2011
Lucio Lagarto,L,Choke,European Open,ABS,1/4F,2012
Tatsuya Kondo,W,Submission,World Champ.,ABS,R2,2012
Igor Silva,W,Armbar,World Champ.,ABS,R2,2012
Alexandre Ribeiro,W,Pts: 4x0,World Champ.,ABS,1/4F,2012
Antonio Carlos,W,Pts: 9x2,World Champ.,ABS,SF,2012
Marcus Almeida,L,Pts: 8x4,World Champ.,ABS,F,2012
Paulo Martins,W,Baseball choke,World Champ.,100KG,1/4F,2012
Felipe Bueno,W,Points,World Champ.,100KG,SF,2012
K. Cornelius,D,---,Copa Podio,100KG,GP,2013
Rodolfo Vieira,L,Pts: 9x0,Copa Podio,100KG,GP,2013
Alexandre Ribeiro,W,Adv,Copa Podio,100KG,GP,2013
Alexandre Ceconi,W,Choke,Copa Podio,100KG,GP,2013
Braga Neto,W,Pts: 7x0,Copa Podio,100KG,SF,2013
Rodolfo Vieira,L,Adv,Copa Podio,100KG,F,2013
Bruno Matias,W,Leglock,European Open,ABS,1/4F,2013
Alexander Trans,W,Pts: 4x0,European Open,ABS,SF,2013
Bruno Matias,W,Kneebar,European Open,O100KG,1/4F,2013
Alexander Trans,L,Pts: 5x2,European Open,O100KG,SF,2013
Alessandro Silva,W,Submission,Pan American,ABS,R1,2013
Clark Gracie,W,Pts: 6x0,Pan American,ABS,R2,2013
Nivaldo Oliveira,L,Pts: 2x0,Pan American,ABS,1/4F,2013
Joao Rocha,L,Pts: 11x2,Brasileiro,100KG,F,2013
Alian Drueco,W,Guillotine,ADCC,99KG,R1,2013
Mikael Knutsson,W,Points,ADCC,99KG,1/4F,2013
Joao Assis,L,Heel Hook,ADCC,99KG,SF,2013
Cristiano Lazzarini,W,Points,ADCC,99KG,3PLC,2013
Jared Dopp,L,Pts: 2x0,ADCC,ABS,R1,2013
Tim Spriggs,W,Pts: 5x0,Copa Podio,94KG,GP,2014
Rico Bastos,W,Pts: 2x0,Copa Podio,94KG,GP,2014
Travis Stevens,D,---,Copa Podio,94KG,GP,2014
Luiz Panza,D,Pts: 2x2,Copa Podio,94KG,GP,2014
Jorden Reichenbach,W,N/A,World Champ.,ABS,R2,2014
Charles Negromonte,W,N/A,World Champ.,ABS,R3,2014
Keenan Cornelius,L,Triangle,World Champ.,ABS,1/4F,2014
Tarcisio Jardim,W,Pts: 2x0,World Champ.,100KG,1/4F,2014
Rodolfo Vieira,L,Katagatame,World Champ.,100KG,SF,2014
Tim Spriggs,L,Pts: 10x0,World Expo,ABS,SPF,2014
Magid Hage,W,Pts: 7x2,Pan American,ABS,R2,2015
Rafael Tongen,W,Ezequiel,Pan American,ABS,R3,2015
Keenan Cornelius,W,"Pts: 0x0, Adv",Pan American,ABS,1/4F,2015
Leandro Lo,L,Pts: 2x0,Pan American,ABS,SF,2015
Rodrigo Pereira,W,Wristlock,Pan American,100KG,1/4F,2015
Diogo Silva,W,Choke from back,Pan American,100KG,SF,2015
Nathan Mendelsohn,W,Ankle lock,Boca Raton Open,100KG,SF,2015
Arnaldo Maidana,W,Pts: 6x2,Boca Raton Open,100KG,F,2015
Abraham Marte,L,Armbar,World Champ.,ABS,1/8F,2015
Vitor Schlosser,W,N/A,Atlanta Open,94KG,SF,2016
Roberto Torralbas,W,Pts: 5x0,Atlanta Open,94KG,F,2016
Osvaldo Moizinho,W,Pts: 9x0,Atlanta Open,ABS,F,2016
Jared Revel,W,Choke,Pan American,94KG,1/8F,2016
Roberto Torralbas,W,Pts: 5x0,Pan American,94KG,1/4F,2016
Guilherme Augusto,W,Points,Pan American,94KG,SF,2016
Cassio Francis,L,Pts: 2x0,Pan American,94KG,F,2016
Alessandro Silva,W,Pts: 5x0,Pan American,ABS,R2,2016
Abraham Marte,W,Pts: 6x0,Pan American,ABS,1/8F,2016
Andre Galvao,L,Pts: 4x0,Pan American,ABS,1/4F,2016
Joao Soares,W,N/A,Atlanta BJJ Pro,O94KG,1/4F,2016
Chris Moriarty,W,N/A,Atlanta BJJ Pro,O94KG,SF,2016
Mahamed Aly,W,Adv,Atlanta BJJ Pro,O94KG,F,2016
Wellington Peroto,W,Pts: 7x0,World Champ.,100KG,R1,2016
Vitor Toledo,W,Pts: 2x0,World Champ.,100KG,1/4F,2016
Luiz Panza,W,Pts: 2x0,World Champ.,100KG,SF,2016
Alexandre Ceconi,W,"Pts: 0x0, Adv",World Champ.,100KG,F,2016
Wellington Peroto,W,Pts: 7x0,World Champ.,ABS,R2,2016
Keenan Cornelius,L,Pts: 2x0,World Champ.,ABS,1/8F,2016
Alexandre Ceconi,W,Bow and arrow,IBJJF Pro GP,ABS,1/4F,2016
Mahamed Aly,W,Pts: 4x2,IBJJF Pro GP,ABS,SF,2016
Marcus Almeida,L,"Pts: 0x0, Adv",IBJJF Pro GP,ABS,F,2016
