Opponent,W/L,Method,Competition,Weight,Stage,Year
Fernando Margarida;L;Pts: 9x2;World Champ.;ABS;SF;2000
Fabricio Werdum;L;Points;World Champ.;O100KG;F;2003
Gabriel Gonzaga;L;Pts: 4x0;World Champ.;O100KG;F;2006
Roger Gracie;L;Cross choke;World Champ.;O100KG;F;2008
Charles Cachoeira;L;Points;Capital Challenge;O99KG;SF;2008
Braulio Estima;L;Points;Capital Challenge;ABS;F;2008
Leo Chocolate;L;Referee Decision;ADCC Trials;99KG;SF;2009
T. Gaia;L;Choke;Brasileiro;O100KG;SF;2012
Marcus Almeida;L;Armbar;World Champ.;O100KG;F;2012
Rodolfo Vieira;L;Armbar;Copa Podio;94KG;SPF;2013
Rodolfo Vieira;L;Armbar;World Champ.;ABS;SF;2013
Joao Rocha;L;Choke from back;World Champ.;100KG;1/4F;2013
Rodolfo Vieira;L;Pts: 14x2;Copa Podio;ABS;SPF;2013
Mario Sperry;W;Pts: 4x0;World Champ.;100KG;F;1999
Aurelio Fernandes;W;Points;World Champ.;O100KG;F;2000
Ronald Bauer;W;Points;World Champ.;O100KG;R1;2003
Francisco Fernandes;W;N/A;World Champ.;O100KG;1/4F;2003
Marcio Corleta;W;Pts: 4x2;World Champ.;O100KG;SF;2003
Aurelio Fernandes;W;Pts: 2x0;World Cup;O100KG;SF;2003
Fabricio Werdum;W;N/A;World Cup;O100KG;F;2003
Marco Vilela;W;Armbar;Team Nationals;O88KG;F;2004
Adriano Pires;W;Points;World Cup;O100KG;SF;2005
Gabriel Napao;W;Pts: 4x0;World Cup;O100KG;F;2005
Mauro Jorge;W;Submission;World Champ.;O100KG;1/4F;2006
Lucio Rodrigues;W;RNC;World Champ.;O100KG;SF;2006
Asa Fuller;W;Choke;World Champ.;O100KG;R1;2008
Fabricio Werdum;W;Points;Capital Challenge;O99KG;3PLC;2008
Unknown;W;N/A;World Champ.;O100KG;R2;2012
R. Evangelista;W;Pts: 2x2, Adv;World Champ.;O100KG;1/4F;2012
Alexander Trans;W;Pts: 2x0;World Champ.;O100KG;SF;2012
Anderson Lima;W;N/A;World Champ.;ABS;RDS;2013
DJ Jackson;W;Points;World Champ.;ABS;RDS;2013
Andre Galvao;W;Referee Decision;World Champ.;ABS;1/4F;2013
