Opponent,W/L,Method,Competition,Weight,Stage,Year
Royler Gracie,L,Adv,World Champ.,70KG,SF,1999
Marcio Feitosa,L,Adv,World Champ.,76KG,SF,2000
Fernando Terere,L,Pts: 4x0,Rio x Sao Paulo,75KG,SPF,2000
Matt Serra,L,RNC,ADCC,77KG,SF,2001
Marcio Feitosa,L,Adv,World Champ.,76KG,F,2001
Marcelo Garcia,L,Pts: 0x0, Pen,ADCC,77KG,SF,2005
Jake Shields,L,RNC,ADCC,77KG,3PLC,2005
A. Cacareco,L,Heel hook,ADCC,ABS,R1,2005
Gregor Gracie,L,Pen,ADCC,77KG,1/4F,2009
Suyan Queiroz,D,---,Brasileiro,82KG,SF,1999
Leonardo Vieira,W,Pts: 3x0,ADCC,77KG,1/4F,2001
Rodrigo Gracie,W,Pts: 2x0,ADCC,77KG,3PLC,2001
Roberto Werneck,W,Baseball choke,World Cup,76KG,1/4F,2003
Rodrigo Feijao,W,Clock choke,World Cup,76KG,F,2003
M. Hayakawa,W,Armbar,Shotoo,ABS,SPF,2004
Carlos Portugues,W,Pts: 9x0,BB Challenge 3,76KG,SPF,2004
Ricardo Luiz,W,Pts: 9x0,World Cup,76KG,R1,2004
Jackson Moura,W,Choke from back,World Cup,76KG,R2,2004
Gabriel Wilcox,W,Choke from back,World Cup,76KG,1/4F,2004
Gustavo Falcirolli,W,Pts: 2x0,GP Blackbelt,70KG,R1,2004
Fredson Paixao,W,Pts: 5x0,GP Blackbelt,70KG,SF,2004
Reinaldo Ribeiro,W,Pts: 4x0,GP Blackbelt,70KG,F,2004
Jason Brudvik,W,Points,ADCC,77KG,R1,2005
George St Pierre,W,Flying armbar,ADCC,77KG,1/4F,2005
Rodrigo Feijao,W,Katagatame,World Cup,76KG,F,2005
Roberto Ribeiro,W,Ezekiel,World Cup,75KG,SF,2005
Daisuke Sugie,W,Ezekiel,Bull Terrier Pro,ABS,SPF,2005
Yoshiyuki Yoshida,W,Points,ADCC,77KG,R1,2009
