Opponent,W/L,Method,Competition,Weight,Stage,Year
Marcio Feitosa;L;Adv;World Champ.;76KG;F;1997
Royler Gracie;L;Referee Decision;World Champ.;70KG;F;1999
Vitor Shaolin;L;Pts: 2x0;World Champ.;76KG;SF;2000
JJ Machado;L;Pts: 9x0;ADCC;77KG;SF;2000
Marcio Feitosa;L;Adv;ADCC;77KG;3PLC;2000
Mark Kerr;L;Pen;ADCC;ABS;R1;2000
Leonardo Santos;L;Pts: 3x0;ADCC;77KG;1/4F;2001
Rany Yahya;L;RNC;ADCC;66KG;F;2007
Rafael Mendes;L;RNC;ADCC;66KG;SF;2009
Marcelo Garcia;L;Triangle;ADCC;77KG;F;2011
Otavio Sousa;L;Points;ADCC;77KG;SF;2013
JT Torres;L;N/A;ADCC;77KG;3PLC;2013
R. Verissimo;W;Pts: 4x0;World Champ.;76KG;SF;1997
Vitor Shaolin;W;Pts: 24x4;Copa Pele;76KG;SPF;1997
Marcio Feitosa;W;Adv;World Champ.;76KG;F;1998
Marcio Feitosa;W;N/A;LPJJ;75KG;F;2000
Bob Schirmer;W;RNC;ADCC;77KG;R1;2000
Vitor Shaolin;W;Adv;ADCC;77KG;1/4F;2000
Vitor Shaolin;W;Pts: 6x4;Rio x Sao Paulo;75KG;SPF;2000
Scott Scultz;W;Copacabana choke;Pro Am;77KG;SF;2000
Matt Serra;W;Pts: 10x4;Pro Am;77KG;F;2000
Morris Clifoni;W;Katagatame;ADCC;77KG;R1;2001
Fredson Alves;W;Points;Pan American;70KG;F;2001
Gabriel Wilcox;W;Brabo choke;World Cup;70KG;1/4F;2002
Jair Lourenco;W;Choke from back;World Cup;70KG;SF;2002
Reinaldo Ribeiro;W;N/A;World Cup;70KG;F;2002
Yuki Nakai;W;Brabo choke;Ground Impact;70KG;SPF;2002
Allan Teo;W;Submission;ADCC;66KG;R1;2003
Rany Yahya;W;Pts: 9x0;ADCC;66KG;1/4F;2003
Eddie Bravo;W;Pts: 16x0;ADCC;66KG;SF;2003
Baret Yoshida;W;Pts: 6x0;ADCC;66KG;F;2003
Renato Migliacio;W;Pts: 14x0;Pan American;70KG;SF;2004
Fredson Alves;W;Pts: 4x2;Pan American;70KG;F;2004
Fabio Nascimento;W;Referee Decision;Pan American;ABS;1/4F;2004
S. Fukuzumi;W;Cross ck. f/ mount;Brazil v Japan;70KG;SPF;2004
Baret Yoshida;W;Pts: 19x4;Budo Challenge;70KG;SPF;2005
T. Suzuki;W;Points;ADCC;66KG;R1;2005
Joey Gilbert;W;Guillotine;ADCC;66KG;1/4F;2005
Rob DiCenso;W;North South choke;ADCC;66KG;SF;2005
Rany Yahya;W;Pts: 6x0;ADCC;66KG;F;2005
Naoya Uematsu;W;RNC;LA Sub-X;ABS;SPF;2006
Sim Go;W;Points;ADCC;66KG;R1;2007
Jeff Glover;W;Points;ADCC;66KG;1/4F;2007
T. Suzuki;W;Pts: 8x0;ADCC;66KG;SF;2007
D. Marinakis;W;Points;ADCC;66KG;R1;2009
Ryan Hall;W;Guillotine;ADCC;66KG;1/4F;2009
Enrico Cocco;W;Pts: 6x0;ADCC;77KG;R1;2011
JT Torres;W;Pts: 2x0;ADCC;77KG;1/4F;2011
Claudio Calasans;W;Pts: 3x0;ADCC;77KG;SF;2011
Sotaro Yamada;W;Pts: 6x0;ADCC;77KG;R1;2013
AJ Agazarm;W;Referee Decision;ADCC;77KG;1/4F;2013
