Opponent,W/L,Method,Competition,Weight,Stage,Year
AJ Agazarm,L,Pts: 2x2, Adv,Pan American,76KG,R2,2015
Lucas Valle,L,DQ,Rio Winter Open,76KG,SF,2015
Diego Borges,L,Pts: 0x0, Adv,Copa Podio,77KG,GP,2016
Edwin Najmi,L,DQ,Copa Podio,77KG,GP,2016
Dillon Danis,L,Pts: 0x0, Adv,Copa Podio,77KG,GP,2016
Ruan Oliveira,L,Pts: 2x2, Adv,Rio Summer Open,ABS,SF,2016
Roberto Abreu,L,Pts: 2x0,World Pro,ABS,R1,2016
Roberto Satoshi,L,Bow and arrow,World Pro,77KG,1/4F,2016
Jhonny Loureiro,L,Loop choke,Brasileiro,82KG,F,2016
Stefano Correa,L,Pts: 2x0,SP BJJ Pro,82KG,1/4F,2016
Gabriel Procopio,L,RNC,Rio Winter Open,82KG,SF,2016
H. Marques,L,Referee Decision,Brasileiro Equipes,76KG,SF,2016
Kevin Mahecha,W,Pts: 2x2,Miami Open,76KG,1/4F,2014
Rafael Costa,W,N/A,Miami Open,76KG,SF,2014
Kevin Martinez,W,N/A,Miami Open,76KG,F,2014
Peter Cruz,W,RNC,NAGA Pheonix,77KG,SF,2015
Waseam Dannaui,W,Pts: 10x0,NAGA Pheonix,77KG,F,2015
Rodrigo Caporal,W,Points,Pan American,76KG,R1,2015
Gerson da Silva,W,Choke,Rio Fall Open,76KG,R1,2015
Pedro Fernandes,W,Footlock,Rio Fall Open,76KG,1/4F,2015
Theodoro Canal,W,Pts: 2x2, Adv,Rio Fall Open,76KG,SF,2015
Alex Cabanes,W,Pts: 5x0,Rio Fall Open,76KG,F,2015
Rafael Porto,W,Points,Rio Fall NoGi,76KG,F,2015
Frederico Pinto,W,Pts: 2x0,Brasileiro,76KG,R1,2015
Alexandre Oliveira,W,Pts: 0x0, Adv,Brasileiro,76KG,R2,2015
Fabio Caloi,W,Injury,Brasileiro,76KG,1/4F,2015
Michael Langhi,W,Referee Decision,Brasileiro,76KG,SF,2015
Juan Kamezawa,W,Pts: 0x0, Adv,Brasileiro,76KG,F,2015
Thiago Abreu,W,Adv,Brazil Nat. Pro RJ,76KG,R1,2015
Carlos ferreira,W,Armbar,Brazil Nat. Pro RJ,76KG,1/4F,2015
Sergio a Rodrigo,W,Botinha,Brazil Nat. Pro RJ,76KG,SF,2015
Ricardo Rocha,W,Pts: 4x2,Brazil Nat. Pro RJ,76KG,F,2015
Unknown,W,Pts: 15x0,Copa Sankaku,ABS,1/8F,2015
Junior Rios,W,Points,Copa Sankaku,ABS,1/4F,2015
Marcus Suel,W,Botinha,Copa Sankaku,ABS,SF,2015
Jackson Naco,W,Pts: 4x2,Copa Sankaku,ABS,F,2015
Jameson Santos,W,Armbar,Rio Winter Open,76KG,R1,2015
Herbert Maeda,W,Choke from back,Rio Winter Open,76KG,1/4F,2015
Patrick Gaudio,W,Pts: 0x0, Adv,Copa Podio,77KG,GP,2016
Ary Gomes,W,Armbar,Rio Summer Open,76KG,1/4F,2016
Renan Sancar,W,Pts: 0x0, Adv,Rio Summer Open,76KG,SF,2016
Theodoro Canal,W,Points,Rio Summer Open,76KG,F,2016
Unknown,W,Adv,Rio Summer Open,ABS,1/4F,2016
Lucas Lepri,W,Referee Decision,World Pro,77KG,R1,2016
Jonathan Satava,W,Referee Decision,World Pro,77KG,1/8F,2016
Jackson Raigueri,W,N/A,Brasileiro,82KG,R1,2016
Paulo Galviolli,W,N/A,Brasileiro,82KG,1/8F,2016
Alex Cavaleri,W,N/A,Brasileiro,82KG,1/4F,2016
Claudio Mattos,W,Referee Decision,Brasileiro,82KG,SF,2016
Adriano Pereira,W,Adv,Rio Winter Open,82KG,1/8F,2016
M. Pequeno,W,Kneebar,Rio Winter Open,82KG,1/4F,2016
Unknown,W,Choke from mount,Curitiba W. Open,76KG,1/4F,2016
Luciano Bernert,W,Botinha,Curitiba W. Open,76KG,SF,2016
Theodoro Canal,W,Choke from back,Curitiba W. Open,76KG,F,2016
