Opponent,W/L,Method,Competition,Weight,Stage,Year
Claudio Calasans;L;Submission;European;82KG;SF;2014
Gregor Gracie;L;Pts: 4x2;Copa Podio;77KG;GP;2014
Marcus Almeida;L;Katagatame;World Pro.;ABS;R1;2014
Leandro Lo;L;Pts: 4x0;World Pro.;82KG;1/4F;2014
Arturo Salas;L;Pts: 2x0;Madrid Open;ABS;SF;2014
Darragh OConaill;L;Points;London Open;82KG;F;2014
Felipe Gargamel;L;Pts: 4x2;Munich Winter;ABS;1/4F;2015
Pedro Palhares;L;Choke;Munich Winter;82KG;1/4F;2015
Francisco Iturralde;L;Choke;European;82KG;1/4F;2015
Otavio Sousa;L;Cross ck. f/ mount;World Champ.;82KG;1/8F;2015
Jackson Sousa;L;Pts: 8x0;Berlin Open;ABS;F;2015
Charles Negromonte;L;Points;London Fall Open;82KG;F;2015
Israel Motta;L;Pts: 4x4, Adv;Zurich Open;82KG;F;2015
Lucas Barbosa;L;Points;European Open;82KG;R1;2016
Alan Finfou;L;Pts: 2x2, Adv;PNBJJC;88KG;GP;2016
Gabriel Arges;L;Pts: 4x4, Adv;PNBJJC;88KG;GP;2016
Andre Campos;L;Adv;Rome Open;ABS;SF;2016
Eduardo Rios;L;RNC;European NoGi;82KG;F;2016
Alan Finfou;L;Pts: 4x2;World Champ.;82KG;R2;2016
Jaime Canuto;L;Pts: 6x2;London F. Open;ABS;F;2016
Mathias Ribeiro;W;Pts: 10x8;European;82KG;R1;2014
Gareth Neale;W;Pts: 14x8;European;82KG;1/4F;2014
Pedro Bessa;W;Foot lock;European NoGi;79KG;n/a;2014
S. Franceschini;W;Pts: 5x2;Copa Podio;77KG;GP;2014
Igor Araujo;W;Choke;Madrid Open;ABS;1/4F;2014
Arturo Salas;W;Adv;Madrid Open;82KG;1/4F;2014
D. Blankheihmer;W;Submission;Madrid Open;82KG;SF;2014
Mathias Ribeiro;W;Pts: 9x6;Madrid Open;82KG;F;2014
Lecocq SÃ©bastien;W;Armbar;London Open;82KG;SF;2014
Alex Cabanes;W;Pts: 2x0;London Open;ABS;SF;2014
Christopher Bowe;W;Pts: 4x4, Adv;London Open;ABS;F;2014
Eduardo Rios;D;---;Toukon Challenge;ABS;SPF;2014
Jorge sentistevan;W;Armbar;Munich Fall Open;82KG;1/4F;2014
Felipe Thiago;W;Submission;Munich Fall Open;82KG;SF;2014
Oliver Geddes;W;Foot Lock;Munich Fall Open;82KG;F;2014
Jack Magee;W;Kneebar;Grapplers Quest;ABS;F;2015
Max Carvalho;W;Pts: 2x0;Munich Winter;ABS;R1;2015
Ilke Bulut;W;Pts: 4x0;Munich NoGi;79KG;SF;2015
Nic Ruben;W;Pts: 5x2;Munich NoGi;79KG;F;2015
Vinicius Nascimento;W;Triangle;European;82KG;R2;2015
Darragh OConaill;W;Points;World Champ.;82KG;R1;2015
Pedro Bessa;W;Triangle;Polaris 2;82KG;SPF;2015
J. Pereira;W;Cross choke;Berlin Open;82KG;F;2015
J. Pereira;W;Peruvian necktie;Berlin NoGi Open;82KG;F;2015
Giulliano Alves;W;RNC;Madrid NoGi Open;79KG;F;2015
Mathias Ribeiro;W;Points;Madrid Open;82KG;F;2015
Gyula SzabÃ²;W;Choke;London Fall Open;ABS;N/A;2015
Santeri Lilius;W;Armbar;London Fall Open;82KG;SF;2015
Nic Ruben;W;Triangle;Gothenburg Open;82KG;F;2015
Jorge Santos;W;Submission;Gothenburg Open;ABS;F;2015
Thomas Oyarzun;W;Points;Torino Open;ABS;1/4F;2015
Matteo Calamandrei;W;Submission;Torino Open;ABS;SF;2015
Angelo Marino;W;Points;Torino Open;ABS;F;2015
Ygor Dantas;W;Pts: 3x0;Zurich Open;82KG;1/4F;2015
Thomas Oyarzun;W;Pts: 4x4, Adv;Zurich Open;82KG;SF;2015
Gyula SzabÃ²;W;Triangle;Rome Open;ABS;1/4F;2016
Nic Ruben;W;Choke;Rome Open;82KG;SF;2016
Eduardo Rios;W;Choke;Rome Open;82KG;F;2016
Nic Ruben;W;Pts: 4x2;European NoGi;82KG;SF;2016
Santeri Lilius;W;Choke from back;London F. Open;88KG;SF;2016
Thiago Souza;W;Choke from back;London F. Open;88KG;F;2016
Thomas Jhoansen;W;Triangle;London F. Open;ABS;1/4F;2016
Julien Da Silva;W;Baseball choke;London F. Open;ABS;SF;2016
