Opponent,W/L,Method,Competition,Weight,Stage,Year
Marcos Tinoco;L;Pts: 6x2;Dallas Open;88KG;1/4F;2015
Arnaldo Maidana;L;Armbar;Dallas Open;ABS;SF;2015
Tanner Rice;L;Pts: 0x0, Adv;Grand Slam LA;85KG;F;2015
Gabriel Arges;L;Pts: 6x4;Irvine Open;88KG;RR;2015
Gabriel Arges;L;Pts: 2x2, Adv;Irvine Open;88KG;F;2015
Gabriel Arges;L;Pts: 8x6;Irvine Open;ABS;SF;2015
Yago Souza;L;Points;European Open;82KG;1/4F;2016
Rodrigo Fajardo;L;Pts: 6x5;Pan American;88KG;1/8F;2016
Diogo Sampaio;L;Pts: 0x0, Adv;Las Vegas Open;88KG;F;2016
Murilo Santana;L;Pts: 9x0;World Champ.;88KG;1/8F;2016
Tanner Rice;L;Points;American Nats;88KG;SF;2016
Gabriel Arges;L;Pts: 4x2;Grand Slam - LA;85KG;SF;2016
DJ Jackson;L;Pts: 6x3;Grappling Pro;77KG;F;2016
Marcos Tinoco;W;Pts: 2x0;Dallas NoGi Open;88KG;F;2015
Philip Miller;W;Ankle lock;Dallas NoGi Open;ABS;SF;2015
Tasso Rocha;W;Katagatame;Dallas NoGi Open;ABS;F;2015
Thomas Gallicchio;W;Choke;Grand Slam LA;85KG;1/4F;2015
Matt Baker;W;Pts: 0x0, Adv;Grand Slam LA;85KG;SF;2015
Patrick Gaudio;W;Pts: 2x0;NoGi Worlds;88KG;1/8F;2015
Inacio Neto;W;Pts: 4x4, Adv;NoGi Worlds;88KG;1/4F;2015
Matheus Diniz;W;Pts: 4x2;NoGi Worlds;88KG;SF;2015
Thiago Sa;W;Pts: 2x0;NoGi Worlds;88KG;F;2015
Andrew Wooten;W;N/A;Irvine Open;88KG;RR;2015
Luca Anacoreta;W;Points;European Open;82KG;R1;2016
Jose Portillo;W;Pts: 2x0;SA Open NoGi;85KG;F;2016
Gabriel Marangoni;W;RNC;SA Open NoGi;ABS;F;2016
Manuel Ribamar;W;Points;San Antonio Open;88KG;SF;2016
Victor Silverio;W;Pts: 5x2;San Antonio Open;88KG;F;2016
Mansher Khera;W;N/A;San Antonio Open;ABS;SF;2016
Manuel Ribamar;W;Choke from back;San Antonio Open;ABS;F;2016
Andrew Wooten;W;N/A;Las Vegas Open;88KG;SF;2016
Jorge Britto;W;Pts: 2x0;World Champ.;88KG;R1;2016
Gottrel King;W;N/A;American Nats;88KG;1/4F;2016
Ezra Lenon;W;Kneebar/Dogbar;Ch. Summer Open;88KG;F;2016
Ben Shaeffer;W;Kneebar/Dogbar;Chicago NoGi SO;83KG;SF;2016
John Gutta;W;Calf slicer;Chicago NoGi SO;ABS;SF;2016
N. Mendelshon;W;Pts: 2x0;Grand Slam - LA;85KG;1/4F;2016
Sergio Rios;W;Calf crusher;Grand Slam - LA;85KG;3RD;2016
Dustin Neace;W;RNC;Grappling Pro;77KG;1/4F;2016
Enrico Cocco;W;Pts: 6x1;Grappling Pro;77KG;SF;2016
Ezra Lenon;W;RNC;NoGi Worlds;92KG;1/4F;2016
Nick Schrock;W;Toe hold;NoGi Worlds;92KG;SF;2016
Vitor Oliveira;W;Pts: 0x0;NoGi Worlds;92KG;F;2016
