Opponent,W/L,Method,Competition,Weight,Stage,Year
Fredson Alves,L,Ezekiel,World Champ.,76KG,R1,2006
Daniel Moraes,L,Points,ADCC Trials,77KG,SF,2007
Marcio Feitosa,L,Pts: 2x0,NoGi Pan Am.,76KG,F,2007
Gustavo Campos,L,Pts: 5x4,Pan American,82KG,SF,2008
Victor Estima,L,Armbar,World Champ.,82KG,R1,2008
Otavio Sousa,L,Pts: 4x0,Pan American,ABS,1/4F,2009
Marcelo Garcia,L,Pts: 6x0,World Champ.,82KG,SF,2009
Abmar Barbosa,L,Armbar,Pan American,82KG,SF,2010
Gilbert Burns,L,N/A,No Gi Worlds,79KG,SF,2010
Roberto Abreu,L,Points,No Gi Worlds,ABS,SF,2010
Claudio Calasans,L,Points,World Champ.,82KG,1/4F,2010
Claudio Calasans,L,Wristlock,Pan American,82KG,F,2011
Marcelo Garcia,L,Pts: 2x0,World Champ.,82KG,F,2011
Claudio Calasans,L,Pts: 2x0,World Pro.,82KG,F,2012
Otavio Sousa,L,Pts: 6x4,World Champ.,82KG,SF,2012
Keenan Cornelius,L,Armbar,World Expo,ABS,SPF,2013
Rodolfo Vieira,L,Brabo choke,World Champ.,94KG,F,2013
Romulo Barral,L,Points,ADCC,88KG,1/4F,2013
Murilo Santana,L,Adv,NoGi Worlds,ABS,SF,2013
Luiz Panza,L,Armbar,World Pro.,ABS,R1,2014
Braulio Estima,L,Pts: 3x0,World Pro.,94KG,R1,2014
Dimitrius Souza,L,Adv,World Champ.,94KG,1/4F,2014
Keenan Cornelius,L,Pts: 4x2,Marianas Open,ABS,SF,2015
Alexandre Ribeiro,L,Pts: 4x2,World Champ.,94KG,F,2015
Marcos Tinoco,L,Pts: 2x2, Adv,World Champ.,82KG,1/4F,2016
Paulo Guillobel,W,Pts: 2x0,GQ All Star Pro,72KG,1/4F,2007
Rany Yahya,W,Pts: 8x3,GQ All Star Pro,72KG,SF,2007
Bill Cooper,W,Points,GQ All Star Pro,72KG,F,2007
Rafael Barbosa,W,Pts: 7x2,Pan American,76KG,F,2007
Joao Cunha,W,RNC,NoGi Pan Am.,76KG,SF,2007
Diego Gamonal,W,Points,World Champ.,82KG,R1,2008
Rodrigo Teixeira,W,Referee Decision,NoGi Worlds,79KG,R1,2008
Jay Pages,W,Choke from back,Pan American,82KG,1/4F,2009
Augusto Vieira,W,Points,Pan American,82KG,SF,2009
Kron Gracie,W,Pts: 7x0,Pan American,82KG,F,2009
Kron Gracie,W,Pts: 2x0,World Champ.,82KG,1/4F,2009
Diego Gamonal,W,Points,NoGi Worlds,79KG,1/8F,2009
Mike Jarmilo,W,Pts: 2x0,NoGi Worlds,79KG,1/4F,2009
Murilo Santana,W,Pts: 2x0,NoGi Worlds,79KG,SF,2009
Carlos Ferreira,W,Pts: 8x0,NoGi Worlds,79KG,F,2009
Carlos Sievert,W,Choke from back,Pan American,82KG,R1,2010
Adriano Silva,W,Points,Pan American,82KG,1/4F,2010
Roberto Alencar,W,Points,No Gi Worlds,ABS,1/8F,2010
