Opponent,W/L,Method,Competition,Weight,Stage,Year
Ignacio Neto,L,Pts: 12x10,Austin Open,ABS,SF,2015
Samir Chantre,L,Pts: 4x3, Adv,Dallas Open,70KG,SF,2015
Mikey Musumeci,L,Pts: 6x3,Pan American,57KG,F,2016
Joao Miyao,L,Pts: 2x2, Adv,World Champ.,57KG,1/4F,2016
Washington Lima,W,Choke,Austin Open,64KG,F,2015
Unknown,W,Pts: 32x2,Austin Open,ABS,1/4F,2015
Angel Vargas,W,Pts: 10x8,Dallas Open,70KG,1/8F,2015
Richard slomba,W,Choke,Dallas Open,70KG,1/4F,2015
Koji Shibamoto,W,Pts: 4x4, Adv,Pan American,57KG,SF,2016
Darson Hemmings,W,Pts: 6x4,San Antonio Open,64KG,F,2016
T. Yoshioka,W,Pts: 4x4, Adv,World Champ.,57KG,R1,2016
Joao Somalia,W,Katagatame,F2W Pro 17,64KG,SPF,2016
