Opponent,W/L,Method,Competition,Weight,Stage,Year
Leandro Lo,L,Choke from back,Arizona Open,82KG,F,2013
Vitor Oliveira,L,Armbar,Pan American,82KG,R2,2013
Jackson Sousa,L,Pts: 0x0, Adv,No Gi Worlds,94KG,1/4F,2014
Lucas Leite,L,Pts: 20x2,Pan American,94KG,F,2015
Eduardo Inojosa,L,Adv,World Champ.,94KG,1/8F,2015
Tim Spriggs,L,Pts: 2x0,FIVE SL,ABS,SF,2015
Joao Assis,L,Pts: 4x2,FIVE SL,ABS,3RD,2015
Thiago Sa,L,Pts: 2x0,Santa Cruz Pro,94KG,F,2015
James Puopolo,L,Kneebar,NoGi Worlds,100KG,1/4F,2015
Leo Saggioro,L,Adv,Montreal Open,ABS,F,2015
Claudio Calasans,D,Pts: 0x0,Berkut 2,ABS,SPF,2015
Matheus Diniz,L,Points,EBI 6,ABS,R1,2016
Andre Galvao,L,Pts: 2x2, Pen,World Champ.,94KG,1/4F,2016
Devhonte Johnson,L,Points,EBI 8,84KG,R1,2016
Todd Mueckenheim,L,RNC,NoGi Pan Ams,91KG,SF,2016
Carlos Farias,W,Pts: 4x0,Arizona Open,ABS,1/4F,2013
Leo Iturralde,W,Choke,Pan American,82KG,R1,2013
Marcelo Mafra,W,Referee Decision,Pan American,82KG,R1,2014
Clark Gracie,W,Pts: 7x4,Pan American,82KG,1/4F,2014
Gabriel Toribio,W,Choke,No Gi Pan Am.,94KG,SF,2014
Vinicius Silva,W,Kimura,Long Beach Pro,94KG,SF,2014
Eliot Kelly,W,Referee Decision,Long Beach Pro,94KG,F,2014
Jeffery Boudreaux,W,Bow and arrow,Pan American,94KG,R2,2015
Karim Khalifa,W,Points,Pan American,94KG,1/4F,2015
Tim Spriggs,W,Pts: 2x0,Pan American,94KG,SF,2015
Ezra Lenon,W,Pts: 6x0,FIVE SL,ABS,1/4F,2015
Marcelo Meleiro,W,Choke,Santa Cruz Pro,94KG,1/4F,2015
Manuel Diaz,W,Pts: 6x0,Santa Cruz Pro,94KG,SF,2015
Diego Gamonal,W,Points,NoGi Worlds,100KG,1/8F,2015
Todd Mueckenheim,W,N/A,Montreal Open,94KG,F,2015
Rodrigo Martins,W,Pts: 2x0,World Champ.,94KG,R1,2016
Grafton Skaggs,W,N/A,NoGi Pan Ams,91KG,1/4F,2016
