Opponent,W/L,Method,Competition,Weight,Stage,Year
Roberto Abreu,L,Points,Pan American,ABS,R1,2013
Bernardo Faria,L,Triangle,World Champ.,100KG,SF,2013
Jackson Sousa,L,Triangle,NoGi Worlds,94KG,SF,2013
Keenan Cornelius,L,Pts: 8x6,Pan American,ABS,R3,2014
Magid Hage,L,Referee Decision,FIVE California,ABS,SF,2014
Tim Spriggs,L,Pts: 3x2,Copa Podio,94KG,GP,2014
Leandro Lo,L,Pts: 6x4,Copa Podio,94KG,SF,2014
Rodolfo Vieira,L,Choke,World Pro.,ABS,R3,2014
Rodolfo Vieira,L,Armbar,World Pro.,100KG,F,2014
Felipe Pena,L,Referee Decision,World Champ.,ABS,R3,2014
Andre Galvao,L,Choke from back,World Champ.,94KG,1/4F,2014
Garry Tonon,L,RNC,No Gi Worlds,ABS,1/4F,2014
Bernardo Faria,L,Choke from back,IBJJF Pro League,O100KG,F,2014
Felipe Pena,L,Pts: 2x2, Adv,Copa Podio,85KG,F,2014
Bernardo Faria,L,Pts: 9x4,Pan American,ABS,1/4F,2015
Felipe Pena,L,Pts: 4x2,World Pro,95KG,SF,2015
Felipe Pena,L,Toe hold,World Pro,ABS,R1,2015
Jose Junior,L,Pts: 4x2,World Pro,ABS,1/8F,2016
Leo Nogueira,L,Pts: 2x0,World Champ.,100KG,SF,2016
Erberth Santos,L,Pts: 8x8, Adv,World Champ.,ABS,1/8F,2016
Unknown,W,Botinha,Pre Pans FPJJ,O100KG,1/4F,2013
Diogo Almeida,W,RNC,Pre Pans FPJJ,O100KG,SF,2013
Joao Assis,W,Botinha,World Champ.,100KG,1/4F,2013
Daniel Simmler,W,Botinha,NoGi Pan American,100KG,F,2013
Ronnie Wuest,W,Triangle,NoGi Pan American,ABS,1/4F,2013
Vitor Oliveira,W,Botinha,NoGi Pan American,ABS,SF,2013
Mikeias Bezerra,W,Flying triangle,Brasileiro NoGi,94KG,F,2013
Mikeias Bezerra,W,Submission,Brasileiro NoGi,ABS,SF,2013
AJ Agazarm,W,Armbar,Brasileiro NoGi,ABS,F,2013
Tiago Declavo,W,Points,Pan American,100KG,1/4F,2014
Tarcisio Jardim,W,Points,Pan American,100KG,SF,2014
Bernardo Faria,W,Armbar,Pan American,100KG,F,2014
Rico Bastos,W,Triangle,Copa Podio,94KG,GP,2014
Travis Stevens,W,Botinha,Copa Podio,94KG,GP,2014
Leo Nogueira,D,---,Copa Podio,94KG,GP,2014
Travis Stevens,W,Botinha,Copa Podio,94KG,3PLC,2014
Lucas Leite,W,Armbar,World Pro.,ABS,R1,2014
Lucio Rodrigues,W,Botinha,World Pro.,ABS,R2,2014
Unknown,W,Triangle,World Pro.,100KG,1/4F,2014
Igor Silva,W,Armbar,World Pro.,100KG,SF,2014
Karim Kalifah,W,Choke from back,World Champ.,ABS,R3,2014
James Puopolo,W,Footlock,No Gi Worlds,100KG,SF,2014
R. Evangelista,W,Armbar,IBJJF Pro League,O100KG,SF,2014
Claudio Calasans,W,Botinha,Copa Podio,85KG,GP,2014
Diogo Sampaio,D,---,Copa Podio,85KG,GP,2014
Jon Satava,W,Botinha,Copa Podio,85KG,GP,2014
Luis Gustavo,W,Botinha,Copa Podio,85KG,GP,2014
Patrick Gaudio,W,Pts: 11x4,Copa Podio,85KG,GP,2014
Gregor Gracie,W,Botinha,Copa Podio,85KG,SF,2014
Rodrigo Ribeiro,W,Points,Pan American,ABS,R2,2015
Joao Rocha,W,Points,Pan American,O100KG,1/4F,2015
Erico Pinto,W,Botinha,World Pro,95KG,R1,2015
Nelton Pontes,W,Botinha,World Pro,95KG,1/4F,2015
Faisal AlKitbe,W,Points,World Pro,95KG,3RD,2015
Mahamed Aly,W,Pts: 2x2, Adv,UAEJJF NYC Pro,O94KG,RR,2016
Abraham Marte,W,Referee Decision,UAEJJF NYC Pro,O94KG,RR,2016
Eliot Kelly,W,Pts: 4x0,Pan American,100KG,1/4F,2016
Yuri Simoes,W,Pts: 9x0,Pan American,100KG,SF,2016
Alexandro Ceconi,W,Footlock,Pan American,100KG,F,2016
Luiz Santos,W,Kneebar,World Pro,ABS,R1,2016
Otavio Nalati,W,Pts: 6x0,World Pro,ABS,R2,2016
Paul Ardilla,W,Kneebar,World Champ.,100KG,1/4F,2016
Mahamed Aly,W,Kneebar,Grand Slam - LA,110KG,SF,2016
Jose Junior,W,Botinha,Grand Slam - LA,110KG,F,2016
Elliot Kelly,W,Footlock,BJJ Pro LA,O94KG,SF,2016
Manny Diaz,W,Botinha,BJJ Pro LA,O94KG,F,2016
Paul Ibarra,W,Armbar,NoGi Worlds,97KG,SF,2016
Jared Dopp,W,Calf slicer,NoGi Worlds,97KG,F,2016
