Opponent,W/L,Method,Competition,Weight,Stage,Year
Michelle Nicolini,D,N/A,Metamoris 2,ABS,SPF,2013
Gabrielle Garcia,L,Clock choke,Pan American,ABS,SF,2013
Luiza Monteiro,L,Pts: 0x0, Adv,Pan American,58KG,F,2013
Marina Ribeiro,L,Points,World Champ.,58KG,SF,2013
Andresa Correa,L,N/A,Pan American,ABS,SF,2014
Tammi Musumeci,L,Pts: 2x2, Adv,Pan American,58KG,F,2014
Michelle Nicolini,L,Armbar,World Pro.,55KG,R1,2014
Tammi Musumeci,L,Palm-to-palm,World Champ.,58KG,SF,2014
Fernanda Mazzelli,L,Pts: 9x0,World Champ.,ABS,R1,2014
Gabrielle Garcia,L,Americana,No Gi Worlds,ABS,F,2014
Ana Cordeiro,L,Kimura,Long Beach Pro,ABS,F,2014
Gabrielle Garcia,L,Clock choke,European,ABS,F,2015
Michele Nicolini,L,Pts: 9x8,European,58KG,F,2015
Gabrielle Garcia,L,Bread cutter,Pan American,ABS,F,2015
Dominyka Obelenyte,L,Points,World Champ.,ABS,SF,2015
Tammi Musumeci,L,Pts: 6x2,NoGi Worlds,56KG,F,2015
Andresa Correa,L,Pts: 2x0,European Open,ABS,F,2016
Dominyka Obelenyte,L,Pts: 10x8,Pan American,ABS,SF,2016
Tayane Porfirio,L,Pts: 5x2,World Pro,ABS,1/4F,2016
Andresa Correa,L,Pts: 2x0,Brasileiro,ABS,F,2016
Dominyka Obelenyte,L,Pts: 6x4,World Champ.,ABS,SF,2016
Luiza Monteiro,W,Pts: 8x2,Copa Podio,ABS,SPF,2013
Lora Hallock,W,Choke from back,SA Pro Trials,56KG,F,2013
Talita Nogueira,W,Choke from back,Pan American,ABS,1/4F,2013
Sophia Drysdale,W,Toe hold,Las Vegas Open,ABS,F,2013
Talita Nogueira,W,Pts: 4x4, Adv,Pan American,ABS,1/4F,2014
Cristina Brandao,W,Omoplata/Choke,Pan American,58KG,SF,2014
Pati Fontes,W,Cross ck. f/ mount,FIVE Cali. 2,64KG,SF,2014
Chelsea Donner,W,Pts: 2x0,FIVE Cali. 2,64KG,F,2014
Kanako Inaba,W,Cross ck. f/ mount,FIVE Illinois,64KG,F,2014
Ariadne de Oliveira,W,Points,World Champ.,58KG,1/4F,2014
Karen Antunes,W,Toe hold,Dallas Open,58KG,F,2014
Laura Hallock,W,Choke from back,Dallas Open,ABS,F,2014
Chelsea Donner,W,Triangle,American Nat.,58KG,F,2014
Nyjah Easton,W,Adv,No Gi Worlds,ABS,1/4F,2014
Leanna Dittrich,W,Pts: 3x0,No Gi Worlds,ABS,SF,2014
Karen Antunes,W,Toe hold,No Gi Worlds,56KG,F,2014
Nicole Inacio,W,Armbar,US Nat. Pro,ABS,F,2015
Laurence Fouillat,W,Ezekiel,European,ABS,1/4F,2015
Dominyka Obelenyte,W,Referee Decision,European,ABS,SF,2015
Laurence Cousin,W,Toe hold,European,58KG,SF,2015
Chelsea Donner,W,Ezekiel,Pan American,58KG,SF,2015
Tammi Musumeci,W,Kneebar,Pan American,58KG,F,2015
