Opponent,W/L,Method,Competition,Weight,Stage,Year
Gabriel Lucas;L;Pts: 2x2, Adv;NoGi Worlds;O100KG;F;2015
Matheus Diniz;L;RNC;NoGi Worlds;ABS;SF;2015
Abraham Marte;L;Pts: 0x0, Adv;UAEJJF NYC Pro;O94KG;RR;2016
Luiz Panza;L;Pts: 2x2, Adv;UAEJJF NYC Pro;O94KG;RR;2016
Joseph Moku;L;N/A;Pan American;O100KG;1/8F;2016
Leo Nogueira;L;Adv;Atlanta BJJ Pro;O94KG;F;2016
Alexander Trans;L;Pts: 4x0;World Champ.;ABS;R2;2016
Leo Nogueira;L;Pts: 4x2;IBJJF Pro GP;ABS;SF;2016
Luiz Panza;L;Kneebar;Grand Slam - LA;110KG;SF;2016
Gustavo Elias;L;Pts: 2x0;NoGi Worlds;97KG;SF;2016
Gustavo Elias;L;Pts: 2x0;NoGi Worlds;O97KG;SF;2016
Josh Hinger;L;Pts: 16x8;NoGi Worlds;ABS;1/8F;2016
Adam Wheeler;W;Armbar;NoGi Worlds;O100KG;1/4F;2015
Gabriel Kitober;W;Armbar;NoGi Worlds;ABS;R1;2015
Charles Negromonte;W;Toe hold;NoGi Worlds;ABS;1/8F;2015
Jackson Sousa;W;Pts: 2x2, Adv;NoGi Worlds;ABS;1/4F;2015
Jared Dopp;W;Pts: 11x0;Houston Open;O100KG;F;2016
Jared Dopp;W;Footlock;Houston Open;ABS;SF;2016
Inacio Neto;W;Injury;Houston Open;ABS;F;2016
Romulo Azevedo;W;Wristlock;UAEJJF NYC Pro;HWABS;SF;2016
Thiago Sa;W;Pts: 2x2, Adv;UAEJJF NYC Pro;HWABS;F;2016
Carlos Farias;W;Points;Atlanta BJJ Pro;O94KG;SF;2016
Alexandre Ribeiro;W;Pts: 2x0, Adv;IBJJF Pro GP;ABS;1/4F;2016
Muhammad Kerimov;W;Referee Decision;Berkut 3;ABS;SPF;2016
Gustavo Dias;W;Armbar;Grand Slam - LA;110KG;1/4F;2016
Igor Silva;W;Pts: 2x0;Grand Slam - LA;110KG;3RD;2016
