Opponent,W/L,Method,Competition,Weight,Stage,Year
Ricardo Bastos;L;Adv;Boca Raton Open;ABS;SF;2015
Francisco Iturralde;L;N/A;Boston Spring Open;ABS;SF;2015
Otavio Sousa;L;Pts: 11x0;NoGi Pan Ams;82KG;SF;2015
Michael Langhi;L;Pts: 0x0, Adv;NoGi Worlds;76KG;F;2015
Victor Silverio;L;Pts: 4x0;IBJJF NY Pro;82KG;SF;2015
Alex Cabanes;L;Pts: 4x4, Adv;European Open;76KG;1/4F;2016
Eddie Cummings;L;Referee Decision;Grappling Ind.;ABS;SPF;2016
Rodrigo Freitas;L;Referee Decision;Pan American;76KG;1/4F;2016
Masahiro Iwasaki;L;Pts: 4x2;NY Spring Open;76KG;SF;2016
Lucas Barbosa;L;N/A;San Antonio Open;ABS;SF;2016
Lucas Lepri;L;Omoplata;World Champ.;76KG;1/4F;2016
Rodrigo Freitas;L;Pts: 0x0, Adv;NoGi Worlds;73KG;SF;2016
Ed Ramos;W;Pts: 2x0;Boca Raton Open;76KG;SF;2015
Rafael Henrique;W;Injury;Boca Raton Open;76KG;F;2015
Vitor Ricotti;W;RNC;Boca Raton Open;ABS;1/4F;2015
Nicollas Welker;W;Points;Boston Spring Open;76KG;1/4F;2015
Sean Fisher;W;Kneebar;NoGi Pan Ams;82KG;1/4F;2015
Rodrigo Freitas;W;Adv;NoGi Worlds;76KG;1/8F;2015
Gabriel Rollo;W;Pts: 4x0;NoGi Worlds;76KG;1/4F;2015
Thiago Gaia;W;RNC;NoGi Worlds;76KG;SF;2015
Pedro Fernandes;W;Pts: 2x2, Adv;European Open;76KG;R1;2016
Thiago Abreu;W;Pts: 6x2;Pan American;76KG;1/8F;2016
Ataide Marcelino;W;Armbar;NY Spring Open;76KG;1/4F;2016
John Rickel;W;RNC;San Antonio Open;76KG;SF;2016
Bruno Frazatto;W;Pts: 2x0;San Antonio Open;76KG;F;2016
Rafael Suzuki;W;Pts: 4x0;San Antonio Open;ABS;1/4F;2016
AJ Agazarm;W;Points;World Champ.;76KG;R1;2016
Thiago Abreu;W;Pts: 2x0;World Champ.;76KG;R1;2016
Olivier Kee-Seng;W;Pts: 2x0;Boston SIO;82KG;SF;2016
Lucas Valle;W;Kneebar;Boston SIO;82KG;F;2016
Olivier Kee-Seng;W;Choke from back;Boston SIO;ABS;1/4F;2016
Nathan Mendelsohn;W;Pts: 4x0;Boston SIO;ABS;SF;2016
Vinicius Vieira;W;Armbar;NoGi Worlds;73KG;R1;2016
