Opponent,W/L,Method,Competition,Weight,Stage,Year
Jaime Canuto,L,Pts: 4x2,Matshark Open,82KG,F,2015
Vinicius Marinho,L,Pts: 4x3,SP Open,82KG,1/4F,2015
DJ Jackson,L,Pts: 2x0,NoGi Worlds,82KG,1/8F,2015
Jose Portillo,L,Points,Onnit Invite,ABS,SF,2015
JT Torres,L,Pts: 6x4,Pan American,82KG,1/8F,2016
Abraham Marte,L,Kimura,Pan American,ABS,R2,2016
Lucas Barbosa,L,Points,San Antonio Open,88KG,SF,2016
Lucas Barbosa,L,Choke from back,San Antonio Open,ABS,F,2016
Gabriel Arges,L,Pts: 8x8, Adv,World Champ.,82KG,R2,2016
Victor Silverio,L,Referee Decision,American Nats,82KG,F,2016
Inacio Neto,L,Kneebar,Austin Open,ABS,SF,2016
Unknown,W,Armbar,Matshark Open,82KG,SF,2015
Jason Soliz,W,Pts: 5x2,Houston GP,82KG,1/4F,2015
Chris Westfall,W,Verbal tap,Houston GP,82KG,SF,2015
Gleidson Curtis,W,Pts: 18x0,Austin Open,82KG,1/4F,2015
Trenton Cooke,W,Armbar,Austin Open,82KG,SF,2015
Sam Snow,W,Arm in Ezekiel,Austin Open,82KG,F,2015
Ericson Dias,W,Choke from back,SP Open,82KG,R1,2015
Gleidson Curtis,W,Pts: 16x2,San Antonio Open,88KG,F,2015
Ed Ramos,W,Pts: 12x6,San Antonio Open,ABS,1/4F,2015
Inacio Neto,W,Pts: 2x2, Adv,San Antonio Open,ABS,SF,2015
Pedro Mello,W,Pts: 4x2,San Antonio Open,ABS,F,2015
Robert Rodriguez,W,Points,Onnit Invite,ABS,1/4F,2015
Nathan Mendelshon,W,Pts: 2x0,Pan American,82KG,R1,2016
Darson Hemmings,W,Arm in ezekiel,San Antonio Open,ABS,R1,2016
Inacio Neto,W,Pts: 6x2,San Antonio Open,ABS,1/4F,2016
Victor Silverio,W,Pts: 6x4,San Antonio Open,ABS,SF,2016
Stephen Martinez,W,Pts: 13x0,American Nats,82KG,1/4F,2016
Lucas Valle,W,Armbar,American Nats,82KG,SF,2016
Nathan Mendelsohn,W,Points,BJJ Tour,82KG,1/4F,2016
Marcus Antelante,W,Pts: 10x2,BJJ Tour,82KG,SF,2016
Rafael Barbosa,W,Pts: 4x0,BJJ Tour,82KG,F,2016
Mark Turner,W,RNC,Austin Open,82KG,SF,2016
Randolph Welch,W,Armbar,Austin Open,82KG,F,2016
Felipe Bueno,W,Points,Austin Open,ABS,1/4F,2016
Davy Mendes,W,N/A,Manaus Open,82KG,SF,2016
Chaise Albuquerque,W,Points,Manaus Open,82KG,F,2016
