Opponent,W/L,Method,Competition,Weight,Stage,Year
Andre Galvao;L;Pts: 4x2;Pan American;ABS;1/8F;2008
Roberto Abreu;L;Adv;Pan American;100KG;SF;2008
Braga Neto;L;Kimura;World Champ.;100KG;SF;2008
Rafael Lovato;L;Armbar;World Champ.;ABS;R1;2008
Gabriel Vella;L;Pts: 2x0;World Champ.;O100KG;1/4F;2009
Rafael Lovato;L;RNC;NoGi Worlds;100KG;SF;2009
Braga Neto;L;Points;California Open;ABS;SF;2010
Rafael Barbosa;L;Pts: 6x0;AZ Open;ABS;F;2010
Rodrigo Cavaca;L;Triangle;Pan American;ABS;1/4F;2010
Roberto Alencar;L;Pts: 2x2, Adv;World Champ.;100KG;1/4F;2010
Antonio Carlos;L;N/A;World Pro.;99KG;1/4F;2012
Osvaldo Moizinho;L;Pts: 0x0, Adv;American Cup;ABS;F;2014
Alessandro Oliveira;W;Points;European Open;100KG;SF;2008
Hakim Gouran;W;Pts: 7x0;European Open;100KG;F;2008
Unknown;W;Points;World Champ.;100KG;1/4F;2008
Osvaldo Moizinho;W;Armbar;AZ Open;ABS;SF;2010
Jarrod Bunch;W;Pts: 4x0;GQ UFC Expo;ABS;SPF;2010
Bruno Bastos;W;Pts: 2x2, Adv;Pan American;100KG;1/4F;2010
Rodrigo Cavaca;W;Pts: 0x0, Adv;Pan American;100KG;SF;2010
Rodrigo Carvalho;W;N/A;Pan American;ABS;R1;2010
Otavio Sousa;W;Pts: 3x0;Pan American;ABS;R2;2010
Leo Machado;W;Points;SF Open;100KG;SF;2012
James Puopolo;W;Points;SF Open;100KG;F;2012
Gustavo Elias;W;Points;SF Open;ABS;1/4F;2012
Gustavo Dias;W;Pts: 6x0;SD World Trials;O92KG;F;2012
Elliot Kelly;W;Pts: 2x0;US Open XVIII;ABS;1/4F;2013
Alessandro Ferreira;W;Pts: 0x0, Adv;US Open XVIII;ABS;SF;2013
Samir Chantre;W;Armbar;US Open XVIII;ABS;F;2013
Marcos TomÃ©;W;Armbar;US Open XVIII;100KG;F;2013
Ryan BeauregardÂ ;W;Pts: 6x2;Southwest Classic;92KG;RR;2013
Ryan BeauregardÂ ;W;Points;Southwest Classic;92KG;F;2013
