Opponent,W/L,Method,Competition,Weight,Stage,Year
Alexandre Dantas,L,Pts: 9x0,Brasileiro,ABS,SF,2002
Daniel Moraes,L,Pen,ADCC Trials,77KG,SF,2003
Marcio Cruz,L,Pts: 6x0,ADCC,ABS,1/4F,2003
Alexandre Dantas,L,Points,World Champ.,ABS,1/4F,2003
Fernando Terere,L,Triangle,World Champ.,82KG,F,2003
Ronaldo Souza,L,Pts: 3x2,Best Fighters,ABS,SPF,2004
Alexandre Ribeiro,L,Pts: 6x0,Brasileiro,ABS,F,2004
Roger Gracie,L,Pts: 8x2,World Champ.,ABS,1/4F,2004
Fernando Terere,L,Pts: 4x0,Japan Open,82KG,SPF,2004
Ronaldo Souza,L,Kimura,ADCC,ABS,SF,2005
Roger Gracie,L,Choke from back,World Champ.,ABS,SF,2006
Robert Drysdale,L,Darce Choke,ADCC,ABS,F,2007
Braulio Estima,L,Triangle,World Pro.,ABS,SF,2009
Michael Langhi,L,Adv,World Pro.,76KG,F,2009
Pablo Popovitch,L,Pts: 3x0,ADCC,77KG,F,2009
Braulio Estima,L,Inverted Katagatame,ADCC,ABS,1/4F,2009
Unknown,W,Points,Brasileiro,ABS,1/4F,2002
Alexandre Dantas,W,Pts: 2x2, Adv,Team Nationals,O88KG,1/4F,2003
Marco Antonio,W,Armbar,Team Nationals,O88KG,F,2003
Unknown,W,Points,ADCC Trials,77KG,R1,2003
Aloisio Barros,W,RNC,ADCC Trials,77KG,1/4F,2003
Kiuma Kunioku,W,RNC,ADCC,77KG,R1,2003
Renzo Gracie,W,Pts: 9x0,ADCC,77KG,1/4F,2003
Vitor Shaolin,W,RNC,ADCC,77KG,SF,2003
Otto Olsen,W,RNC,ADCC,77KG,F,2003
Mike Van Arsdale,W,RNC,ADCC,ABS,R1,2003
Roberto Fonseca,W,Pts: 7x0,World Champ.,82KG,R1,2003
Bruno Fernandes,W,Pts: 6x0,World Champ.,82KG,1/4F,2003
Marcelo Brito,W,Armbar,World Champ.,82KG,SF,2003
Eduardo Santoro,W,Pts: 11x0,BB Challenge 3,82KG,SPF,2004
Marcio Corleta,W,Choke,Brasileiro,ABS,1/4F,2004
Eric Wanderlei,W,Choke,Brasileiro,ABS,SF,2004
Felipe Cranivata,W,Points,Brasileiro,82KG,SF,2004
FlÃ¡vio Serafim,W,Armbar,Brasileiro,82KG,F,2004
Babalu Sobral,W,Pts: 6x0,Sub. de Campos,ABS,F,2004
Gabriel Gonzaga,W,Pts: 4x0,Sub. de Campos,ABS,SF,2004
Marcos Oliveira,W,RNC,Sub. de Campos,ABS,1/4F,2004
Thales Leites,W,RNC,Sub. de Campos,87KG,F,2004
Bruno Bastos,W,RNC,Sub. de Campos,87KG,SF,2004
Leonardo Nascimento,W,Armbar,Sub. de Campos,87KG,1/4F,2004
Flavio Serafim,W,Choke,World Champ.,82KG,SF,2004
Cassio Werneck,W,Pts: 9x0,World Champ.,82KG,F,2004
Rodrigo Riscado,W,RNC,SJ da Barra,ABS,SPF,2004
Chris Brennan,W,Injury,ADCC,77KG,R1,2005
Shinya Aoki,W,RNC,ADCC,77KG,1/4F,2005
Leonardo Santos,W,Pts: 0x0, Pen,ADCC,77KG,SF,2005
