Opponent,W/L,Method,Competition,Weight,Stage,Year
Rubens Charles,L,Pts: 3x0,ADCC,66KG,1/4F,2013
Celso Vinicius,L,Pts: 2x0,Grand Slam LA,77KG,SF,2015
Erberth Santos,L,Kneebar,European Open,ABS,1/4F,2016
Osvaldo Moizinho,L,Loop choke,Pan American,70KG,SF,2016
Felipe Pena,L,Pts: 4x0,World Pro,ABS,R2,2016
Rafael Mendes,L,Pts: 10x10, Adv,World Champ.,70KG,F,2016
Robert Sabaruddin,W,Pts: 6x0,ADCC,66KG,R1,2013
Unknown,W,Bow and arrow,S/A SJJSAF,70KG,SF,2014
Ilke Bulut,W,Pts: 10x4,S/A SJJSAF,70KG,F,2014
Kim Terra,W,Pts: 4x4, Adv,Brasileiro NoGi,76KG,F,2014
Masahiro Iwasaki,W,Referee Decision,European,70KG,1/4F,2015
Gabriel Marangoni,W,Pts: 4x2,European,70KG,SF,2015
Gianni Grippo,W,Adv,European,70KG,F,2015
Youngam Noh,W,Pts: 5x0,Grand Slam LA,77KG,1/4F,2015
Isaac Doederlein,W,Pts: 4x2,European Open,70KG,1/4F,2016
Italo Lins,W,Points,European Open,70KG,SF,2016
Paulo Miyao,W,Referee Decision,European Open,70KG,F,2016
Alexandro Ceconi,W,Pts: 0x0, Adv,European Open,ABS,R1,2016
Felipe Bueno,W,Pts: 4x2,European Open,ABS,R2,2016
Fabio Caloi,W,Pts: 11x0,Pan American,70KG,1/8F,2016
Darson Hemmings,W,Pts: 11x0,Pan American,70KG,1/4F,2016
Mario Silva,W,Kimura,World Pro,ABS,R1,2016
Lee Ting,W,Pts: 39x0,World Pro,69KG,R1,2016
Gilson Nunes,W,Pts: 2x0,World Pro,69KG,1/4F,2016
Rafael Mansur,W,Pts: 6x2,World Pro,69KG,SF,2016
Paulo Miyao,W,Pts: 0x0, Adv,World Pro,69KG,F,2016
Nicollas Welker,W,Armbar,World Champ.,70KG,R2,2016
Bruno Frazatto,W,Pts: 9x6,World Champ.,70KG,1/4F,2016
Rubens Charles,W,Pts: 7x6,World Champ.,70KG,SF,2016
Michael Dewitt,W,Armbar,NoGi Worlds,73KG,R1,2016
Gianni Grippo,W,Pts: 2x2, Adv,NoGi Worlds,73KG,1/4F,2016
AJ Agazarm,W,Pts: 2x2, Adv,NoGi Worlds,73KG,SF,2016
Rodrigo Freitas,W,Pts: 0x0, Adv,NoGi Worlds,73KG,F,2016
