Opponent,W/L,Method,Competition,Weight,Stage,Year
Marcio Cruz;L;Triangle;World Champ.;ABS;1/4F;2001
Alexandre Ribeiro;L;Points;Pan American;ABS;R1;2001
Roger Gracie;L;Referee Decision;World Champ.;ABS;1/4F;2003
Leonardo Leite;L;Pts: 4x2;World Champ.;O100KG;SF;2003
Alexandre Dantas;L;Pts: 8x0;Pan American;O100KG;F;2004
Marcelo Garcia;L;Choke;Brasileiro;ABS;1/4F;2004
Fabricio Werdum;L;Pts: 2x0;ADCC;O99KG;1/4F;2005
Gabriel Napao;L;Pts: 2x0;World Cup;O100KG;SF;2005
Chico Cuiaba;L;Adv;World Champ.;O100KG;F;2005
Big Mac;L;Pts: 4x2;European Open;O100KG;F;2008
Rodrigo Cavaca;L;Pts: 0x0, Adv;World Champ.;O100KG;SF;2009
Marcio Cruz;W;Pts: 2x2, Adv;World Champ.;O100KG;SF;2001
Garth Taylor;W;Armbar;World Champ.;O100KG;F;2001
Fabio Ribeiro;W;Cross choke;Pan American;O100KG;SF;2004
Lenio Furtado;W;Armbar;World Cup;O100KG;1/4F;2004
Otavio Duarte;W;N/A;World Cup;O100KG;SF;2004
Jason White;W;Triangle-armbar;ADCC;O99KG;R1;2005
Frank Alberto;W;Kneebar;World Champ.;O100KG;1/4F;2005
Leo Lima;W;Armbar;World Champ.;O100KG;SF;2005
Artur Cesar;W;Pts: 2x0;World Champ.;O100KG;SF;2005
Unknown;W;Triangle;Pan American;O100KG;1/8F;2009
Unknown;W;Armbar;Pan American;O100KG;1/4F;2009
Ricardo Feliciano;W;Bread cutter;Pan American;O100KG;SF;2009
Rodrigo Cavaca;W;Armbar;Pan American;O100KG;F;2009
