Opponent,W/L,Method,Competition,Weight,Stage,Year
Sean Alvarez,L,Pen,ADCC,O99KG,1/4F,2001
JJ Machado,L,Footlock,ADCC,ABS,1/4F,2001
Fernando Terere,L,Pts: 6x5,Brasileiro,ABS,F,2001
Marcio Corleta,L,Pts: 2x2, Adv,World Champ.,O100KG,SF,2001
Dean Lister,L,Pts: 3x0,ADCC,ABS,SF,2003
Fabricio Werdum,L,Pts: 6x0,ADCC,ABS,3PLC,2003
Gabriel Napao,L,Calf slicer,ADCC,O99KG,SF,2005
Fernando Margarida,L,Armbar,Yamasaki Cup,ABS,SPF,2005
Gabriel Gonzaga,L,Points,World Cup,O100KG,F,2006
Andre Galvao,L,Adv,Team Nationals,O88KG,F,2006
Rolles Gracie,L,Points,ADCC,O99KG,SF,2007
Vinny Magalhaes,L,Flying armbar,ADCC,99KG,1/4F,2009
Rodrigo Cavaca,L,Triangle,World Champ.,O100KG,1/4F,2010
Rodrigo Cavaca,L,Submission,World Champ.,O100KG,SF,2011
Roberto Abreu,L,Pts: 12x4,World Champ.,ABS,R2,2012
Marcus Almeida,L,Pts: 4x2,World Champ.,O100KG,SF,2012
Alexandre Ribeiro,L,Referee Decision,UFC Expo,ABS,SPF,2015
Van Arsdale,W,Kneebar,ADCC,O99KG,R1,2001
Ricco Rodriguez,W,Armbar,ADCC,O99KG,3RD,2001
Roberto Traven,W,Points,ADCC,ABS,R1,2001
Carlos Alberto,W,N/A,Brasileiro,O100KG,F,2001
Marcio Corleta,W,Triangle,World Champ.,ABS,1/4F,2001
Unknown,W,Points,World Champ.,O100KG,1/4F,2002
Felipe Pederneiras,W,Choke,World Champ.,O100KG,SF,2002
Luiz Guilherme,W,Knee ride,World Champ.,O100KG,F,2002
Marcus Valle,W,Armbar,World Champ.,ABS,R1,2002
Roger Coelho,W,Triangle armbar,World Champ.,ABS,1/4F,2002
Alexandre Ribeiro,W,Pts: 2x0,World Champ.,ABS,SF,2002
Saulo Ribeiro,W,Pts: 2x0,World Champ.,ABS,F,2002
Eduardo Telles,W,Pts: 10x2,Team Nationals,O88KG,F,2002
Alex Monsalve,W,Kneebar,Team Nationals,O88KG,1/4F,2003
Rodrigo Artilheiro,W,RNC,ADCC Trials,O99KG,SF,2003
Fabiano Scherner,W,N/A,ADCC Trials,O99KG,F,2003
Mike Whitehead,W,Points,ADCC,O99KG,R1,2003
Jeff Monson,W,Points,ADCC,O99KG,1/4F,2003
Alex Negao,W,Guillotine,ADCC,O99KG,SF,2003
Fabricio Werdum,W,Points,ADCC,O99KG,F,2003
Ilir Lafiti,W,Points,ADCC,ABS,R1,2003
Marcelo Garcia,W,Pts: 6x0,ADCC,ABS,1/4F,2003
Beto Ferreira,W,Armbar,World Champ.,ABS,R1,2003
Leo. Montenegro,W,Triangle,World Champ.,ABS,R2,2003
Fabricio Werdum,W,Pts: 7x0,World Champ.,ABS,SF,2003
Roger Gracie,W,Pts: 3x0,World Champ.,ABS,F,2003
Robert Handley,W,Pts: 15x0,Brazil vs USA,O100KG,SPF,2003
Thiago Cruz,W,Armbar,Pan American,O100KG,SF,2003
Todd Margolis,W,Knee on belly,Pan American,ABS,1/4F,2003
Joao Silva,W,Armbar,Pan American,ABS,SF,2003
Fabricio Werdum,W,Armbar,Pan American,ABS,F,2003
Alexandre Ribeiro,W,Referee Decision,Best Fighters,ABS,SPF,2004
Alexandre Ribeiro,W,Pts: 2x0,Pan American,ABS,F,2005
Miodrag Petkovic,W,RNC,ADCC,O99KG,R1,2005
Daniel Simoes,W,Pts: 2x0,ADCC,O99KG,1/4F,2005
Unknown,W,Choke,Team Nationals,O88KG,1/4F,2006
J. Pietlainen,W,Armbar,ADCC,O99KG,R1,2007
Marcos Oliveira,W,Points,ADCC,O99KG,1/4F,2007
Darren Andy,W,Points,ADCC,O99KG,3PLC,2007
Anthony Perosh,W,Points,ADCC,99KG,R1,2009
Tom Florence,W,Triangle,World Champ.,O100KG,RDS,2011
Pega Leve,W,Choke,World Champ.,O100KG,1/4F,2011
Daniel Richards,W,Triangle,World Champ.,ABS,R2,2012
Stephen Hall,W,N/A,World Champ.,O100KG,R2,2012
Antonio Peinado,W,Triangle,World Champ.,O100KG,1/4F,2012
R. Evangelista,W,Pen,IBJJF Pro League,O94KG,SF,2013
Gustavo Pires,W,Armbar,IBJJF Pro League,O94KG,F,2013
