Opponent,W/L,Method,Competition,Weight,Stage,Year
Leonardo Vieira,L,Adv,World Champ.,76KG,F,1998
Vitor Shaolin,L,Pts: 2x2, Adv,World Champ.,76KG,F,1999
Leonardo Vieira,L,N/A,LPJJ,75KG,F,2000
Vitor Shaolin,L,Pen,World Champ.,76KG,F,2000
Renzo Gracie,L,Guillotine,ADCC,77KG,SF,2000
Pablo Popovitch,L,Points,ADCC,77KG,R1,2003
Daniel Moraes,L,Adv,World Champ.,76KG,F,2003
Reinaldo Ribeiro,L,Pts: 0x0, Adv,GP Blackbelt,70KG,1/4F,2004
Rany Yahya,L,N/A,ADCC,66KG,SF,2005
Rubens Charles,L,Pts: 8x0,World Champ.,70KG,F,2006
Bob Bass,W,Pts: 2x0,Pan American,76KG,1/4F,1996
Cleber Luciano,W,Pts: 4x2,Pan American,76KG,SF,1996
Renato Barreto,W,Points,Pan American,76KG,F,1996
Leonardo Vieira,W,Adv,World Champ.,76KG,F,1997
Royler Gracie,W,Pts: 2x0,Copa Pele,N/A,SPF,1997
Andre Marola,W,Pts: 5x0,Team Nationals,76KG,F,1998
Royler Gracie,W,Pts: 4x2,Oscar de JJ,74KG,SPF,1998
Wender Braga,W,Points,Pan American,76KG,F,1999
Leonardo Santos,W,Adv,World Champ.,76KG,SF,2000
Caol Uno,W,Pts: 2x0,ADCC,77KG,R1,2000
Carlos Machado,W,Pts: 2x0,ADCC,77KG,1/4F,2000
Leonardo Vieira,W,Adv,ADCC,77KG,3PLC,2000
Peter Angerer,W,Armbar,ADCC,77KG,R1,2001
F. Vasconcelos,W,Points,ADCC,77KG,1/4F,2001
Rodrigo Gracie,W,Points,ADCC,77KG,SF,2001
Matt Serra,W,Pen,ADCC,77KG,F,2001
Yamashira,W,Pts: 16x0,World Champ.,76KG,1/4F,2001
Leonardo Santos,W,Adv,World Champ.,76KG,F,2001
Daniel Moraes,W,Points,Arnold Classic,73KG,F,2001
Crezio Souza,W,Ezekiel,World Champ.,76KG,R1,2002
Rafael Barbosa,W,Pts: 5x0,World Champ.,76KG,1/4F,2002
Marcelo Pupo,W,Referee Decision,World Champ.,76KG,F,2002
A. Candido,W,Pts: 12x0,World Champ.,76KG,R1,2003
A. Brittes,W,Armbar,World Champ.,76KG,1/4F,2003
Marcos Pacheco,W,Pts: 11x8,World Champ.,76KG,SF,2003
Sean Williams,W,Pts: 6x0,Brazil vs USA,76KG,SPF,2003
Unknown,W,Points,GP Blackbelt,70KG,R1,2004
Urija Faber,W,Points,ADCC,66KG,R1,2005
Antonio Jr.,W,Pts: 8x0,World Champ.,70KG,1/4F,2006
Reinaldo Ribeiro,W,Pts: 2x0,World Champ.,70KG,SF,2006
Wilson Reis,W,Pts: 6x2,NoGi Pan Am.,76KG,1/4F,2007
Lucas Leite,W,Pts: 2x0,NoGi Pan Am.,76KG,F,2007
