Opponent,W/L,Method,Competition,Weight,Stage,Year
Jaime Canuto;L;Referee Decision;European;82KG;1/4F;2015
Otavio Sousa;L;Pts: 4x4, Adv;Pan American;82KG;R3;2015
C. Negromonte;L;Choke from back;World Champ.;82KG;R1;2015
Michael Liera;D;N/A;Sub Series Pro;ABS;SPF;2015
Francisco Iturralde;L;Points;NY Summer Open;82KG;SF;2015
Alec Baulding;L;Choke from back;Dallas Open;88KG;F;2015
Lucas Barbosa;L;Pts: 2x0;Dallas NoGi Open;88KG;F;2015
Charles Negromonte;L;Armbar;NoGi Worlds;88KG;1/4F;2015
Felipe Cesar;L;Pts: 4x2;UAEJJF NYC Pro;77KG;SF;2016
Felipe Cesar;L;Pts: 4x2;UAEJJF NYC Pro;LWABS;SF;2016
JT Torres;L;Pts: 10x0;Pan American;82KG;1/4F;2016
Murilo Santana;L;Points;Pan American;ABS;R1;2016
Davi Ramos;L;Pts: 4x2;World Pro;77KG;R1;2016
Gabriel Arges;L;Kneebar;World Champ.;82KG;SF;2016
Felipe Cesar;L;Footlock;NoGi Pan Ams;79KG;SF;2016
Marcelo Mafra;L;Pts: 0x0, Adv;NoGi Worlds;79KG;SF;2016
Alexandre Vieira;W;Armbar;European;82KG;R1;2015
E. Dimitropoulos;W;Armbar;European;82KG;R2;2015
Sergio da Silva;W;Pts: 2x0;Pan American;82KG;R1;2015
Youngam Noh;W;Pts: 2x0;NY Summer Open;82KG;1/4F;2015
Jordan Lutsky;W;Pts: 8x0;NY No Gi Open;88KG;SF;2015
Brian Beaury;W;Pts: 7x4;NY No Gi Open;88KG;F;2015
Lucas Barbosa;W;Pts: 6x2;Dallas Open;88KG;1/4F;2015
Manuel Diaz;W;Points;Dallas Open;88KG;SF;2015
Philip Miller;W;Pts: 6x0;Dallas NoGi Open;88KG;SF;2015
David Raab;W;Pts: 2x0;NoGi Pan Ams;88KG;1/4F;2015
Thiago Sa;W;Pts: 2x0;NoGi Pan Ams;88KG;SF;2015
Gabriel Vieira;W;Kneebar;NoGi Worlds;88KG;1/8F;2015
Thiago Sa;W;Pts: 2x2, Adv;IBJJF NY Pro;94KG;SF;2015
Rafael Barbosa;W;Pts: 4x2;IBJJF NY Pro;94KG;F;2015
Sean Fisher;W;Pts: 2x0;UAEJJF NYC Pro;77KG;1/4F;2016
Victor Silverio;W;Referee Decision;Pan American;82KG;R1;2016
Magid Hage;W;Pts: 2x0;Pan American;82KG;1/8F;2016
Sean Fisher;W;N/A;NY Spring Open;82KG;SF;2016
Victor Estima;W;Pts: 6x4;World Champ.;82KG;R2;2016
Lucas Leite;W;Pts: 2x2, Adv;World Champ.;82KG;1/4F;2016
Aaron Johnson;W;N/A;NY Summer Open;ABS;1/4F;2016
Paulo Miyao;W;Pts: 0x0, Adv;NY Summer Open;ABS;SF;2016
Dustin Akbari;W;DQ;NoGi Pan Ams;79KG;1/4F;2016
Dustin Akbari;W;Straight ankle lock;NoGi Worlds;79KG;R1;2016
Brian Morizi;W;Pts: 10x0;NoGi Worlds;79KG;1/4F;2016
