Opponent,W/L,Method,Competition,Weight,Stage,Year
Lucio Rodrigues,L,Pts: 5x0,World Pro.,O92KG,F,2011
Rodolfo Vieira,L,Armbar,World Champ.,ABS,SF,2011
Leo Nogueira,L,Referee Decision,World Champ.,100KG,F,2011
Vinny Magalhaes,L,Heel hook,Ultimate Abs.,ABS,1/4F,2011
Andre Galvao,L,Submission,WJJPC Trials,ABS,SF,2011
Rodrigo Cavaca,L,Pts: 7x2,World Pro,O100KG,F,2013
Roberto Abreu,L,Pts: 10x0,ADCC,ABS,F,2013
R. Evangelista,L,Pts: 4x4, Adv,World Champ.,ABS,1/8F,2015
Bruno Veloso,W,Points,WPC Gr Trials,O92KG,SF,2010
Augusto Ferrari,W,Pts: 4x0,WPC Gr Trials,O92KG,F,2010
Daniel Moraes,W,RNC,Copa America,ABS,SF,2010
Diego Herzog,W,Points,No Gi Worlds,ABS,1/8F,2010
Gilbert Burns,W,RNC,No Gi Worlds,ABS,1/4F,2010
Bruno Bastos,W,Cross ck. f/ mount,Pan American,100KG,F,2011
Braga Neto,W,Toe hold,World Pro.,O92KG,1/4F,2011
Caio Alencar,W,Submission,World Pro.,O92KG,SF,2011
Charles Dantas,W,Submission,World Champ.,ABS,R2,2011
Fabiano â€œPega Leveâ€,W,Toe Hold,World Champ.,ABS,R2,2011
Braga Neto,W,Bow and arrow,World Champ.,ABS,1/4F,2011
Charles Dantas,W,Wristlock,World Champ.,100KG,1/4F,2011
Antonio Peinado,W,Toe hold,World Champ.,100KG,SF,2011
Joachim Hallan,W,Pts: 24x2,No Gi Worlds,ABS,R2,2011
Marcelo Goncalves,W,Pts: 4x0,No Gi Worlds,ABS,1/4F,2011
James Harbison,W,Toe Hold,No Gi Worlds,ABS,SF,2011
Alberto Vilanova,W,Triangle,No Gi Worlds,100KG,1/4F,2011
Joackim Hallum,W,Submission,No Gi Worlds,100KG,SF,2011
Antonio Peinado,W,Darce choke,No Gi Worlds,100KG,F,2011
Leandro Lo,W,Pts: 6x6, Adv,Pan Am CBJJE,ABS,SF,2011
Claudio Calasans,W,Points,Pan Am CBJJE,ABS,F,2011
Marcus Antelanti,W,Armbar,Pan American,ABS,R1,2012
Matt Jubera,W,Choke,Pan American,ABS,R2,2012
Murilo Santana,W,Pts: 10x0,Pan American,ABS,1/4F,2012
Kron Gracie,W,Kneebar,Pan American,ABS,SF,2012
Kitner Moura,W,Omoplata,Pan American,O100KG,SF,2012
Alexander Trans,W,Pts: 2x0,Pan American,O100KG,F,2012
Adrian Naliato,W,Toe hold,Gramado Trials,O94KG,F,2012
Mike Wilson,W,Pts: 12x0,World Pro.,O99KG,R1,2012
Thiago Souza,W,Pts: 2x0,World Pro.,O99KG,1/4F,2012
Jose Junior,W,Armbar,World Pro.,O99KG,SF,2012
Braga Neto,W,Botinha,World Pro.,O99KG,F,2012
Raymond Warren,W,Armbar,World Champ.,ABS,R2,2012
Roberto Alencar,W,Flying Triangle,World Champ.,ABS,R2,2012
Rodolfo Vieira,W,Pts: 8x7,World Champ.,ABS,1/4F,2012
Bernardo Faria,W,Choke from back,World Champ.,ABS,SF,2012
Leo Nogueira,W,Pts: 8x4,World Champ.,ABS,F,2012
Alex Soares,W,Submission,World Champ.,O100KG,R2,2012
Igor Silva,W,Kneebar,World Champ.,O100KG,1/4F,2012
Marcio Cruz,W,Pts: 4x2,World Champ.,O100KG,SF,2012
