Opponent,W/L,Method,Competition,Weight,Stage,Year
Daniel Moraes;L;Adv;GP Blackbelt;70KG;1/4F;2004
Fredson Paixao;L;Armbar;World Champ.;70KG;F;2005
Tiago Alves;L;Choke;Pan American;76KG;F;2006
Celso Vinicius;L;Pts: 5x0;World Champ.;76KG;F;2006
Rubens Charles;L;Pts: 2x0;Pan American;70KG;F;2007
Rubens Charles;L;Bow and arrow;World Champ.;70KG;F;2007
Bruno Frazatto;L;Points;World Champ.;70KG;SF;2008
Rafael Mendes;L;Points;Capital Challenge;70KG;SF;2008
Rubens Charles;L;Bow and arrow;Pan American;70KG;F;2009
Bruno Frazatto;L;Pts: 2x0;World Champ.;70KG;SF;2009
Celso Vinicius;L;Referee Decision;WPC Gr Trials;74KG;SF;2010
Rubens Charles;L;Choke from back;World Champ.;70KG;SF;2010
Augusto Mendes;L;Pts: 0x0, Adv;South American;76KG;F;2010
Augusto Mendes;L;DQ;South American;ABS;F;2010
Rafael Mendes;L;Pts: 4x2;World Champ.;70KG;SF;2011
Rafael Mendes;L;Wristlock;Pan American;70KG;SF;2012
Rafael Mendes;L;Pts: 2x0;World Champ.;70KG;SF;2012
Rafael Mendes;L;Pts: 2x0;Pan American;70KG;SF;2013
Rafael Mendes;L;Adv;World Champ.;70KG;SF;2013
Rafael Mendes;L;Choke from back;World Champ.;70KG;SF;2014
Gabriel Rollo;L;Pts: 3x0;World Pro;75KG;SF;2015
Roberto Satoshi;L;Pts: 2x0;World Pro;75KG;3RD;2015
Rafael Mendes;L;Wristlock;World Champ.;70KG;SF;2015
Fredson Paixao;W;Triangle;World Champ.;70KG;SF;2003
Alexandre Soca;W;Pts: 8x4;World Champ.;70KG;F;2003
Unknown;W;Injury;World Cup;70KG;R1;2003
Gabriel Wilcox;W;Armbar;World Cup;70KG;1/4F;2003
Marcelino Freitas;W;Pts: 8x2;World Cup;70KG;F;2003
Fredson Paixao;W;Pts: 2x0;World Champ.;70KG;F;2004
Rany Yahya;W;Omoplata;World Cup;70KG;R1;2004
Reinaldo Ribeiro;W;Pts: 5x0;World Cup;70KG;F;2004
Unknown;W;Armbar;GP Blackbelt;70KG;R1;2004
Gabriel Cataide;W;N/A;World Champ.;70KG;R1;2005
T. Omore;W;Baseball choke;World Champ.;70KG;R2;2005
Renato Migliaccio;W;Armbar;World Champ.;70KG;1/4F;2005
Fredson Alves;W;Triangle;World Champ.;70KG;SF;2005
Joao Silva;W;Verbal tap;Pan American;76KG;1/4F;2006
Carlos Portugues;W;Pts: 0x0, Adv;Pan American;76KG;SF;2006
Paulo Ubiratan;W;Triangle;World Champ.;76KG;R1;2006
Rafael Barbosa;W;Pts: 2x2, Adv;World Champ.;76KG;1/4F;2006
Claudio Calasans;W;Referee Decision;World Champ.;76KG;SF;2006
Unknown;W;Armbar;Pan American;70KG;1/4F;2007
Bibiano Fernandes;W;Points;Pan American;70KG;SF;2007
Gabriel Wilcox;W;Choke;World Champ.;70KG;R1;2007
Wilson Reis;W;Armbar;World Champ.;70KG;1/4F;2007
Jonatas Gurgel;W;Armbar;World Champ.;70KG;SF;2007
Wellington Dias;W;Pts: 4x2;World Champ.;70KG;1/4F;2008
Bernardo Pitel;W;Submission;Capital Challenge;70KG;1/4F;2008
Takumi Nakayama;W;Choke;European;70KG;SF;2009
Wellington Dias;W;Armbar;European;70KG;F;2009
Wellington Dias;W;Triangle;Pan American;70KG;1/4F;2009
Guilherme Mendes;W;Pts: 10x10, Adv;Pan American;70KG;SF;2009
Rodrigo Ranieri;W;Pts: 2x2, Adv;World Champ.;70KG;1/4F;2009
Isaque Paiva;W;Points;Mundial CBJJE;70KG;F;2010
Koji Shimasaki;W;Kneebar;World Champ.;70KG;R1;2010
Renan Borges;W;Choke from back;World Champ.;70KG;1/4F;2010
Felipe Teixeira;W;N/A;South American;ABS;SF;2010
Gustavo Ernesto;W;Choke;World Champ.;70KG;RDS;2011
Marcelino Freitas;W;Pts: 4x2;World Champ.;70KG;1/4F;2011
Isaque Paiva;W;Points;Mundial CBJJE;70KG;F;2012
Spenser Gilliam;W;N/A;Pan American;70KG;1/4F;2012
Takuto Kako;W;Submission;World Champ.;70KG;R2;2012
Samir Chantre;W;Armbar;World Champ.;70KG;R3;2012
Marcelino Freitas;W;Triangle;World Champ.;70KG;1/4F;2012
Masahiro Iwasaki;W;Points;Pan American;70KG;R1;2013
Osvaldo Moizinho;W;Pts: 6x2;World Champ.;70KG;1/4F;2013
Spencer Gilliam;W;N/A;Pan American;70KG;R1;2014
Mayko Borges;W;Brabo choke;Pan American;70KG;1/4F;2014
Osvaldo Moizinho;W;Pts: 6x4;Pan American;70KG;SF;2014
Charles Gaspar;W;N/A;World Champ.;70KG;RDS;2014
Wellington Dias;W;N/A;World Champ.;70KG;RDS;2014
Denilson Pimenta;W;Adv;World Champ.;70KG;1/4F;2014
Rodrigo Almeida;W;N/A;Brazil Nat. Pro;75KG;R1;2015
Mauricio Ferreira;W;N/A;Brazil Nat. Pro;75KG;1/4F;2015
Isaque Paiva;W;Pts: 10x0;Brazil Nat. Pro;75KG;SF;2015
Fabio Caloi;W;Points;Brazil Nat. Pro;75KG;F;2015
Bruno Cezar;W;Points;World Pro;75KG;R1;2015
Unknown;W;Points;World Pro;75KG;1/4F;2015
Kevin Mahecha;W;Armbar;World Champ.;70KG;1/8F;2015
