Opponent,W/L,Method,Competition,Weight,Stage,Year
Vinny Magalhaes;D;N/A;Metamoris 5;ABS;SPF;2014
Murilo Santana;L;Pts: 7x4;Boca Raton Open;88KG;F;2015
Murilo Santana;L;Armbar;Boston Spring Open;88KG;SF;2015
Murilo Santana;L;Armbar;Boston Spring Open;ABS;SF;2015
Tarcisio Jardim;L;Pts: 0x0, Adv;World Champ.;ABS;R1;2015
Leandro Lo;L;Pts: 4x0;World Champ.;88KG;1/4F;2015
Lucas Barbosa;L;Pts: 4x2;NoGi Worlds;88KG;SF;2015
Felipe Pena;L;Pts: 10x2;NoGi Worlds;ABS;F;2015
Murilo Santana;L;Choke;Pan American;88KG;1/8F;2016
Rustam Chsiev;L;Points;EBI 6;ABS;SF;2016
Leandro Lo;L;Pts: 7x0;World Champ.;88KG;1/4F;2016
Josh Hinger;L;Pts: 4x0;NoGi Worlds;85KG;SF;2016
Diego Gamonal;W;Armbar;Boca Raton Open;88KG;SF;2015
Nathan Mendelsohn;W;Choke from back;Boca Raton Open;ABS;1/4F;2015
Diego Gamonal;W;Triangle;Boca Raton Open;ABS;SF;2015
Ricardo Bastos;W;Wristlock;Boca Raton Open;ABS;F;2015
Jordan Lutsky;W;Armbar;Boston Spring Open;88KG;1/4F;2015
Renan Borges;W;Inverted triangle;Boston Spring Open;ABS;1/4F;2015
C. Haraszti;W;Flying triangle;NY Summer Open;88KG;1/4F;2015
Brian Beauty;W;Choke from back;NY Summer Open;88KG;F;2015
Chris Haraszti;W;DQ;NY Summer Open;ABS;SF;2015
Todd Brandon;W;Inverted triangle;NY No Gi Open;94KG;SF;2015
Neiman Gracie;W;Pts: 2x0;NY No Gi Open;94KG;F;2015
Jason Lees;W;Pts: 40x0;NY No Gi Open;ABS;SF;2015
Gilbert Burns;W;Pts: 8x2;NY No Gi Open;ABS;F;2015
Thomas Loubersanes;W;Pts: 8x0;NoGi Pan Ams;88KG;SF;2015
David Raab;W;RNC;NoGi Pan Ams;ABS;1/4F;2015
Gybson SÃ¡;W;Pts: 4x0;NoGi Pan Ams;ABS;SF;2015
Garry Tonon;W;Wristlock;NoGi Pan Ams;ABS;F;2015
Pedro Mello;W;Pts: 6x0;NoGi Worlds;88KG;1/4F;2015
Nicholas Liaskos;W;N/A;NoGi Worlds;ABS;R1;2015
Garry Tonon;W;Pts: 4x0;NoGi Worlds;ABS;R1;2015
Steven Patterson;W;Crussifix Choke;NoGi Worlds;ABS;1/4F;2015
Mahamed Aly;W;RNC;NoGi Worlds;ABS;SF;2015
Diego Ramalho;W;Pts: 13x0;Pan American;88KG;R1;2016
Lucas Rocha;W;Points;EBI 6;ABS;R1;2016
Richie Martinez;W;Straight armlock;EBI 6;ABS;1/4F;2016
Thiago Sa;W;Pts: 5x2;World Champ.;88KG;R1;2016
Manny Diaz;W;Pts: 2x0;World Champ.;88KG;1/8F;2016
Felipe Cesar;W;Lapel choke;NY Summer Open;ABS;SF;2016
Diego Ramos;W;Wristlock;NY Summer Open;88KG;RR;2016
Diego Ramos;W;Straight armlock;NY Summer Open;88KG;RR;2016
Daniel Mehrkar;W;Triangle;NY NoGi Open;ABS;1/4F;2016
Felipe Cesar;W;Pts: 8x0;NY NoGi Open;ABS;SF;2016
Murilo Santana;W;Pts: 5x0;NY NoGi Open;ABS;F;2016
Todd Mueckenheim;W;Points;Boston SIO;94KG;F;2016
James Quinlan;W;Kimura;Boston SIO;ABS;1/4F;2016
Lucas Valle;W;Choke from back;Boston SIO;ABS;SF;2016
Kit Dale;W;RNC;NoGi Worlds;85KG;1/4F;2016
