Opponent,W/L,Method,Competition,Weight,Stage,Year
Leandro Lo,L,Pts: 2x0,Copa Podio,86KG,GP,2016
N. Meregali,L,Armbar,Copa Podio,86KG,GP,2016
Guilherme Augusto,L,Armbar,Sao Paulo Open,100KG,SF,2016
Alex Aparecido,L,Referee Decision,Sao Paulo Open,ABS,1/4F,2016
Dimitrius Souza,L,Points,Brasileiro NoGi,ABS,F,2016
Victor Estima,D,---,Copa Podio,86KG,GP,2016
Dillon Danis,W,Pts: 2x0,Copa Podio,86KG,GP,2016
Romes Ramos,W,Pts: 4x0,Sao Paulo Open,100KG,1/4F,2016
Fabio Queiroz,W,Points,Brasileiro NoGi,97KG,1/4F,2016
Christofer FeijÃ³,W,Points,Brasileiro NoGi,97KG,SF,2016
Fabio Queiroz,W,Points,Brasileiro NoGi,ABS,1/4F,2016
Fabio Caloi,W,Points,Brasileiro NoGi,ABS,SF,2016
