Opponent,W/L,Method,Competition,Weight,Stage,Year
Kevin Mahecha;L;Pts: 6x0;Five NAIC;82KG;F;2014
Marcel Goncalves;L;Referee Decision;Five NAIC;ABS;NA;2014
Gabriel Rollo;L;Pts: 2x2, Adv;World Champ.;76KG;1/4F;2015
AJ Sousa;L;Pts: 2x2, Adv;Dallas Open;82KG;SF;2015
Marcelo Mafra;L;Pts: 2x2, Adv;Dallas NoGi Open;82KG;F;2015
Rafael Lovato;L;Pts: 0x0, Adv;Houston Nat. Pro;94KG;F;2015
Rafael Lovato;L;Pts: 7x0;Houston Nat. Pro;ABS;F;2015
Edwin Najmi;L;Pts: 4x4, Adv;Pan American;76KG;1/4F;2016
Edwin Najmi;L;Pts: 0x0, Adv;World Champ.;76KG;1/4F;2016
Ilke Bulut;W;Points;Rickson Cup;76KG;F;2014
Kleber Koike;W;Points;Rickson Cup;ABS;R1;2014
Unknown;W;Bow and arrow;Rickson Cup;ABS;1/4F;2014
M. Neidlinger;D;---;Metamoris 6;ABS;SPF;2015
Rafael Rosendo;W;Pts: 2x0;World Champ.;76KG;1/8F;2015
Marcos Tinoco;D;---;Sub Series Pro;ABS;SPF;2015
Alec Baulding;W;Pts: 10x4;Atlanta Open;82KG;SF;2015
Pedro Palhares;W;Pts: 17x2;Atlanta Open;82KG;F;2015
Seth Snow;W;RNC;Atlanta No Gi;82KG;SF;2015
Frederico Moncaio;W;RNC;Atlanta No Gi;82KG;F;2015
Philip Miller;W;N/A;Dallas Open;82KG;1/4F;2015
AJ Sousa;W;Points;Dallas NoGi Open;82KG;SF;2015
Joshua Guzman;W;N/A;Seattle Open;82KG;SF;2015
Unknown;W;Kneebar;Seattle Open;ABS;1/4F;2015
Kim Terra;W;Points;Seattle Open;ABS;SF;2015
Fernando Moya;W;Choke from back;Seattle Open;ABS;F;2015
Don Stoner;W;Bow and arrow;SubCon;ABS;SPF;2015
Tyler Bishop;W;Choke from back;Houston Nat. Pro;94KG;SF;2015
Carlos Farias;W;Pts: 0x0, Adv;Houston Nat. Pro;ABS;RR;2015
Ross Nichols;W;Kneebar;European Open;76KG;R1;2016
Victor Genovesi;W;Triangle;European Open;76KG;1/4F;2016
Sam Gibson;W;Choke from back;European Open;76KG;SF;2016
Jeffrey Cummings;W;Pts: 5x0;Pan American;76KG;1/8F;2016
Ilke Bulut;W;Wristlock;World Champ.;76KG;R1;2016
Juan Kamezawa;W;Adv;World Champ.;76KG;R2;2016
