Opponent,W/L,Method,Competition,Weight,Stage,Year
Isaac Doederlein;L;Pts: 2x2, Adv;World Champ.;64KG;1/4F;2016
Nobuo Yagai;W;Choke from back;American Nat.;64KG;SF;2015
Joao Miyao;W;Pts: 4x4, Adv;American Nat.;64KG;F;2015
Tomoyuki Hashimoto;W;Pts: 2x2, Adv;Pan American;57KG;1/4F;2016
Joao Somalia;W;Choke from back;Pan American;57KG;SF;2016
Lucas Pinheiro;W;Pts: 6x3;Pan American;57KG;F;2016
Luis Pinto;W;Botinha;World Champ.;64KG;R1;2016
Mayko Borges;W;Pts: 8x0;American Nats;64KG;SF;2016
Joao Miyao;W;Pts: 2x2, Adv;American Nats;64KG;F;2016
Joao Marinho;W;Pts: 2x0;Ch. Summer Open;70KG;SF;2016
Bruce Guevara;W;Pts: 6x0;Ch. Summer Open;70KG;F;2016
Tiago Barros;W;Pts: 2x0;Grand Slam - LA;62KG;SF;2016
Joao Miyao;W;Pts: 2x0;Grand Slam - LA;62KG;F;2016
Thomas Lisboa;W;Pts: 4x4, Adv;NoGi Worlds;62KG;SF;2016
Joao Miyao;W;Pts: 10x8;NoGi Worlds;62KG;F;2016
