Opponent,W/L,Method,Competition,Weight,Stage,Year
Andre Galvao;L;Cross ck. f/ mount;Pan American;82KG;F;2006
Daniel Moraes;L;Pts: 5x0;World Champ.;82KG;R1;2006
Marcelo Garcia;L;Guillotine;ADCC;77KG;SF;2007
Andre Galvao;L;Points;ADCC;77KG;3PLC;2007
John Baylon;L;Armbar;Hajime;81KG;F;2008
Victor Estima;L;Triangle;World Champ.;82KG;1/4F;2008
Marcelo Mafra;L;RNC;NoGi Worlds;79KG;1/8F;2009
Gustavo Campos;L;Points;European;82KG;1/4F;2010
Samuel Braga;L;Points;Ultimate Abs.;76KG;1/4F;2012
Rubens Charles;L;Bow and arrow;Pan American;70KG;SF;2012
Alexandre Ribeiro;L;Cross choke;SD World Trials;ABS;SF;2012
Eduardo Telles;D;N/A;Polaris;ABS;SPF;2015
Keenan Cornelius;L;Choke from back;Marianas Open;ABS;F;2015
Gregor Gracie;L;Adv;Grand Slam Tokyo;94KG;SF;2015
Faisal AlKitbe;L;Adv;Grand Slam Tokyo;94KG;SF;2015
Jorge Vidal;W;Brabo choke;Pan American;82KG;1/4F;2006
Igor Gracie;W;Points;Pan American;82KG;SF;2006
Saulo Ribeiro;W;Toe hold;ADCC;77KG;1/4F;2007
Kyle Sukehira;W;Brabo choke;World Champ.;82KG;R1;2008
Alexandre Izidro;W;Straight armlock;European;82KG;RDS;2010
Reily Bodycomb;W;Armbar;Ultimate Abs.;76KG;R1;2012
Renan Borges;W;Brabo Choke;Pan American;70KG;R1;2012
Wellington Dias;W;Pts: 6x3;Pan American;70KG;1/4F;2012
Ryan Beauregard;W;Referee Decision;SD World Trials;ABS;1/4F;2012
Rhalan Gracie;W;DQ;Triple Crown;ABS;SPF;2013
Josh Hinger;W;Pts: 15x0;Marianas Open;ABS;1/4F;2015
Luis Blanco;W;Armbar;Marianas Open;ABS;SF;2015
